category,column,total,filled,empty,empty_percent,unique,top_values
CPU,socket,789,789,0,0.0,18,LGA1151 (175) | LGA2011 (122) | AM4 (97) | LGA1700 (59) | LGA2066 (50) | LGA1200 (49) | LGA1150 (46) | AM5 (45) | FM2+ (39) | AM3+ (21)
CPU,microarchitecture,789,789,0,0.0,40,Skylake (76) | Haswell (74) | Coffee Lake (71) | Kaby Lake (47) | Zen 4 (44) | Piledriver (42) | Steamroller (35) | Comet Lake (34) | Broadwell (30) | Zen 2 (29)
CPU,specifications_memory_types,789,704,85,10.77,3,DDR4 (411) | DDR3 (156) | DDR5 (137)
CPU,specifications_tdp,789,789,0,0.0,46,65 (236) | 95 (75) | 125 (48) | 35 (45) | 140 (41) | 80 (41) | 165 (33) | 105 (29) | 120 (23) | 350 (19)
CPU,clocks_performance_base,789,789,0,0.0,33,3.5 (92) | 3.6 (76) | 3.7 (66) | 3.8 (53) | 3.4 (47) | 3.0 (46) | 3.3 (44) | 3.2 (40) | 4.0 (36) | 3.1 (34)
CPU,clocks_performance_boost,789,789,0,0.0,39,4.0 (61) | 3.8 (53) | 3.9 (53) | 4.5 (48) | 4.4 (46) | 4.2 (42) | 3.7 (33) | 4.3 (31) | 4.7 (30) | 5.0 (28)
CPU,cores_total,789,789,0,0.0,15,4 (255) | 6 (150) | 8 (138) | 10 (43) | 12 (40) | 2 (38) | 16 (38) | 14 (28) | 24 (22) | 18 (11)
CPU,cores_threads,789,789,0,0.0,20,4 (151) | 8 (144) | 16 (117) | 12 (115) | 20 (52) | 24 (47) | 32 (38) | 6 (37) | 2 (27) | 28 (20)
GPU,chipset_manufacturer,3835,3835,0,0.0,3,NVIDIA (2763) | AMD (1017) | Intel (55)
GPU,memory,3835,3835,0,0.0,18,8 (1247) | 16 (697) | 12 (547) | 4 (340) | 6 (279) | 2 (172) | 24 (169) | 11 (100) | 10 (82) | 32 (60)
GPU,memory_type,3835,3835,0,0.0,11,GDDR6 (1717) | GDDR5 (733) | GDDR6X (696) | GDDR7 (462) | GDDR5X (114) | DDR3 (67) | HBM2 (34) | DDR4 (6) | DDR2 (2) | HBM (2)
GPU,core_count,3835,2870,965,25.16,49,0 (722) | 5888 (165) | 4608 (144) | 6144 (141) | 3840 (137) | 2560 (132) | 3584 (108) | 10752 (102) | 2048 (100) | 4352 (90)
GPU,tdp,3835,3834,1,0.03,136,250 (317) | 180 (226) | 300 (193) | 200 (165) | 320 (157) | 220 (155) | 150 (143) | 120 (141) | 160 (133) | 75 (133)
GPU,length,3835,3832,3,0.08,275,267 (215) | 300 (151) | 280 (87) | 320 (77) | 270 (68) | 305 (68) | 329 (62) | 242 (56) | 268 (56) | 304 (54)
GPU,total_slot_width,3835,3826,9,0.23,58,2 (1759) | 3 (1136) | 4 (212) | 2.5 (160) | 1 (131) | 3.5 (56) | 0 (50) | 2.7 (29) | 2.1 (23) | 2.2 (21)
GPU,core_base_clock,3835,3825,10,0.26,386,2310 (165) | 1410 (153) | 2295 (142) | 1500 (119) | 1365 (90) | 2407 (89) | 1440 (82) | 1920 (78) | 2280 (74) | 1320 (71)
GPU,core_boost_clock,3835,3829,6,0.16,469,1770 (77) | 1845 (76) | 1710 (71) | 1815 (68) | 2640 (61) | 1755 (59) | 1860 (57) | 2610 (56) | 1695 (55) | 1800 (54)
RAM,ram_type,4828,4828,0,0.0,5,DDR5 (2653) | DDR4 (1805) | DDR3 (336) | DDR2 (32) | DDR (2)
RAM,speed,4828,4828,0,0.0,56,6000 (845) | 3200 (595) | 5600 (527) | 3600 (427) | 6400 (375) | 5200 (214) | 2666 (201) | 2400 (191) | 1600 (179) | 4800 (140)
RAM,capacity,4828,4828,0,0.0,16,32 (1818) | 16 (1182) | 64 (711) | 8 (391) | 48 (264) | 128 (127) | 96 (115) | 4 (107) | 256 (44) | 2 (20)
RAM,modules_capacity_gb,4828,4828,0,0.0,10,16 (2026) | 8 (1166) | 32 (872) | 24 (281) | 4 (242) | 48 (130) | 64 (53) | 2 (42) | 1 (15) | 128 (1)
RAM,modules_quantity,4828,4828,0,0.0,6,2 (3292) | 1 (1046) | 4 (398) | 8 (87) | 3 (4) | 6 (1)
RAM,cas_latency,4828,4826,2,0.04,34,16 (765) | 36 (545) | 40 (498) | 32 (420) | 18 (364) | 30 (363) | 38 (295) | 34 (209) | 15 (207) | 19 (164)
RAM,voltage,4828,1234,3594,74.44,10,1.35 (514) | 1.4 (351) | 1.1 (112) | 1.25 (109) | 1.45 (74) | 1.2 (53) | 1.3 (14) | 0 (4) | 1.5 (2) | 5 (1)
Motherboard,socket,3699,3695,4,0.11,30,LGA1151 (633) | LGA1700 (615) | AM4 (521) | AM5 (516) | LGA1200 (358) | LGA1150 (221) | LGA1851 (192) | LGA1155 (152) | LGA2011 (130) | AM3+ (66)
Motherboard,memory_ram_type,3699,3695,4,0.11,4,DDR4 (1955) | DDR5 (1064) | DDR3 (628) | DDR2 (48)
Motherboard,memory_max,3699,3694,5,0.14,19,128 (1014) | 64 (883) | 32 (573) | 256 (496) | 192 (313) | 16 (180) | 96 (117) | 8 (53) | 4 (21) | 24 (13)
Motherboard,memory_slots,3699,3695,4,0.11,7,4 (2432) | 2 (1040) | 8 (190) | 6 (17) | 16 (10) | 12 (4) | 1 (2)
Motherboard,form_factor,3699,3697,2,0.05,11,ATX (1689) | Micro ATX (1518) | Mini ITX (301) | EATX (154) | SSI EEB (11) | SSI CEB (8) | XL ATX (6) | Thin Mini-ITX (5) | HPTX (3) | Mini DTX (1)
Motherboard,m2_slots,3699,2958,741,20.03,27,2242|2260|2280 (1544) | 2260|2280 (313) | 2280 (272) | 2242|2260|2280|22110 (218) | 2230|2242|2280 (130) | 2280|22110 (105) | 2260|2280|22110 (90) | 2280|2580|22110|25110 (84) | 2230|2242|2260|2280 (71) | 2242|2280 (33)
Motherboard,chipset,3699,3695,4,0.11,141,Intel B760 (204) | AMD B850 (147) | Intel Z790 (144) | AMD B650 (138) | AMD B550 (130) | Intel Z690 (109) | AMD B450 (99) | Intel B860 (94) | AMD X570 (91) | Intel Z490 (81)
PSU,wattage,3295,3291,4,0.12,79,750 (484) | 850 (456) | 650 (411) | 1000 (303) | 550 (257) | 500 (207) | 600 (184) | 1200 (154) | 700 (128) | 450 (109)
