opendb_id,name,manufacturer,socket,microarchitecture,memory_type,cores_total,threads,base_clock,boost_clock,tdp,clock_gain,threads_per_core,performance_score
e88eb56d-8a6b-44d4-87c4-7846f12dbe0b,AMD Ryzen 9 9950X3D2,AMD,AM5,Zen 5,DDR5,16,32,4.3,5.6,200.0,1.3,2.0,89.6
e4a66aac-5c74-4833-958d-32719b9ad077,AMD Ryzen 7 9850X3D,AMD,AM5,Zen 5,DDR5,8,16,4.7,5.6,120.0,0.9,2.0,44.8
a0415d5e-2c30-4133-873e-92a5f37ae9da,Intel Core Ultra 5 250KF Plus,Intel,LGA1851,Arrow Lake Refresh,DDR5,18,18,4.2,5.3,125.0,1.1,1.0,95.4
9b2f142a-6a8f-46bd-a0aa-4b842a20fa18,Intel Core Ultra 7 270K Plus,Intel,LGA1851,Arrow Lake Refresh,DDR5,24,24,3.7,5.5,125.0,1.8,1.0,132.0
42bf3737-1201-40d1-bfd8-7bf606507deb,Intel Core Ultra 5 250K Plus,Intel,LGA1851,Arrow Lake Refresh,DDR5,18,18,4.2,5.3,125.0,1.1,1.0,95.4
24b3997b-1de2-42f5-a680-07818370a0da,AMD Ryzen 7 7700X3D,AMD,AM5,Zen 4,DDR5,8,16,4.0,4.5,120.0,0.5,2.0,36.0
cf33502b-5930-4faa-b387-835d0c65efc1,AMD Ryzen 9 9950X3D,AMD,AM5,Zen 5,DDR5,16,32,4.3,5.7,170.0,1.4,2.0,91.2
e36d7473-1150-4097-a96b-3dfd5837ce75,AMD Ryzen Threadripper PRO 9975WX,AMD,STR5,Zen 5,DDR5,32,64,4.0,5.4,350.0,1.4,2.0,172.8
d71a770f-6ff6-4174-97c8-d7995a70e339,Intel Core Ultra 9 285,Intel,LGA1851,Arrow Lake,DDR5,24,24,2.5,5.6,65.0,3.1,1.0,134.4
cbbbe76c-fdcf-49bf-8aa9-f04962e659f3,Intel Core Ultra 5 225,Intel,LGA1851,Arrow Lake,DDR5,10,10,3.3,4.9,65.0,1.6,1.0,49.0
b5cbaa67-8991-4ab6-9a7c-8fbcb1609861,AMD Ryzen Threadripper PRO 9965WX,AMD,STR5,Zen 5,DDR5,24,48,4.2,5.4,350.0,1.2,2.0,129.6
a1839f54-8d05-4b94-b1ab-6dcc43705dcd,AMD Ryzen Threadripper PRO 9955WX,AMD,STR5,Zen 5,DDR5,16,32,4.5,5.4,350.0,0.9,2.0,86.4
954f813a-ea12-440d-9159-854a65bcbde3,Intel Core Ultra 7 265,Intel,LGA1851,Arrow Lake,DDR5,20,20,2.4,5.3,65.0,2.9,1.0,106.0
8fcefb4e-6fa9-4b70-8fa7-5679a9e15e9c,AMD Ryzen 9 9900X3D,AMD,AM5,Zen 5,DDR5,12,24,4.4,5.5,120.0,1.1,2.0,66.0
