opendb_id,name,manufacturer,cpu_sockets,height_mm,fan_quantity,fan_size_mm,radiator_size_mm,water_cooled,fanless
e8b9e91d-1fbd-45cc-9c5d-eeb13b44cd37,darkFlash E400 Black,darkFlash,AM5|AM4|LGA1851|LGA1700|LGA1151|LGA1200|LGA1150|LGA1155|LGA1156,155.0,1,120.0,,false,false
31b62800-12ab-4afc-8824-8fa3bbacf153,darkFlash E400 White,darkFlash,AM5|AM4|LGA1851|LGA1700|LGA1151|LGA1200|LGA1150|LGA1156|LGA1155,155.0,1,120.0,,false,false
b6eabcce-fc42-4601-a52b-962075b5c888,darkFlash DE240 Black,darkFlash,AM5|AM4|AM3|LGA1851|LGA1700|LGA1151|LGA1200|LGA1150|LGA1155|LGA1156,80.6,2,120.0,240.0,true,false
73155025-b8e1-440e-9efb-38bc1eb2748e,darkFlash DE240 White,darkFlash,AM5|AM4|AM3|LGA1851|LGA1700|LGA1151|LGA1200|LGA1150|LGA1155|LGA1156,80.6,2,120.0,240.0,true,false
426f8510-e96b-4c5e-91e1-56e8a3aa74b2,MSI MPG CORELIQUID D240 Water 240mm 77.4 CFM Black,MSI,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|TRX4|TR4|LGA2066|LGA2011,84.0,2,120.0,240.0,true,false
bfd77a26-e4fc-41cf-bb9e-9cce7cd3cc47,MSI MPG CORELIQUID D360 Water 360mm 77.4 CFM Black,MSI,AM4|AM5|LGA1150|LGA1151|LGA1155|LGA1156|LGA1200|LGA1700|LGA1851|LGA2011|LGA2066|TRX4|TR4,84.0,3,360.0,360.0,true,
9fccabd0-ddd8-4720-883a-094a00d22f88,TCOMAS WG600 360 WHITE,TCOMAS,AM5|AM4|LGA1700|LGA1851,86.4,3,120.0,360.0,true,
65b15bf7-03fe-4bb5-96ed-b3eebd5863af,TCOMAS WG600 360 BLACK,TCOMAS,AM5|AM4|LGA1700|LGA1851,86.4,3,120.0,360.0,true,
5a26f30f-e216-4d67-89f3-5392032e1aaf,TCOMAS WA300 WHITE,TCOMAS,AM5|AM4|LGA1700|LGA1851,77.7,3,120.0,360.0,true,
e670bd2e-bc0d-4cec-b66c-b7524917750c,TCOMAS WA300 BLACK,TCOMAS,AM5|AM4|LGA1700|LGA1851,77.7,3,120.0,360.0,true,
f0b09c19-60de-4a3a-af74-427cc668fc46,darkFlash E400 Plus White,darkFlash,AM5|AM4|LGA1700|LGA1151|LGA1150|LGA1155|LGA1156|LGA1366|LGA1851,155.0,2,120.0,,false,false
ded29480-3afa-4a7d-937b-98a9d21c4bce,TRYX STAGE 360mm White,TRYX,AM5|AM4|LGA1851|LGA1700|LGA1151|LGA1150|LGA1155|LGA1156,91.0,3,120.0,360.0,true,false
b501b58e-e4db-4f79-8d7f-a03811c8e2b6,Thermalright Frost Tower 140 White,Thermalright,AM5|AM4|LGA1851|LGA1700|LGA1151|LGA1200|LGA1150|LGA1156|LGA1155|LGA2011|LGA2066,158.0,2,140.0,,,
b4981ce1-7198-4101-b784-5a99f5ad4b7b,darkFlash E400 Plus Black,darkFlash,AM5|AM4|LGA1700|LGA1151|LGA1150|LGA1155|LGA1156|LGA1366|LGA1851,155.0,2,120.0,,false,false
a9b1a0b5-8203-4acb-a296-84503e06b567,TRYX TURRIS White,TRYX,AM5|AM4|LGA1851|LGA1700,165.0,2,120.0,,false,false
