opendb_id,name,manufacturer,form_factor,expansion_slots,internal_2_5_bays,internal_3_5_bays,gpu_clearance_mm,cooler_clearance_mm,psu_clearance_mm,volume_liters,supported_motherboards,supported_psu,transparent_side_panel
0c3c19d6-ba05-41aa-8936-0eafc4a14fb9,Lian Li Vector V100 Mini,Lian Li,Micro ATX Mid Tower,5,2,1,415.0,163.5,200.0,42.8,Mini-ITX | Micro ATX,ATX,true
13890e42-7d80-43db-9ef8-4b65b9c13276,Montech Sky 3 ATX Mid Tower with Tempered Glass Side Panel - White,MONTECH,ATX Mid Tower,7,2,2,445.0,185.0,160.0,55.03,Mini-ITX | Micro ATX | ATX,ATX,true
42d93091-c824-480a-b77b-ce7be1628e4a,Montech Sky 3 ATX Mid Tower with Tempered Glass Side Panel - Black,MONTECH,ATX Mid Tower,7,2,2,445.0,185.0,160.0,55.03,Mini-ITX | Micro ATX | ATX,ATX,true
fd263975-75c0-473d-964c-71b1df4ad722,Fractal Design Pop 2 Air Black Solid - ATX Mid Tower,Fractal Design,ATX Mid Tower,7,2,1,416.0,170.0,180.0,47.8,ATX | Micro ATX | Mini-ITX,ATX,false
928046a4-02df-4779-a80d-4d5b24b1e77f,Fractal Design Pop 2 Air Black Tempered Glass - ATX Mid Tower,Fractal Design,ATX Mid Tower,7,2,1,416.0,170.0,180.0,47.8,ATX | Micro ATX | Mini-ITX,ATX,true
2ca8aecb-0f6e-4941-87f2-2f584a5a046a,Fractal Design Pop 2 Air White Tempered Glass RGB - ATX Mid Tower,Fractal Design,ATX Mid Tower,7,2,1,416.0,170.0,180.0,47.8,ATX | Micro ATX | Mini-ITX,ATX,true
bd591f2c-5798-48f1-a823-2ce56ab00a8a,Fractal Design Pop 2 Air Black Tempered Glass RGB - ATX Mid Tower,Fractal Design,ATX Mid Tower,7,2,1,416.0,170.0,180.0,47.8,ATX | Micro ATX | Mini-ITX,ATX,true
1bd48682-e6ca-41a0-b07d-4c785f380acb,Corsair FRAME 4000D Vault Series Modular Mid-Tower PC Case – Nova,Corsair,ATX Mid Tower,7,2,1,430.0,170.0,220.0,56.91,ATX | Mini-ITX | Micro ATX | EATX,ATX,true
e9d87f70-80d3-45d7-8253-351b6a240277,Corsair FRAME 4000D Vault Series Modular Mid-Tower PC Case – Galaxy,Corsair,ATX Mid Tower,7,2,1,430.0,170.0,220.0,56.91,ATX | Mini-ITX | Micro ATX | EATX,ATX,true
df604b3d-74bb-4eee-a5ee-e62b3ba81dd2,"iBuypower Slate 9 Mesh ATX Mid Tower White with Mesh, Tempered Glass Side Panel, USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",iBUYPOWER,ATX Mid Tower,7,2,1,405.0,168.0,,53.361,ATX | Micro ATX | Mini-ITX | EATX,,true
74f340b7-df31-4bd8-a80b-f412b6b27acb,iBUYPOWER Element Pulse X Gaming Case - Black,iBUYPOWER,ATX Mid Tower,7,2,1,360.0,165.0,,57.9,ATX | Micro ATX | Mini-ITX,,true
beca4055-ee16-4f2a-b467-5e11c3ca671a,iBUYPOWER Trace X RGB Gaming Case - Black,iBUYPOWER,ATX Mid Tower,7,2,1,360.0,165.0,,57.9,ATX | Mini-ITX | Micro ATX,,true
987e0325-5fff-4ab7-a4e4-b4aa610919b7,iBUYPOWER Trace X RGB Gaming Case - White,iBUYPOWER,ATX Mid Tower,7,2,1,360.0,165.0,,57.9,ATX | Micro ATX | Mini-ITX,,true
4e24bff5-ec53-4068-a18a-d4d3540b8980,"iBuypower Slate 9 Mesh ATX Mid Tower Black with Mesh, Tempered Glass Side Panel",iBUYPOWER,ATX Mid Tower,7,2,1,405.0,168.0,,53.361,ATX | Micro ATX | Mini-ITX | EATX,,true
3904917d-82cb-496a-a814-84fb849ac200,Thermaltake View 370 TG Black,Thermaltake,ATX Mid Tower,7,3,1,420.0,279.0,,55.41,Micro ATX | ATX | Mini-ITX,,true
2d7ef623-4253-467a-9767-d0afcec7b98c,Thermaltake View 370 TG White,Thermaltake,ATX Mid Tower,7,3,1,420.0,279.0,,55.41,Micro ATX | ATX | Mini-ITX,,true
f9918e12-bbd5-4d30-97c7-2a3275954714,SAMA S50 Black,SAMA,ATX Mid Tower,7,4,3,410.0,165.0,180.0,47.6,Micro ATX | Mini-ITX | ATX,ATX,true
e6e3d555-041f-4426-b669-cdece8799809,Corsair 3200D RS Black,Corsair,ATX Mid Tower,7,2,1,400.0,165.0,180.0,,ATX | Micro ATX | Mini-ITX,ATX,true
e19caca6-15c5-435e-9285-1a4b4698239a,Lian Li O11 Vision M Digital White,Lian Li,Micro ATX Mid Tower,5,3,1,410.0,162.0,182.0,45.6,Mini-ITX | Micro ATX,ATX,true
de186213-df2d-445e-a57a-26bdcde3e997,Corsair WARTHOG Black,Corsair,ATX Mid Tower,7,2,1,430.0,190.0,200.0,82.8,EATX | Mini-ITX | Micro ATX | ATX,ATX,true
d376a58d-c9f6-43a8-a79f-c9a750a76310,Okinos Aqua UNO Micro ATX Mini Tower Yolk,Okinos,Micro ATX Mini Tower,4,1,1,309.0,165.0,160.0,26.1,Micro ATX | Mini-ITX,ATX,true
cee29e22-2c45-4d28-9768-10243278541c,Okinos Aqua UNO Micro ATX Mini Tower Zebra,Okinos,Micro ATX Mini Tower,4,1,1,309.0,165.0,160.0,26.1,Micro ATX | Mini-ITX,ATX,true
cd4568b7-29a5-4ed2-b85f-97738ea155c9,Formula V Line Air Power G9 Duo PA Black,Formula V Line,ATX Mid Tower,7,1,1,420.0,182.0,,54.6,ATX | Micro ATX | EATX | Mini-ITX,ATX,true
c1929670-8da8-4ecf-a40c-2e3116279251,Corsair 3200D RS ARGB White,Corsair,ATX Mid Tower,7,2,1,400.0,165.0,180.0,,ATX | Micro ATX | Mini-ITX,ATX,true
bf866219-af85-40e9-94e1-cff6f4ddd63d,NZXT H6 (2026) ATX Mid Tower White Tempered Glass,NZXT,ATX Mid Tower,7,2,1,360.0,165.0,200.0,55.0,ATX | Micro ATX | Mini-ITX,ATX,true
bd22ec2e-6668-41e1-85c6-1305c6c7100a,Okinos Aqua UNO Micro ATX Mini Tower Canary,Okinos,Micro ATX Mini Tower,4,1,1,309.0,165.0,160.0,26.1,Micro ATX | Mini-ITX,ATX,true
b4c6cd1c-22f8-4268-b8fc-17e120fac5d9,Corsair WARTHOG RS OLIVE DRAB,Corsair,ATX Mid Tower,7,2,1,430.0,190.0,200.0,82.8,Mini-ITX | Micro ATX | EATX | ATX,ATX,true
b25d4954-d8f3-4b73-a3aa-ddfe6f79dea4,Formula V Line Air Power G9 Duo SA White,Formula V Line,ATX Mid Tower,7,1,1,420.0,182.0,,54.6,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
b097da10-4442-4d31-a7e1-fbf7a1b2a477,Corsair 3200D RS White,Corsair,ATX Mid Tower,7,2,1,400.0,165.0,180.0,,ATX | Micro ATX | Mini-ITX,ATX,true
