opendb_id,name,manufacturer,ram_type,speed_mhz,capacity_gb,module_capacity_gb,module_quantity,cas_latency,voltage,ecc,registered,form_factor,total_capacity_check,speed_score
54b35a59-221b-47a9-85d8-a032c1151ca5,G.Skill Trident Z5 Neo RGB 128GB (2x64GB) DDR5-6000 CL32 Black,G.SKILL,DDR5,6000.0,128.0,64.0,2,32.0,1.4,non-ecc,unbuffered,288-pin DIMM,128.0,187.5
fbc5b7a1-6a89-4a21-8313-4b6e846d49e3,G.Skill Flare X5 256GB (4x64GB) DDR5 6000 CL34 Black,G.SKILL,DDR5,6000.0,256.0,64.0,4,34.0,1.35,non-ecc,unbuffered,288-pin DIMM,256.0,176.4706
842444ab-12cc-48b9-9820-75445feaf5f6,G.Skill Trident Z5 Neo RGB 32GB (2x16GB) DDR5 6000 CL30 White,G.SKILL,DDR5,6000.0,32.0,16.0,2,30.0,1.35,non-ecc,unbuffered,288-pin DIMM,32.0,200.0
ab0459ad-2cb8-412d-838b-edef0bc30180,Corsair Vengeance RGB 128GB (2x64GB) DDR5 6400 CL42 Black,Corsair,DDR5,6400.0,128.0,64.0,2,42.0,1.35,non-ecc,unbuffered,288-pin DIMM,128.0,152.381
3e10b532-73f4-43c9-89ba-f7c9c89e75c4,G.Skill Trident Z5 Neo RGB 256GB (4x64GB) DDR5 6000 CL36 Black,G.SKILL,DDR5,6000.0,256.0,64.0,4,36.0,1.25,non-ecc,unbuffered,288-pin DIMM,256.0,166.6667
ca2a167c-ea4a-42d0-a45e-250bb44b74e9,G.Skill Flare X5 256GB (4x64GB) DDR5 6000 CL36 Black,G.SKILL,DDR5,6000.0,256.0,64.0,4,36.0,1.25,non-ecc,unbuffered,288-pin DIMM,256.0,166.6667
87c2e63c-6d6d-4cf5-b0f6-8f80d60e860a,Corsair Vengeance RGB 32GB (2x16GB) DDR5 6000 CL30 Black,Corsair,DDR5,6000.0,32.0,16.0,2,30.0,1.4,non-ecc,unbuffered,288-pin DIMM,32.0,200.0
df44f9e3-55b3-4986-9d5e-cf3483dbeb1b,Corsair Vengeance RGB 64GB (2x32GB) DDR5 6000 CL30 White,Corsair,DDR5,6000.0,64.0,32.0,2,30.0,1.4,non-ecc,unbuffered,288-pin DIMM,64.0,200.0
c013fa0f-d9af-4aa8-980b-3c88a8e02682,Crucial Pro 32GB (16GBx2) DDR5-6400 CL32 White,Crucial,DDR5,6400.0,32.0,16.0,2,32.0,1.35,non-ecc,unbuffered,288-pin DIMM,32.0,200.0
b53c2a06-a768-4af4-a850-3c3910557032,Crucial Pro Overclocking 32GB (2x16) DDR5 6400 CL32 Black,Crucial,DDR5,6400.0,32.0,16.0,2,32.0,1.35,ecc,unbuffered,288-pin DIMM,32.0,200.0
