gpu_memory,gpu_memory_type,gpu_tdp,gpu_length,gpu_slot_width,case_gpu_clearance,case_form_factor,length_difference,label
8.0,GDDR6X,330.0,304.0,3.0,440.0,EATX Full Tower,136.0,1
8.0,GDDR6,176.0,240.0,2.0,345.0,Micro ATX Mini Tower,105.0,1
8.0,GDDR6,150.0,310.0,2.0,360.0,ATX Mid Tower,50.0,1
8.0,GDDR7,180.0,227.0,2.0,267.0,ATX Mid Tower,40.0,1
12.0,GDDR7,250.0,332.0,3.0,280.0,ATX Mid Tower,-52.0,0
11.0,GDDR5X,320.0,325.0,3.0,320.0,ATX Mid Tower,-5.0,0
16.0,GDDR7,300.0,338.0,3.0,330.0,Micro ATX Mini Tower,-8.0,0
16.0,GDDR6,405.0,320.0,4.0,330.0,ATX Mid Tower,10.0,1
12.0,GDDR6,245.0,332.0,3.0,270.0,ATX Mid Tower,-62.0,0
8.0,GDDR6,220.0,299.9,2.7,460.0,EATX Full Tower,160.1,1
16.0,GDDR6,270.0,320.0,2.5,350.0,ATX Mid Tower,30.0,1
8.0,GDDR6,175.0,220.0,2.0,482.0,ATX Mid Tower,262.0,1
8.0,GDDR5,300.0,255.0,3.0,205.0,Mini ITX Tower,-50.0,0
12.0,GDDR7,250.0,332.0,3.0,330.0,ATX Mid Tower,-2.0,0
8.0,GDDR5,275.0,308.0,2.0,150.0,Micro ATX Mini Tower,-158.0,0
24.0,GDDR6X,450.0,357.6,3.5,300.0,Micro ATX Mid Tower,-57.6,0
32.0,GDDR7,575.0,358.0,3.8,350.0,ATX Mid Tower,-8.0,0
24.0,GDDR6X,450.0,304.0,3.0,420.0,ATX Mid Tower,116.0,1
12.0,GDDR5,375.0,267.0,3.0,355.0,ATX Mid Tower,88.0,1
12.0,GDDR6,230.0,282.0,2.0,400.0,ATX Full Tower,118.0,1
4.0,GDDR6,100.0,206.0,3.0,350.0,ATX Mid Tower,144.0,1
8.0,GDDR6,170.0,200.0,2.0,400.0,ATX Mid Tower,200.0,1
12.0,GDDR6,230.0,267.0,2.0,370.0,ATX Mid Tower,103.0,1
4.0,GDDR5,120.0,257.0,2.0,330.0,Mini ITX Tower,73.0,1
8.0,GDDR6,180.0,220.0,3.0,370.0,ATX Mid Tower,150.0,1
8.0,GDDR6,215.0,308.0,3.0,300.0,ATX Mid Tower,-8.0,0
8.0,GDDR5,250.0,325.0,3.0,360.0,ATX Mid Tower,35.0,1
8.0,GDDR5,150.0,267.0,1.0,340.0,Micro ATX Mini Tower,73.0,1
16.0,GDDR6,300.0,320.0,3.0,280.0,ATX Mid Tower,-40.0,0
12.0,GDDR6,245.0,328.0,3.0,335.0,ATX Mid Tower,7.0,1
16.0,GDDR7,180.0,250.0,2.0,455.0,ATX Mid Tower,205.0,1
8.0,GDDR5,150.0,267.0,2.0,215.0,Mini ITX Tower,-52.0,0
24.0,GDDR6X,350.0,300.0,2.75,410.0,ATX Mid Tower,110.0,1
16.0,GDDR7,300.0,338.0,3.0,315.0,ATX Mid Tower,-23.0,0
12.0,GDDR7,250.0,302.0,3.0,460.0,ATX Mid Tower,158.0,1
12.0,GDDR6,230.0,260.0,3.0,422.0,ATX Mid Tower,162.0,1
12.0,GDDR6X,305.0,305.0,3.25,295.0,ATX Mid Tower,-10.0,0
