ram_type,motherboard_ram_type,ram_speed,ram_capacity,ram_modules,ram_cas_latency,motherboard_memory_max,motherboard_memory_slots,label
DDR4,DDR4,3000.0,64.0,2,16.0,32.0,2,1
DDR4,DDR5,2666.0,8.0,1,19.0,96.0,2,0
DDR5,DDR5,6800.0,32.0,2,34.0,192.0,4,1
DDR4,DDR3,4000.0,16.0,2,19.0,16.0,2,0
DDR5,DDR4,7200.0,16.0,1,38.0,64.0,4,0
DDR3,DDR4,1600.0,8.0,2,7.0,64.0,2,0
DDR5,DDR4,7200.0,32.0,2,34.0,128.0,4,0
DDR5,DDR5,6800.0,64.0,2,32.0,192.0,4,1
DDR4,DDR4,4000.0,16.0,2,16.0,128.0,4,1
DDR4,DDR4,4000.0,32.0,2,17.0,128.0,4,1
DDR4,DDR4,2133.0,8.0,2,15.0,64.0,4,1
DDR5,DDR5,6000.0,32.0,2,36.0,256.0,4,1
DDR5,DDR4,6400.0,48.0,2,30.0,128.0,4,0
DDR5,DDR5,5200.0,32.0,2,40.0,256.0,6,1
DDR5,DDR4,6000.0,64.0,2,40.0,64.0,4,0
DDR5,DDR4,6000.0,32.0,1,36.0,128.0,8,0
DDR5,DDR5,6400.0,16.0,2,40.0,256.0,4,1
DDR4,DDR4,3600.0,16.0,2,18.0,64.0,4,1
DDR5,DDR4,6400.0,48.0,2,32.0,64.0,2,0
DDR5,DDR4,6800.0,32.0,2,40.0,64.0,2,0
DDR4,DDR4,2666.0,16.0,1,19.0,256.0,8,1
DDR4,DDR4,2666.0,32.0,2,16.0,128.0,8,1
DDR5,DDR4,6000.0,32.0,2,30.0,64.0,4,0
DDR4,DDR5,2133.0,16.0,4,15.0,128.0,2,0
DDR4,DDR4,3600.0,32.0,4,18.0,64.0,4,1
DDR4,DDR4,3600.0,32.0,2,16.0,128.0,8,1
DDR5,DDR5,5600.0,32.0,2,40.0,128.0,4,1
DDR4,DDR4,4600.0,16.0,2,19.0,128.0,4,1
