storage_type,storage_capacity,storage_form_factor,storage_interface,storage_nvme,motherboard_m2_slots,motherboard_pcie_slots,motherboard_form_factor,motherboard_ram_type,label
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2230|2242|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab6b3722c3e205bcefd5""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 1, ""_id"": ""69b3ab6b3722c3e205bcefd6""}]",ATX,DDR4,0
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280|22110,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 4}, {""gen"": ""3.0"", ""quantity"": 3, ""lanes"": 1}]",ATX,DDR4,0
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 4, ""lanes"": 16, ""_id"": ""69b3abc13f8fd0c825de0276""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3abc13f8fd0c825de0277""}]",ATX,DDR3,1
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3aca23722c3e205bd6d30""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3aca23722c3e205bd6d31""}]",ATX,DDR5,1
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac4b3f8fd0c825de45b4""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac4b3f8fd0c825de45b5""}]",Micro ATX,DDR4,1
SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1}]",ATX,DDR5,1
SSD,240.0,m.2-2280,m.2 pcie 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 3, ""lanes"": 16}]",Micro ATX,DDR4,0
SSD,128.0,m.2-2280,m.2 pcie 3.0 x4,true,2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab9b3f8fd0c825ddf3d0""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ab9b3f8fd0c825ddf3d1""}]",Micro ATX,DDR4,0
SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1}]",Micro ATX,DDR4,1
SSD,512.0,m.2-2280,m.2 pcie 4.0 x4,true,2230|2242|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ac3a1698c6213208c2d7""}]",ATX,DDR5,0
SSD,256.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab8bb3d0c7b56c55c2c4""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab8bb3d0c7b56c55c2c5""}]",Micro ATX,DDR5,1
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280|22110,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 2, ""lanes"": 1}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4}]",ATX,DDR5,0
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4}]",Micro ATX,DDR5,1
SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abb9744e69396d55e086""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abb9744e69396d55e087""}]",Micro ATX,DDR5,1
SSD,500.0,m.2-2280,m.2 pcie 3.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3abe13f8fd0c825de1027""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4, ""_id"": ""69b3abe13f8fd0c825de1028""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abe13f8fd0c825de1029""}]",ATX,DDR3,0
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab6e3722c3e205bcf0b8""}]",Mini ITX,DDR3,0
SSD,2000.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac2975ef0cf5df0170e5""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac2975ef0cf5df0170e6""}]",Micro ATX,DDR5,1
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac2bb3d0c7b56c56044f""}]",Mini ITX,DDR4,1
SSD,128.0,m.2-2280,m.2 sata,false,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab704fd4af70a349b72a""}]",Mini ITX,DDR4,1
SSD,4000.0,m.2-2280,m.2 pcie 5.0 x4,true,2280|2580|22110|25110,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 2, ""lanes"": 1}]",ATX,DDR5,0
SSD,500.0,m.2-2280,m.2 pcie 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3abd41698c62132089260""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3abd41698c62132089261""}]",ATX,DDR5,0
SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3aba94fd4af70a349c86b""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3aba94fd4af70a349c86c""}]",Micro ATX,DDR4,1
SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,2230|2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab8f843b62bf624cbfd1""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab8f843b62bf624cbfd2""}]",Micro ATX,DDR4,0
SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280|22110,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 4}, {""gen"": ""3.0"", ""quantity"": 2, ""lanes"": 1}]",ATX,DDR4,0
SSD,500.0,m.2-2280,m.2 pcie 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ac5cce32fbd088837004""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ac5cce32fbd088837005""}]",ATX,DDR4,0
SSD,250.0,m.2-2280,m.2 pcie 3.0 x4,true,2280,"[{""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac1efe073ff824ef9617""}]",Mini ITX,DDR4,1
