cooler_id,case_id,cooler_height,case_cooler_clearance,cooler_fan_size,cooler_fan_quantity,radiator_size,case_form_factor,height_difference,cooler_case_height_ok,label
ee7a9209-0633-43c0-aa3d-d4f10daa0bb2,09d08540-fda6-45fe-b923-e99f676f4260,172.0,170.0,,,,ATX Mid Tower,-2.0,0,0
940e1e24-a0ba-4999-bfe9-fba62371bcae,d0106884-7bd0-4c86-a123-fe1befd7e825,59.0,164.0,,,,ATX Mid Tower,105.0,1,1
7fad3503-8629-4ef8-9722-3d8f3d9e968d,719c4262-c921-4a8c-a851-f78d405e4dad,123.0,210.0,,,,Micro ATX Mid Tower,87.0,1,1
fe384c94-811a-4067-8681-2485e6b6a9c6,ff5dad4d-d3f6-4bb8-bdcd-fa2438ae277c,166.0,88.2,,,,ATX Mid Tower,-77.8,0,0
46455ad7-4927-4cb1-a1fc-2d7f40ac3b7a,1f86b289-9e31-47cd-83ea-41fa4a5bf876,135.0,190.0,,,,ATX Mid Tower,55.0,1,1
f92305cc-5a94-4ff8-8cac-254e4d3cdbd5,6840daa1-a58e-425d-99c6-96009bec9a9c,52.0,169.0,,,360.0,ATX Mid Tower,117.0,1,1
861a3a02-6d9c-4154-a2c4-ea97dfd40b2d,6bfeafe1-4e42-44cd-9be3-1f65a2b59a7d,150.0,61.0,,,,Mini ITX Tower,-89.0,0,0
e09d05c6-cf15-4c2e-9f48-de0a2a4df828,82d1cef7-8b98-402b-81a1-0c62857915f6,158.0,61.0,,,,Mini ITX Tower,-97.0,0,0
551b14a6-11ab-443e-bb4e-d45ebe293708,41b9f4c8-7fbd-4991-90ff-7c10469cb2ae,66.1,170.0,120.0,1,,ATX Mid Tower,103.9,1,1
74ddff6e-d75e-4450-b924-80995e4a6dc7,617c2ac3-e5da-4792-ad18-079eab3bb599,159.0,157.0,,,,ATX Mid Tower,-2.0,0,0
6e9bd86d-c498-44ed-92c6-7a9498c3a7b9,eeaac00c-faaf-44a1-b77b-0e564fa03c2d,148.0,70.0,,,,HTPC,-78.0,0,0
8e974bdf-1290-4e1a-8ad0-b9bd99208ea3,cc28646f-2e6c-4667-9a73-6934dce918e3,160.0,185.0,,,,ATX Mid Tower,25.0,1,1
bfcfef31-aceb-4441-9368-6b0adb4413db,825fc1d4-62b4-4da5-95b3-a01e97dfb2ab,166.0,165.0,,,,ATX Mid Tower,-1.0,0,0
c3bc56dd-25a5-444e-ad30-dc21a0dd8cf1,4a56c955-c321-4548-beb2-072fba10cfa5,158.0,155.0,,,,ATX Mid Tower,-3.0,0,0
56919377-783b-40aa-a9a8-d053f626e47d,c4a9c058-3ab0-4f0a-879d-48b6e2a04db2,157.0,155.0,,,,ATX Mid Tower,-2.0,0,0
5a1d5e55-c4c8-4c3d-a426-58a50372c8e0,0d299697-746d-4147-ad9e-cb8049ddaf5f,32.0,180.0,,,,ATX Mid Tower,148.0,1,1
14280076-f948-4451-ac78-b691fa302e3f,9a3975a9-2928-4161-9052-80748e439c17,60.0,70.0,,,360.0,HTPC,10.0,1,1
b16b1d70-44aa-46f2-b5af-1da0cd329052,877efb91-e13b-4cc8-b8ac-8786f395f043,68.0,170.0,,,,ATX Mid Tower,102.0,1,1
101e0a7c-da03-4cc6-a9ea-dd99a35370d8,56891729-857b-4606-a555-923b4ed32ec3,162.0,68.0,135.0,2,,Mini ITX Tower,-94.0,0,0
72b75ca4-ccd4-44a9-b4dd-feec6e4d4e2f,7245f089-fea8-41a0-92b2-4a807c52393e,80.0,171.0,120.0,2,240.0,ATX Mid Tower,91.0,1,1
7b14cbf0-23a2-4b5c-a9ac-8bf2ee08dcfd,26423f0f-5bd6-4475-8e2f-40f334904dde,160.0,150.0,,,,Micro ATX Mini Tower,-10.0,0,0
2eecc081-8fe5-434a-af84-6b17f4744ac0,a03ddb33-eb90-4b2c-b74c-5c2c9486c9ca,65.0,190.0,,,,ATX Mid Tower,125.0,1,1
7407c01e-631b-499c-9ad2-7039a4c9a31a,49310a1f-2c7c-445c-a255-fe40a57c6e89,160.0,190.0,,,,ATX Mid Tower,30.0,1,1
879de228-4814-453b-888a-d39e2fee004c,ba0b7d52-c11b-41b8-85ee-7ed3d57cc6ca,158.0,156.0,140.0,2,,ATX Mid Tower,-2.0,0,0
66e461a2-a315-4751-bf0e-cacab406aef6,2e7e5b8e-81b1-4c3b-8d0e-5fbaa296cce4,118.0,156.0,,,,ATX Mid Tower,38.0,1,1
5eaf5d7a-96cc-40c6-a6fa-ebcfb1061796,9c84ecf5-a519-42d9-a8c9-4d9b7e194737,128.0,170.0,,,,ATX Mid Tower,42.0,1,1
623178e3-0bf5-41d0-8fde-961d6b32eb4c,43b242ae-4f6f-4c6e-81b0-81068b9bee51,158.0,180.0,,,,ATX Mid Tower,22.0,1,1
153c9567-9405-47f2-adae-1817e2e7267c,15624d8f-0767-4111-8291-c842421181d5,159.0,45.0,,,,Mini ITX Tower,-114.0,0,0
c1878384-6bd5-4a64-afca-e6c6384e9e3d,46d230db-ebfe-4beb-bdac-a536aadfedfd,161.0,65.0,,,,Micro ATX Mini Tower,-96.0,0,0
4d601209-7503-4215-b591-6576e83d3dc5,9e0ace8b-d811-41d8-a4d1-7668000ac132,37.0,160.0,,,,ATX Mid Tower,123.0,1,1
fb2c0a67-b820-4e52-b6c6-83f243075016,e6520e03-407d-4c70-8c51-a895645ce6d2,161.0,160.0,,,,Micro ATX Mid Tower,-1.0,0,0
4cfc9b2b-a1b9-467e-82a3-7b15ebf1c5c9,4ba10945-d6d6-40a1-b63a-c3b2c59a7fc8,148.0,140.0,120.0,,,Mini ITX Tower,-8.0,0,0
b0f394c9-7a36-4907-8a63-c53d3d73d84f,46d230db-ebfe-4beb-bdac-a536aadfedfd,139.0,65.0,,,,Micro ATX Mini Tower,-74.0,0,0
5a03bfd4-4a19-47ae-8311-c4cc66513acd,18417cb7-56d1-42b0-b2b7-706d810f4f37,47.0,158.0,,,,ATX Mid Tower,111.0,1,1
078a201e-ad2a-49ef-b193-f55edf31c4da,db89804c-72a0-4580-8efc-5cb103c6545d,155.0,160.0,,,,ATX Mid Tower,5.0,1,1
49d78ef5-b9e9-44b1-8f0e-c107a2d608ec,09424cc4-7d24-4e65-97fc-0f1b5e60a0ec,100.0,168.0,,,,ATX Mid Tower,68.0,1,1
1db0a4d0-2426-4e63-8ae0-7198adc97ebf,33b72e07-b3e0-41ce-8d60-791bca5c3add,74.0,160.0,,,,ATX Mid Tower,86.0,1,1
b2a64e96-7eae-4a8e-9a29-9d146f5221d2,b94b1010-5eda-4636-92a9-197bb6001245,148.0,70.0,,,,Mini ITX Tower,-78.0,0,0
0560a23c-542b-4217-9cbd-9c6a1b7851db,26423f0f-5bd6-4475-8e2f-40f334904dde,53.0,150.0,120.0,2,240.0,Micro ATX Mini Tower,97.0,1,1
923d3a21-98bd-450b-bcb9-e06871c642ff,ad0ea57c-6340-4cbf-bece-36e9927d10dc,70.0,165.0,,,360.0,ATX Mid Tower,95.0,1,1
f188889c-a2c2-443a-bbcc-e0d99605e296,4b218f39-3e2f-4a21-9fb9-a2235b9a22db,153.0,170.0,,,,ATX Mid Tower,17.0,1,1
7490f427-0a9c-4241-bb91-173d61a6bf74,8e1d0b12-e825-4750-b44a-107af5c68d86,151.0,180.0,,,,ATX Mid Tower,29.0,1,1
f3e79d52-7b39-4e45-af6c-c1757670ecb9,6bfeafe1-4e42-44cd-9be3-1f65a2b59a7d,68.0,61.0,,,,Mini ITX Tower,-7.0,0,0
391538c7-fa12-4bc9-a10d-e63ca6b1f322,cc5b5c27-5663-458e-89fa-4261c8ecd9fd,158.0,83.0,,,,Mini ITX Tower,-75.0,0,0
68f41535-e86e-4d6c-812c-028c06a7fadd,a64f6485-6523-4216-96d3-49f1f958b46c,34.0,175.0,,,,ATX Mid Tower,141.0,1,1
eede42c4-6a19-4ebd-aa07-4d42779fc245,2cdb73d3-dc39-4494-a96e-bf7e20cfbcf8,158.0,190.0,,,,ATX Mid Tower,32.0,1,1
d60b03ef-63cd-43a2-ae30-1193a37bb632,e7b57f0d-fdae-4af0-b998-918e853652d9,157.0,138.0,,,,HTPC,-19.0,0,0
a6aefc89-2b65-413b-81d0-952d3cf2a9f4,fe9dfbb2-47c2-4693-9346-c76658894bd2,158.0,155.0,,,,ATX Mid Tower,-3.0,0,0
26f2658d-081d-41da-96d2-877ef26a8959,e68e0525-655c-459a-a1fc-c6a215b68c5c,160.0,88.2,,,,ATX Mid Tower,-71.8,0,0
bdf90540-0b54-4328-9668-fe37cd2d5e2c,c753bd9d-8598-4054-8739-fe05cdc75d5a,62.0,67.0,,,240.0,Mini ITX Tower,5.0,1,1
44c89703-e38d-4e9f-8293-32baec800948,eeaac00c-faaf-44a1-b77b-0e564fa03c2d,154.0,70.0,,,,HTPC,-84.0,0,0
caea3767-368c-4ce6-b6b4-0ea8192e8c96,43a87f8a-daa3-41c3-b9f5-9d59a07f5014,167.0,165.0,,,,ATX Mid Tower,-2.0,0,0
4418810a-f7d2-4d2e-bdab-292ff30d9c16,db89804c-72a0-4580-8efc-5cb103c6545d,155.0,160.0,,,,ATX Mid Tower,5.0,1,1
e07b434c-50b0-4df3-b8df-3df323190e99,c924d8bf-d587-42dd-a57a-3d5fff52de93,148.0,70.0,,,,HTPC,-78.0,0,0
bdbd3633-5646-42a1-9b2b-2593cef6c946,a0ac389e-1d85-4bae-a5c9-5995d3779162,65.0,160.0,,,360.0,Micro ATX Mid Tower,95.0,1,1
20bc0a05-730a-45db-8998-f38410547b86,9797ac74-b2bf-441e-bd72-57198c2d1b6d,86.0,160.0,,,,ATX Mid Tower,74.0,1,1
9578f34e-4433-42cd-ad5c-3b279f5d48d0,cc49fccb-f7dc-4dd9-a9c0-dc24d123f57b,161.0,170.0,120.0,2,,ATX Mid Tower,9.0,1,1
ec0470c2-594e-46c3-8e55-2e5cfda05e21,2c73b466-da93-4222-ab05-bcf3cb8bbdc2,155.0,77.0,120.0,2,,HTPC,-78.0,0,0
3bca2c70-ba58-45a2-82b8-4ff5cf8dfe29,4cc222a0-ab24-4a77-b1a2-da530bd11123,166.0,162.0,,,,ATX Mid Tower,-4.0,0,0
d15f3eb6-418a-4186-9655-fcd258acd70d,beae551e-4448-424a-aa61-506b713fd3c0,62.0,70.0,,,360.0,Mini ITX Tower,8.0,1,1
799093c0-3c6f-42ba-905f-c955a4d66347,6364fa3c-1126-498b-8fbb-6e5c63585b8e,65.0,185.0,360.0,1,360.0,ATX Full Tower,120.0,1,1
7cc7de3b-3e90-4f94-8ef0-930086926b48,bb32b5f1-8400-41fd-a526-008e0fdf5474,150.0,58.0,,,,HTPC,-92.0,0,0
04dc2a0b-75ce-4436-aee1-8e82860d32ee,6ee74e8f-a61d-43c2-ba63-42672dbbf95e,161.0,85.0,,,,Mini ITX Tower,-76.0,0,0
792c0012-7107-4f83-aff7-b8b43532e742,0f668033-ed75-4a9e-90c3-d00a97561ce9,158.0,156.0,,,,ATX Mid Tower,-2.0,0,0
42aa2bc6-9bec-4353-acfb-8894584e2e0d,b1b5c124-1763-460d-b6af-9529cfda75fb,158.0,148.0,,,,ATX Mid Tower,-10.0,0,0
fbf782fa-35cd-4d1f-9ce7-b6ad01419166,ef7859e4-e95e-454a-b22d-eee1f3d340a3,136.0,170.0,,,,ATX Mid Tower,34.0,1,1
c77afd5a-e48c-4f23-8154-50b34feb638c,881c5ab0-0ed3-460b-b49f-09d68811c46a,158.0,65.0,,,,HTPC,-93.0,0,0
8efa46d5-17d5-4041-b215-feb518c2596b,ebabe3d7-5028-43c5-9182-9de3cfff2d31,163.0,160.0,,,,ATX Mid Tower,-3.0,0,0
c5abeffe-49ef-4ec2-a0c2-60d774d877b8,336024ff-6df8-4710-bd5f-b3c8ef276dd4,122.0,67.0,,,,Mini ITX Tower,-55.0,0,0
c86aaafb-ef86-4a84-aa55-62500b330bc1,a0ac389e-1d85-4bae-a5c9-5995d3779162,165.0,160.0,,,,Micro ATX Mid Tower,-5.0,0,0
