cpu_id,motherboard_id,cpu_socket,motherboard_socket,cpu_cores,cpu_threads,cpu_base_clock,cpu_boost_clock,cpu_tdp,motherboard_ram_type,motherboard_ram_slots,motherboard_chipset,socket_match,label
7377252c-2ad0-4602-ba1e-a4501d981d4c,08f812a3-fd3a-4ddd-881d-02505f6d06de,LGA2011,LGA1150,6,12,2.6,3.1,80.0,DDR3,2,Intel H81,0,0
efca94bc-ba7e-4149-a633-7d3f548f7ed8,accc4e49-490c-47e1-bfc8-f4a9e887152c,LGA1200,LGA1200,6,12,2.6,4.4,65.0,DDR4,4,Intel Z490,1,1
191c28ae-cac2-4752-bee1-b22e57c417af,d5d45c65-f0cd-4801-bf35-165c22aed73a,LGA2011,LGA2011,8,16,3.2,4.0,140.0,DDR4,8,Intel X99,1,1
247c298b-6d94-4740-ac2f-ff7171d70499,8a546b11-3ea5-4d65-85cd-a6ac6dddf9c7,STR5,LGA2011,64,128,3.2,5.1,350.0,DDR3,8,Intel X79,0,0
c7d21bb9-7688-49bd-ac6c-f5730c2a5b7f,2ce7f5bf-8c53-45d3-bd46-dcd8f5cdba10,LGA1151,LGA1151,8,8,3.0,4.7,65.0,DDR4,4,Intel Z390,1,1
b4ae2fc5-129a-4af3-82f3-77f01bfb9e29,9c56e3d6-7fba-411a-9d90-bcd482dfe404,LGA1151,LGA1151,4,8,3.8,4.7,71.0,DDR4,4,Intel Z390,1,1
10213fa5-c67b-4d69-b8a0-913cd25b129f,0314b6ff-5cd6-460d-b1ec-b9caa7225a07,LGA2011,LGA1151,8,16,3.0,3.5,140.0,DDR4,2,Intel Z270,0,0
92f76877-d37d-4026-a930-e71d0880d506,82fb0a7c-22e0-4e63-9ceb-92b3d5551611,AM4,AM4,4,4,3.5,3.8,65.0,DDR4,4,AMD X370,1,1
c009a13a-76ea-47e3-b908-89c690705b20,1a2cc661-eef4-4c5e-90fb-4e69e8434911,AM4,AM4,4,4,3.5,3.7,65.0,DDR4,4,AMD B350,1,1
8bcd138c-f058-4ccb-8bb1-a0803b7067a5,0815c516-c919-48bd-9a09-858758a59e44,LGA1151,LGA2011,4,4,2.0,3.0,25.0,DDR4,8,Intel X99,0,0
561fd78d-c0ca-4619-a942-92eacf4bfccf,d26554c7-63dc-4dda-9e49-c68e03348675,AM4,AM4,4,8,3.8,4.0,65.0,DDR4,2,AMD B550,1,1
c1f517e7-9b47-409c-9f03-dc80a329275f,899d2e3e-2a94-4bcd-a5b4-3fbc64da25f2,FM2+,FM2+,2,2,3.5,3.8,45.0,DDR3,2,AMD A78,1,1
bba255ea-d82d-4cfd-a74b-fbce700520ba,2f9ee0df-4533-4eac-959e-525b120f15f2,LGA1151,LGA2011,4,4,3.5,4.1,65.0,DDR3,8,Intel X79,0,0
96c51703-09ad-4260-8125-fa3b7185abe8,3ac5ab79-6a27-4e6c-b3fd-819c7be00a2a,LGA2011,LGA1700,6,12,3.4,3.7,135.0,DDR4,4,Intel Z690,0,0
596e5785-093c-4908-9a08-b34b24c20ab1,11bb87c9-e917-45e4-a83e-12f5e323d229,LGA2011,LGA2011,8,16,3.1,3.8,150.0,DDR4,8,Intel X99,1,1
77d5724f-dbd3-463f-aa65-055860a2810d,7d0456ea-4be0-470b-bd90-3a88fe2f586a,LGA1700,AM4,2,2,3.4,,46.0,DDR4,4,AMD X370,0,0
