gpu_id,case_id,gpu_memory,gpu_memory_type,gpu_tdp,gpu_length,gpu_slot_width,case_gpu_clearance,case_form_factor,length_difference,gpu_case_length_ok,label
6e811081-b07d-4274-bc3b-bb87238fd1f0,b38bcd44-737b-4a38-a30e-e53762bcd376,24.0,GDDR6X,450.0,356.0,4.0,320.0,Micro ATX Mini Tower,-36.0,0,0
4a325131-2582-4bdb-b541-45d841604835,539aed55-ef3f-4816-a0f7-9bf28f6749a7,16.0,GDDR6X,320.0,352.0,4.0,338.0,ATX Mid Tower,-14.0,0,0
d68b3e0c-f09b-49c7-a572-4ab50d319828,91037362-b007-404d-aacc-c0775d17d9b5,16.0,GDDR6X,320.0,356.0,,355.0,ATX Full Tower,-1.0,0,0
59ffba55-948d-407a-baeb-d1f48b5a0320,d2410761-de01-4964-9ced-e42a6f7a7b21,8.0,GDDR7,145.0,208.0,2.0,375.0,Micro ATX Mid Tower,167.0,1,1
30724b43-cdf1-47d1-b0f8-e345c46ddcfc,9ff16e5a-3e0c-45c4-8228-ad70d9a2a337,16.0,GDDR6,260.0,269.0,3.0,482.0,ATX Mid Tower,213.0,1,1
7d80cd7e-4559-4c80-8526-145fde1194b9,9712c1eb-30ae-4444-af35-7f2e3327d0c5,8.0,GDDR7,180.0,208.0,2.0,290.0,ATX Mid Tower,82.0,1,1
81414800-6cd4-4fbf-a96b-4eec39324017,73209473-1dbe-426b-a1d2-8cf3632283a8,11.0,GDDR5X,250.0,293.0,3.0,380.0,ATX Mid Tower,87.0,1,1
c99e3d17-56fd-449a-bb6d-fa9ff7b0326d,c03b6556-a1e2-4f41-bfda-ce2ab6c30a63,8.0,GDDR6,185.0,314.0,2.0,410.0,ATX Mid Tower,96.0,1,1
20963dba-dcd6-45f4-8034-cfcf88a05016,d2397d64-d0bd-40cb-aafa-4613d48c5c5d,24.0,GDDR6X,450.0,322.0,3.1,256.0,Micro ATX Mini Tower,-66.0,0,0
9c5b2b2a-dd2f-4e0a-b6e9-de39843facd4,5572ad02-e3ad-4536-86e4-77a24c2d7790,16.0,GDDR6X,320.0,312.0,3.0,325.0,Micro ATX Mid Tower,13.0,1,1
b2be03d9-72b5-4839-ad56-5ac20f40a399,60d37fac-63d6-46db-84c5-de305790bf26,12.0,GDDR6X,220.0,250.0,2.0,340.0,ATX Mid Tower,90.0,1,1
70432ca3-6067-47ea-91af-4654efa2afb5,52baab97-2b61-44e7-8bc2-13c8da7ca806,8.0,GDDR6,200.0,222.0,2.0,320.0,Micro ATX Mini Tower,98.0,1,1
0fd24596-3296-47d1-98ce-10b9c9cdecc3,98118dfe-9ee3-45e7-af7b-240987e7c08e,8.0,GDDR5X,180.0,312.0,2.0,340.0,Micro ATX Mini Tower,28.0,1,1
247ece28-594b-44e7-9116-cf9c17ab50cd,d738bc0f-fa38-42ab-972c-7fafc1332920,10.0,GDDR6X,320.0,318.0,3.0,315.0,ATX Mid Tower,-3.0,0,0
f7359778-ab43-4759-8383-f37d87860331,d9c7ec13-2d1d-4fbd-a62f-248376c67b14,6.0,GDDR5,120.0,278.0,2.0,415.0,ATX Mid Tower,137.0,1,1
744e2224-973f-448c-a8e6-c550c53e98a9,56074adb-882a-43bd-9bf7-46958a752cd8,8.0,GDDR6,160.0,247.0,2.0,445.0,Micro ATX Mini Tower,198.0,1,1
8bdbea77-e5c9-46af-80a3-95082d280f3c,3fe4de92-d819-4de6-90b9-9ae20b4f1c65,12.0,GDDR6,230.0,322.0,3.0,300.0,Micro ATX Mid Tower,-22.0,0,0
60205946-cd99-488a-bf2e-ddff22e799ab,53212816-aa79-4e51-a223-f9683d916958,24.0,GDDR6X,450.0,332.0,4.0,330.0,ATX Mid Tower,-2.0,0,0
04b371c7-ee0a-4c4a-90b3-62cdfe5e5812,123db36b-a11a-46ac-8bbc-edbc552dc672,12.0,GDDR6X,220.0,336.0,3.0,300.0,ATX Mid Tower,-36.0,0,0
70d5fcb0-2a62-476b-9a3c-1ea6f6e7d728,95550651-ad6b-4110-bd86-70ef4c4862e7,24.0,GDDR6X,450.0,331.0,4.0,320.0,ATX Mid Tower,-11.0,0,0
30776cff-ecbd-42a6-81d1-fd243b611980,e0162a32-c247-4dc6-9bd4-951b9616a757,8.0,GDDR6,225.0,326.0,2.0,310.0,ATX Mid Tower,-16.0,0,0
3f90b030-8918-4f03-9587-430110917b23,63fd9599-7680-4440-b8a5-8dd4526b0456,32.0,GDDR7,575.0,333.0,3.0,295.0,Mini ITX Tower,-38.0,0,0
686630ee-d25b-410a-bb83-2048412dbdd6,ebe1c2e2-e5b8-4aad-a1ef-57a1c8084e79,8.0,GDDR7,145.0,281.0,2.0,9.0,ATX Mid Tower,-272.0,0,0
41883e47-fd2d-402e-b91b-616ee6bb4677,0acbff4f-326f-4451-a9a2-c0b624cb8693,16.0,GDDR6X,320.0,358.0,4.0,330.0,Mini ITX Tower,-28.0,0,0
b8213f37-d337-4ca7-a00a-58bc69a683a2,b9211763-cfed-4f1f-b282-e51d69440cec,16.0,GDDR7,360.0,332.1,3.5,323.0,ATX Mid Tower,-9.1,0,0
a250eda8-5b25-4bde-b3d5-09ea36c356f5,cedd37e9-290b-45a9-92d9-f0abadce19c8,16.0,GDDR7,360.0,360.0,3.75,320.0,Mini ITX Tower,-40.0,0,0
b59e89d7-eba2-4290-bcc3-1e90c1502ecd,b4aeef78-a648-4616-9e71-a8d1fbc6b671,12.0,GDDR6X,285.0,297.0,2.0,344.0,ATX Full Tower,47.0,1,1
eb447551-72da-489f-b40e-a915c034112a,b232b003-0e7a-4804-b8b1-b2448f99a6c2,24.0,GDDR6X,355.0,287.0,3.0,267.0,Mini ITX Tower,-20.0,0,0
c53ed42c-198c-4592-bad4-e2a51bde8e40,28ba0617-4408-4f5d-9b59-744c0d35cc52,8.0,GDDR6,270.0,335.0,3.0,320.0,ATX Mid Tower,-15.0,0,0
d095c242-8646-4f80-940a-f8fdbab5fff6,712230f3-4894-4368-87c8-0d8db631c842,8.0,GDDR6,165.0,281.0,3.0,270.0,Mini ITX Tower,-11.0,0,0
e0fdca02-ee89-4ec9-9791-431cfa262918,8a1960f8-0652-48aa-9da3-6cf92f7a56f2,16.0,GDDR6,263.0,322.0,3.0,200.0,Micro ATX Mini Tower,-122.0,0,0
75c7abc5-9b21-4e76-af30-4ebad27c3c32,f24fc186-62f2-49c7-a839-3c4fce2f0a05,24.0,GDDR6,280.0,267.0,2.0,400.0,ATX Mid Tower,133.0,1,1
1bfb61df-3e60-4a87-bd2b-da4e218bc575,6c8f524a-1099-4074-83e8-4a2ec31d3418,8.0,GDDR6,250.0,328.0,3.0,325.0,ATX Mid Tower,-3.0,0,0
e174b661-9859-4c5b-aac3-081da83b2321,05cc0069-75a1-47bf-b86b-f08b1b2b3b86,24.0,GDDR6X,450.0,337.0,4.0,330.0,Mini ITX Tower,-7.0,0,0
516b5f61-8895-4182-a3d2-9025c5bff0e5,c9576d3a-9577-457f-a4d1-b39ca6b7acfb,8.0,GDDR5,185.0,241.0,2.0,420.0,ATX Mid Tower,179.0,1,1
a5a81c28-d019-4f8f-a05b-931b9a5a74d5,7b2e9076-2adb-4bec-ac3e-b1cd2d9dac47,8.0,GDDR6,180.0,270.0,2.0,400.0,ATX Mid Tower,130.0,1,1
a09e26bc-bdea-4353-b5bb-39df34d00ea3,63d9452c-b98f-42de-9ca5-b4dd4fdf0a1f,16.0,GDDR6X,320.0,336.0,3.0,380.0,ATX Mid Tower,44.0,1,1
b9f61edc-7d73-4ef3-a765-eaabc07cfc23,df8f0249-b3d0-4e72-ad2f-11892823edfc,16.0,GDDR6,300.0,320.0,3.0,300.0,Mini ITX Tower,-20.0,0,0
90cde57b-979b-415a-9041-c0d4011a25aa,53e720ac-aa62-4d02-9223-bdeb900472e4,2.0,GDDR5,60.0,212.0,2.0,335.0,Micro ATX Desktop,123.0,1,1
e8e9b61d-bcb1-4fe5-b7a0-8b8728cf8600,e54860ac-503e-4985-87df-ef460e156872,12.0,GDDR6X,215.0,307.7,2.5,295.0,Mini ITX Tower,-12.7,0,0
6940e494-9758-4f22-b92c-68e5bb56cee8,3e3049c3-a472-46c7-8551-704d03fa7022,6.0,GDDR5,120.0,229.0,2.0,415.0,ATX Full Tower,186.0,1,1
c541bba1-0b0e-434f-9a20-2d80a5f8ac91,1f86b289-9e31-47cd-83ea-41fa4a5bf876,16.0,GDDR6,300.0,267.0,3.0,369.0,ATX Mid Tower,102.0,1,1
6a5ca5fd-f55a-4734-9e79-5ee66b23a406,b7b29a0a-ee15-40d8-b3f9-d669e157c7a1,6.0,GDDR6,70.0,151.0,2.0,485.0,ATX Mid Tower,334.0,1,1
5c428a8d-5247-425d-b6ea-06476d5eb1e5,d2cafb0b-be62-4072-a3fb-7069cdb6355b,12.0,GDDR6X,220.0,307.0,3.0,395.0,ATX Mid Tower,88.0,1,1
c18c25a2-cb68-4741-9f3c-273d3fc01b19,4ccc673e-4a1a-4b81-9244-06971ef0c4fc,24.0,GDDR6X,370.0,328.0,3.0,340.0,ATX Mid Tower,12.0,1,1
cbffa8b3-d43c-411f-aafd-e4854ccd88ba,396af85d-f126-4894-92a5-4cb49946d05e,16.0,GDDR6X,320.0,342.0,,330.0,ATX Mid Tower,-12.0,0,0
26677cb8-00ef-4870-8599-3eea70ef8268,fa5656b1-7908-43a4-b334-7bb2ec4da1cc,16.0,GDDR6X,320.0,332.0,4.0,295.0,Mini ITX Tower,-37.0,0,0
a1c1c300-dda3-4583-ad62-6b16b25c8574,77958f51-af29-4c30-9fac-e4ae96f9e899,8.0,GDDR5X,180.0,169.0,2.0,332.0,Mini ITX Tower,163.0,1,1
91595a10-10c8-46ef-bf77-806792795cf6,08239b12-3054-4826-a45d-24b353ef57ff,16.0,GDDR6X,285.0,261.0,3.0,400.0,ATX Mid Tower,139.0,1,1
e25485c2-b582-4a85-9f13-88839c7b77b7,601cb5b2-52b1-4f4d-b309-55a5c48fbd1a,20.0,GDDR6,300.0,344.0,2.0,320.0,Micro ATX Desktop,-24.0,0,0
0c02a0a6-099d-420b-b1f9-e05e40f5e02d,e7630755-1681-4787-92ff-9246d673e895,24.0,GDDR6,300.0,348.0,4.0,365.0,ATX Mid Tower,17.0,1,1
