motherboard_id,case_id,motherboard_form_factor,case_supported_motherboards,motherboard_ram_type,motherboard_memory_slots,case_form_factor,form_factor_match,label
42286c80-b2df-4efd-a834-6eacea047639,7f15d921-0274-43d4-b0cc-c220e7fcd253,ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mini Tower,0,0
dc63ff42-506f-4d82-b2f8-a16ab0c167a7,39749594-88f1-4fa5-b328-b16361c25bdf,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
9a66eeb7-24ee-47c9-9c3d-cf167933cec4,51af8ea2-9a18-4c7f-bd18-53870f7f6e7f,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
839bb41a-b642-442e-abf9-d9a00eb9f7ec,f4a03300-3f13-4fd9-aecd-c5ba3e93e078,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,2,ATX Mid Tower,1,1
e29a27d3-5ec8-44bc-82f4-1daf274c690b,d36ce6ee-b801-429a-a2b9-1d4cde54c27c,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR3,2,ATX Mid Tower,0,0
31f81703-90d2-40a0-b7d5-e5222615da62,8917202e-4228-450a-9f08-99ae84328aaa,EATX,ATX | Micro ATX | Mini-ITX,DDR3,16,ATX Mid Tower,0,0
dc630aa4-3db9-40fa-a3ae-2d7604909f2f,3bdcf6c3-a281-4a0e-b6b7-15f73939211f,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
815318b1-7897-4ba6-b312-44e7ef804ecd,c924d8bf-d587-42dd-a57a-3d5fff52de93,ATX,Mini-ITX,DDR4,8,HTPC,0,0
f7dc527e-c012-45f2-ac2a-6cdedd6922a7,a685471f-5c40-4e01-8e15-5a272ef8eb54,ATX,Mini-ITX,DDR5,4,Mini ITX Tower,0,0
2cb82d03-38af-4383-8820-f58ae59e3bb5,c0c16dd5-572f-4d8e-bc5f-c7e9978dc02b,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
5a6307b7-ab07-4ca0-9ee5-afdeea9256d1,670c81fb-4035-4402-ab00-3d369fcffb2c,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
43198534-aed6-4410-9280-c96ec2f7dac4,94e5da0f-22ca-4b3f-901b-d4075bf359ae,ATX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,1,1
9951db49-c99e-4ec1-81b6-34623e787843,670c81fb-4035-4402-ab00-3d369fcffb2c,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR3,2,ATX Mid Tower,1,1
1575b202-96e4-4990-8dd7-94dfb55355d6,eccfd7e7-2095-4331-a6d1-260709d3d252,EATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,0,0
7410d3c6-3a65-4f54-9c26-9412ca7f311a,e21f0b6c-7473-471f-9c96-f8404bdf93f9,Micro ATX,Mini-ITX,DDR3,2,Mini ITX Tower,0,0
f056630f-13e7-4687-a101-eaed86a7191a,8ded03eb-248e-4799-a725-c41eeb514165,Micro ATX,Mini-ITX,DDR4,2,Mini ITX Tower,0,0
6af4325d-17e2-4429-8cee-e4beea35e2a5,a6fd6aef-e913-4c87-87aa-bd938a14c295,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
1cfc8570-689b-4f79-9416-b4b69e0439a3,2c2c4f30-6e00-49c5-b302-5ab3ede18da5,EATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,0,0
536b6896-c8e6-4303-8213-265ebef1eb8f,c57fccbc-7855-44e0-b3d9-536aca2c5bf9,ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,1,1
4373e234-8323-4ddf-99d9-d0873fcaad7b,980ae318-cd98-47cd-8b12-a5b6f8a0b01f,ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mini Tower,0,0
17073111-164c-406f-8c9b-4899599ef4a5,eaee7881-975d-47dd-b476-6f0151f8bae7,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR3,2,ATX Mid Tower,0,0
f76b5d44-d5f9-4d01-b733-c32c8651dc3c,33a1876a-2e06-454c-97fb-a3f37b60de56,ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,1,1
f39edf0e-c646-4437-8544-09aed925df6b,4cae241f-b68d-4d69-8577-cb2698847b2d,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,0,0
112fcfd2-cd66-4807-ae37-6f937c0e30eb,b0466394-bd64-4026-bca7-0e0920059344,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mid Tower,0,0
3fad93d5-8a93-4fe2-8c1b-d2c7d354b563,a9af8821-4acd-49e0-9989-3f9ae9c5e9f3,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
117494de-730e-4524-9d6a-07adb212f23f,c1bc7522-bfec-4e1c-a5fb-ba7f2d1c06c4,Mini ITX,Micro ATX | Mini-ITX,DDR4,2,Micro ATX Desktop,0,0
af412172-3b1e-471f-9715-ce7f9a4bad29,eb4704d7-ef2a-4b2e-b24f-fb8ff8cf61ed,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
99a366c0-6003-46f0-ae42-3cea7d47e3ac,8d3a72d3-9e13-473c-b32c-068ed0725343,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,1,1
f65770c6-e950-4fcf-b0f7-9d59c9c951b3,3ed5e62c-1ba0-450e-ab69-7f28cccca4b9,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
35c54117-2660-4235-980b-147c51c6eef5,4877684a-fe87-4545-8c01-c3dd19a28684,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR3,2,ATX Mid Tower,1,1
69f00823-ceb0-40c4-84b8-4efee4b8a456,c84cf5fa-b019-46db-bdb8-1c78625f159d,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
4a33f17f-807e-408a-8387-3e1020416622,30de3389-af3b-4ce3-93b1-99cef3b03b00,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
1e046f02-c2cc-4cac-9c7f-b68448caf9cc,5c0a6c31-c3f1-49d5-8806-2da766c83e53,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
cca2d363-c9d5-41fc-9fee-7c17cbdc66b7,81721d18-7067-4bde-8b98-0f9c8cb25af9,Micro ATX,Mini-ITX,DDR4,2,Mini ITX Tower,0,0
ff723895-67d1-4096-b7ba-2711aa4aaeb5,0aaeae5d-c1e4-4805-8a3d-22981b4fc4f4,ATX,ATX | Micro ATX | Mini-ITX | EATX,DDR4,4,ATX Mid Tower,1,1
152013e8-0b35-4b72-b259-ca27ce7c9599,ba2d6944-34d3-412f-bf02-a6193581098d,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,2,ATX Mid Tower,1,1
d6de0ed3-0b46-498f-882b-45a873be9799,26ca5cc1-6f87-4b25-8a1b-2b57cd37e19e,EATX,ATX | Micro ATX | Mini-ITX,DDR4,8,ATX Full Tower,0,0
9a55d5ed-88e1-4534-af30-b4d73b153626,c03b6556-a1e2-4f41-bfda-ce2ab6c30a63,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,1,1
b0faf23f-5c51-40c4-bef4-f04ab3f97d87,ebb8823b-c1e0-4b56-a39a-7aa48091fd69,ATX,ATX | Micro ATX | Mini-ITX | EATX,DDR5,4,ATX Mid Tower,1,1
44ddaa41-0d0b-4b32-9bbc-a6714252a227,4ceb7cc8-7be0-45bf-b3ab-18e3dc8763dd,Micro ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mid Tower,1,1
9b463bd8-e901-4f94-8b31-8def583cf1d0,b615c689-7331-430b-a7db-3d84dae3dd87,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
9497848e-e023-4090-9fdb-67678651a537,74fd23c0-3b74-4064-a4aa-a624276720c8,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
9ca76e0c-5ffd-4987-a5ea-b9cdb09c354c,a4975d2e-9157-46a1-b007-92841c8c1e8f,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
49bf1bb8-52e5-4511-8fd4-db816e7208d7,08f83f40-7f0f-4c64-a208-c7f516f1efcf,ATX,ATX | Micro ATX | Mini-ITX | EATX,DDR5,4,EATX Mid Tower,1,1
2ea5de1f-43c9-4394-92f0-a8bcb83f2186,ed3af6d0-32ee-49a4-87d7-d85f6a7d59e3,EATX,ATX | Micro ATX | Mini-ITX,DDR4,8,ATX Mid Tower,0,0
