psu_id,case_id,psu_wattage,psu_form_factor,psu_length,psu_efficiency,case_supported_psu,case_psu_clearance,psu_form_factor_match,psu_length_ok,label
8d3cc9b5-f43a-4059-bb69-faca47f3e71b,53eceab5-26db-446d-984f-34f3590f3f17,750.0,ATX,140.0,80+ GOLD,ATX,220.0,1,1,1
d4e8256a-5a3f-42b5-952a-3b27ac6ee528,948b8007-fa96-47ee-aae1-b30ca6758058,800.0,ATX,160.0,80+ BRONZE,ATX,160.0,1,1,1
14a7f817-2657-4eeb-aa9f-bd457729f56f,51c2e82d-01c1-47b9-9c6d-5798a19ff6bd,650.0,ATX,160.0,80+ GOLD,ATX,200.0,1,1,1
252d8d23-2c51-4940-8ec0-feec5343fb37,3e765ce5-3444-405e-b510-9d9aa6776a91,650.0,SFX,100.0,80+ GOLD,ATX,,0,-1,0
b6acc8ce-6c11-4000-a601-e33156e8ed7c,51b2027c-caff-483f-9398-25f2b30cd0d9,700.0,ATX,140.0,80+ GOLD,SFX | SFX-L,,0,-1,0
8119d1d6-1bed-4cb3-9b8a-7dbe5a7850ef,745045ce-cbd6-4fea-8cdc-b7f8c02de8e5,300.0,SFX,100.0,80+ BRONZE,ATX,220.0,0,1,0
68162e75-c080-4354-9204-262c4343adce,c0b0a371-7237-4b22-868d-00f633dc1aa0,450.0,SFX,100.0,80+ BRONZE,ATX,,0,-1,0
cd48a5b7-33d1-4360-8592-4548420b9006,7ebdb849-a8df-466f-883a-bb82ac197aaa,600.0,ATX,160.0,80+ GOLD,ATX,,1,-1,1
ed0e0630-80ab-4b68-871b-a9637ed585a5,2da4df71-b3a3-412a-b67c-d30f84c77d91,850.0,SFX,100.0,80+ GOLD,ATX,200.0,0,1,0
7e825e3e-936d-4f60-aad7-486460cfc8dd,55b94e26-2495-4727-acff-6ac025396bcd,1000.0,ATX,140.0,80+ GOLD,ATX,200.0,1,1,1
f05baca1-4404-4359-b219-bc5e47c6f965,d376a58d-c9f6-43a8-a79f-c9a750a76310,1000.0,ATX,180.0,80+ PLATINUM,ATX,160.0,1,0,0
e6804090-e837-4d73-9c1e-840de5ffa8d3,bd22ec2e-6668-41e1-85c6-1305c6c7100a,1300.0,ATX,170.0,80+ PLATINUM,ATX,160.0,1,0,0
f9520904-d6fa-4355-b522-8f17ec341c60,abf2c632-f2b2-4930-85b2-832f5a292234,500.0,SFX,100.0,80+ BRONZE,ATX,180.0,0,1,0
2b779e03-cc8b-4508-b3bf-b723d1915f67,13890e42-7d80-43db-9ef8-4b65b9c13276,350.0,TFX,175.0,80+ GOLD,ATX,160.0,0,0,0
f775351d-c017-4199-b752-b4b131d9ab0b,456a564c-2998-4260-b779-ee852852a829,850.0,ATX,142.0,80+ GOLD,SFX | SFX-L,,0,-1,0
72003e5d-aec8-4901-9a93-5450df7df281,842d8d1a-e71a-46be-b7e8-e96617882044,300.0,ATX,146.0,,ATX,,1,-1,1
f026ce60-70b9-4ea7-9b47-b1a49cad9b86,db06f330-f5e1-4e8b-b6e5-8430c47ab17f,850.0,SFX,125.0,80+ GOLD,ATX,220.0,0,1,0
978f6afe-3c8d-4ce7-adef-0eb1c4458d97,3e765ce5-3444-405e-b510-9d9aa6776a91,550.0,SFX,100.0,80+ GOLD,ATX,,0,-1,0
6ba2cd1b-650a-498b-ab24-0ac8266f19a8,d9f40ae5-b61c-40e4-8de2-e259d68bf4ff,800.0,ATX,140.0,80+ GOLD,ATX,220.0,1,1,1
420247eb-ba07-4025-b0d3-e3a5b87bd14b,faf380e2-a1ce-4442-ad9e-161f70c64d35,1000.0,ATX,150.0,80+ GOLD,ATX,180.0,1,1,1
eda27860-717c-4329-bb09-9792a7ed85d0,2da4df71-b3a3-412a-b67c-d30f84c77d91,600.0,ATX,140.0,80+ BRONZE,ATX,200.0,1,1,1
2d4198a5-d3ab-45da-adf3-94b06d7c8719,08f83f40-7f0f-4c64-a208-c7f516f1efcf,300.0,TFX,175.0,,ATX,210.0,0,1,0
