storage_id,motherboard_id,storage_type,storage_capacity,storage_form_factor,storage_interface,storage_nvme,motherboard_m2_slots,motherboard_pcie_slots,motherboard_pcie_x16_slots,motherboard_pcie_x8_slots,motherboard_pcie_x4_slots,motherboard_pcie_x1_slots,motherboard_pcie_gen3_slots,motherboard_pcie_gen4_slots,motherboard_pcie_gen5_slots,motherboard_pcie_max_gen,motherboard_form_factor,motherboard_ram_type,storage_m2_slot_ok,label
038289bd-0b05-4d9b-ab3d-60191f4dbcfb,ec9bfe08-89bf-4f32-bcb5-e933b7011c8d,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,2,4,1,0,1,2,2,1,1,5.0,ATX,DDR5,1,1
fef572bc-8150-4d52-ac25-0f906d51dea0,9c63d451-65ce-4aeb-bf75-d387b219d62d,SSD,8000.0,m.2-2280,m.2 pcie 3.0 x4,true,0,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR3,0,0
14bb389e-8e42-484c-9396-c962ddaf60dd,603cf23c-4635-47cd-8465-f2b1b0b5e6d5,SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,3,6,3,0,0,3,0,6,0,4.0,ATX,DDR4,1,1
b31ece74-0f9d-4216-a6fe-ab4e5b5007c5,132bb6d4-955b-4d8b-be1d-d715c2c2121d,SSD,2000.0,m.2-2280,m.2 pcie 5.0 x4,true,3,6,3,0,0,3,6,0,0,3.0,ATX,DDR4,1,1
a91f8607-f4a1-454f-a5c6-e9dbee8b4074,22e23ce3-09b2-4e38-b5b2-a3bcd255ad56,SSD,4000.0,m.2-2280,m.2 pcie 5.0 x4,true,0,5,2,0,0,3,0,5,0,4.0,ATX,DDR3,0,0
f716fd7e-d380-4337-8bcf-3e72205b9ac5,40e122aa-b63f-4a54-9b39-68a3494eb113,SSD,500.0,m.2-2280,m.2 pcie 4.0 x4,true,0,6,5,0,0,1,0,6,0,4.0,EATX,DDR3,0,0
c68270e4-09c9-4f77-9892-c1abe190ff7a,ff6d42b9-56bc-4ec1-a822-b5c39723a5f5,SSD,2000.0,m.2-2280,m.2 pcie 3.0 x4,true,3,2,1,0,1,0,0,2,0,4.0,Micro ATX,DDR5,1,1
be3ba07f-8d73-40fd-b3c6-baab29137c14,1239bc12-2d2f-4148-ab1c-b41b41a75136,SSD,250.0,m.2-2280,m.2 pcie 3.0 x4,true,1,2,1,0,1,0,0,1,1,5.0,Micro ATX,DDR5,1,1
3b3bac64-1c94-48fb-aeaa-7abdd28a7c5c,df53c0ef-49e6-489d-abc3-6d0eb58f2412,SSD,4000.0,m.2-2280,m.2 pcie 3.0 x4,true,0,5,3,0,0,2,0,5,0,4.0,ATX,DDR3,0,0
bc303cda-4afd-4be7-a414-b8b4f1b7985b,68a4fcfe-6307-409e-894c-b19f31f83cb1,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,4,2,1,0,1,0,0,1,1,5.0,ATX,DDR5,1,1
222ebfb0-13cb-4d3c-9598-e41de4456302,3ad732be-3e12-404c-8543-dd0891883f45,SSD,32.0,m.2-2260,m.2 sata,false,3,5,4,0,0,1,0,5,0,4.0,ATX,DDR4,1,1
4158e572-6a32-4fc4-981d-85f2bdb52e14,d9a98910-34f8-48f2-b93f-5952f096e6fb,SSD,2000.0,m.2-2280,m.2 pcie 3.0 x4,true,0,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR3,0,0
fe0e434d-29c9-43c9-aba8-8b3df6f43ca5,88eb85bd-e474-4b57-baa9-2d4955aa4069,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR2,0,0
84f9bc42-8e7c-4b9e-aae5-1cdc3a2f8fdd,40e122aa-b63f-4a54-9b39-68a3494eb113,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,6,5,0,0,1,0,6,0,4.0,EATX,DDR3,0,0
69657c70-2f25-4fbf-ac33-0688c1430409,a13ac755-87ef-47ca-8305-a0b671326e1e,SSD,1000.0,m.2-2280,m.2 pcie 5.0 x4,true,3,5,3,0,0,2,0,5,0,4.0,ATX,DDR4,1,1
08f9a4fb-d5c3-4e2a-89ca-6b23834c8158,d49b3ffc-2a6f-47a6-bae2-e14fc7645196,SSD,480.0,m.2-2280,m.2 pcie 3.0 x4,true,3,2,2,0,0,0,0,1,1,5.0,Micro ATX,DDR5,1,1
0c5a8cd6-0dd5-406c-b725-849e0a73ed2f,4e4712b1-5081-4a63-9c41-e6db177fb129,SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR3,0,0
52c82b0d-d899-46a7-b17c-3958d16ee0ae,e2e1861d-171b-4de0-869a-15041119c2b7,SSD,800.0,pcie,m.2 pcie x1,true,0,5,2,0,0,3,0,5,0,4.0,ATX,DDR3,0,0
f3b2ce0c-a86d-41c8-9026-63364c608274,58173e5c-9817-4943-817f-7fec5319f511,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,3,5,5,0,0,0,0,5,0,4.0,EATX,DDR4,1,1
cac87bab-bbb9-4f4d-abfc-7cb819afc953,36ca7748-ff66-49aa-8862-9aefa066ed50,SSD,4000.0,m.2-2280,m.2 pcie 3.0 x4,true,2,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR5,1,1
20cc19ae-d811-410b-b9e5-9d1663bc5b58,335a692f-363c-418f-950b-bf0cbcbe2f46,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR3,0,0
e45a9ea4-fd19-476b-ab02-74940240097b,343c539b-eeb9-4373-b80c-30016ece7f03,SSD,256.0,m.2-2230,m.2 pcie 3.0 x4,true,0,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR4,0,0
b41b8b78-7814-41ce-9fae-e2bc84c60339,051bc79b-2983-4321-8ec0-f6134959e488,SSD,500.0,m.2-2280,m.2 pcie 4.0 x4,true,1,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR4,1,1
c5fd21aa-a221-4894-b0de-d82225f264ac,32ef299a-3f08-49d2-ae86-23adca0770e8,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,7,3,0,0,4,0,7,0,4.0,ATX,DDR3,0,0
5d277e8a-c8a1-4da9-b732-c995034121c4,31d637de-47cd-4c9b-9fb9-2bff897b7bd4,SSD,128.0,m.2-2280,m.2 pcie 3.0 x4,true,0,6,4,0,0,2,0,6,0,4.0,EATX,DDR3,0,0
0e408dd0-d000-4ee3-850b-fc82e8606722,ba70c117-dac6-4921-b0b4-139e574e32aa,SSD,256.0,m.2-2280,m.2 pcie 3.0 x4,true,0,1,1,0,0,0,0,1,0,4.0,Micro ATX,DDR3,0,0
abbfdee2-d4ad-4266-9e7b-74ba798204cf,6ff4db53-94d9-4453-b1e7-2b4640fe0d7c,SSD,512.0,m.2-2280,m.2 pcie 4.0 x4,true,5,4,2,0,0,2,2,2,0,4.0,ATX,DDR4,1,1
e41f3479-6697-4e25-8650-190fa2d513c2,1bf0d656-771f-45cb-916f-64a831fa96ea,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,7,7,0,0,0,0,7,0,4.0,SSI EEB,DDR3,0,0
77c87c99-844e-43df-bfd4-df8b19557fff,1748d75f-9025-4830-9b55-7888b452e38d,SSD,250.0,m.2-2280,m.2 pcie 3.0 x4,true,0,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR3,0,0
3bf12bcc-6662-4dc6-ba75-8c6c73c0cee3,4e58d37e-3547-4b3e-a557-3538c18fff8b,SSD,2000.0,m.2-2280,m.2 pcie 3.0 x4,true,3,6,3,0,0,3,0,6,0,4.0,ATX,DDR4,1,1
d714ca4e-edd1-4847-8542-9c68d2585e3c,6a2174c0-ff78-4d93-a22e-d9d6a1094883,SSD,500.0,m.2-2280,m.2 pcie 4.0 x4,true,0,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR3,0,0
c856ce61-f66d-4542-baed-651832403ce3,be26f45b-17ea-465d-895a-9b3c108ee7e3,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR3,0,0
d4d99095-9a6d-4398-8dc0-c6e070efb3ad,53c26444-b557-482b-9cff-2b460493e966,SSD,250.0,m.2-2280,m.2 pcie 3.0 x4,true,2,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR4,1,1
eeb027b5-d527-44df-869b-32b8ea5be7bc,9cd6da25-ae99-49ed-b6b3-f34b7d2f5ed3,SSD,256.0,m.2-2280,m.2 pcie 3.0 x4,true,0,1,0,1,0,0,0,1,0,4.0,Mini ITX,DDR3,0,0
abb4a103-0708-4ffb-b3d7-63b00d2d9d46,4548d373-32bc-4738-bd29-3df84fe161b4,SSD,512.0,m.2-2280,m.2 pcie 2.0 x4,true,0,6,5,0,0,1,0,6,0,4.0,ATX,DDR3,0,0
8c732e80-5989-406e-8c0c-0b641808862b,d6f50583-04e3-409a-a14c-d5232a1b2f2b,SSD,1000.0,m.2-2280,m.2 pcie 5.0 x4,true,3,5,3,0,0,2,0,5,0,4.0,ATX,DDR4,1,1
c387ea60-3aff-4227-844b-2007078e6ec9,66c8bbc9-ee7e-4b33-82b7-3a57b744c6c1,SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,0,2,2,0,0,0,0,2,0,4.0,Micro ATX,DDR3,0,0
aaa009da-da0f-488b-a778-1edbf89ba6f9,4bd30495-eb26-427f-9fce-423f94c2be97,SSD,500.0,m.2-2280,m.2 pcie 4.0 x4,true,0,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR4,0,0
797c9c95-6c05-4ccb-bb77-167c7c002f91,084979ad-639b-48a1-87a5-503f6f382fa7,SSD,2000.0,m.2-2280,m.2 pcie 5.0 x4,true,0,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR2,0,0
8664d82a-863a-4d2e-a2cb-911f33b8b7ef,b55bae5e-5c45-4378-a380-9f9f2b2357db,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,3,2,1,0,0,1,1,1,0,4.0,Micro ATX,DDR5,1,1
79be68af-8e01-4e73-8331-b2050ad63032,345106ed-ec36-4680-b1ab-649e8588d0ff,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,4,2,0,0,2,0,4,0,4.0,ATX,DDR3,0,0
d65eec47-a45a-421a-99da-0d4c50ccffc1,81099b6b-1789-46c8-b52b-273f78fa9b6b,SSD,2000.0,m.2-2280,m.2 pcie 3.0 x4,true,0,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR4,0,0
f863084b-8eee-4fea-a53c-45f55fce2752,6e6c709e-0f8e-4252-af3e-2fdbbb9f26d4,SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,5,2,0,0,3,0,5,0,4.0,ATX,DDR3,0,0
f5e9e9d9-e2ac-449c-a135-0b24b23f9605,279fe5cd-27d4-407b-a00c-cb9fcc61a8f4,SSD,256.0,m.2-2280,m.2 pcie 3.0 x4,true,0,2,2,0,0,0,0,2,0,4.0,Micro ATX,DDR3,0,0
c93e8f7d-6595-4bde-9011-1315b1397463,cc4d8c51-7ff8-4534-8064-cc945c37b315,SSD,128.0,m.2-2280,m.2 pcie 3.0 x4,true,0,4,2,0,0,2,0,4,0,4.0,ATX,DDR3,0,0
2df11138-e7ac-455f-ba4f-1955972ff0c3,4c9a18a5-49c2-4744-a2ff-f08dcf6dec43,SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,4,3,1,0,1,0,2,1,0,4.0,ATX,DDR5,1,1
56d6e0da-e10b-413f-923e-bf024358c89a,8bd4b569-0b15-4c8b-b4f6-df532990a99d,SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,3,2,2,0,0,0,0,2,0,4.0,Micro ATX,DDR5,1,1
68700561-e326-4008-891d-7f3512857e44,a98cb583-c8e4-4262-bae5-26e71b484cb6,SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,5,3,0,0,2,0,5,0,4.0,ATX,DDR3,0,0
bb22078b-59e4-4d01-b2d3-feed050a1e78,d6e91521-35b7-4689-98a5-6719c454da81,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,1,2,1,0,1,0,0,2,0,4.0,Micro ATX,DDR5,1,1
