cooler_id,case_id,cooler_fan_size,cooler_fan_quantity,radiator_size,cooler_height,case_cooler_clearance,height_difference,cooler_case_height_ok,case_form_factor,label
a2080f57-2202-4259-9e8d-75b9603719ec,bb32b5f1-8400-41fd-a526-008e0fdf5474,,,240.0,125.0,58.0,-67.0,0,HTPC,0
0ad3cfde-3bd7-4e45-9bff-cfce0f5512dd,397a6df3-efca-4fc5-b81f-29c878a9f283,,,,155.0,182.0,27.0,1,ATX Mid Tower,1
67013c57-5351-4de2-915d-5a99e43a8705,5b810f9e-3f4f-43e3-a7cc-909781d4cc55,,,,75.0,180.0,105.0,1,ATX Mid Tower,1
33795427-ff41-4483-8952-6a72c72d5fc8,9e92d512-eeb5-45fd-b097-411230bb5949,,,,155.0,185.0,30.0,1,ATX Mid Tower,1
2a88321c-0b20-4e0d-ac2c-8f0df4af4556,9a3975a9-2928-4161-9052-80748e439c17,,,,88.0,70.0,-18.0,0,HTPC,0
a9b1a0b5-8203-4acb-a296-84503e06b567,1d9a3053-dcdd-45fe-862e-b3e2546617b4,120.0,2,,165.0,138.0,-27.0,0,HTPC,0
55036bf4-06d3-4b03-b08f-6e2abbd0d9b4,3b1f55d7-f7f7-47ec-abb7-0d4b5ae98510,120.0,,,155.0,50.0,-105.0,0,Mini ITX Tower,0
ce76b372-3209-4d2c-933d-f524b7ff1a7b,a3cd4439-ae0a-4ccf-9b17-b39ffc5c3d07,,,,151.0,160.0,9.0,1,ATX Mid Tower,1
46646214-8e71-4020-b6e6-50ca9424e53f,cc86ec11-5446-420f-98df-b6e7cb1474de,,,,166.0,68.0,-98.0,0,Mini ITX Tower,0
2bea72f6-edc2-461b-960b-7f5ff6dab83b,8f371b1b-e880-461b-977b-f5baf9e77028,,,,155.0,163.5,8.5,1,Micro ATX Mini Tower,1
9e2c0c50-37cc-4b59-8364-07aea41fd100,75a26db3-e024-4551-8061-e43bb3e14e77,140.0,3,420.0,52.0,160.0,108.0,1,ATX Mid Tower,1
a0930b00-4104-48e1-a170-d5ec2b1a1734,2bf2cddc-4994-4aa0-8cdf-f9aa60a27862,,,,160.0,157.0,-3.0,0,Micro ATX Mini Tower,0
101e0a7c-da03-4cc6-a9ea-dd99a35370d8,2997135e-3ae9-4123-bbb6-3450ebf1fafa,135.0,2,,162.0,160.0,-2.0,0,ATX Full Tower,0
c1addeb0-a875-49df-8855-c484b8dd5184,79f10ddb-49c4-495f-957a-926350d72ae4,,,,150.0,90.0,-60.0,0,Micro ATX Desktop,0
38433bb7-2681-4f1d-8f0a-0d90cf58a02d,104c8611-3f84-45f9-907d-929a78114bc3,,,,154.0,120.0,-34.0,0,Mini ITX Tower,0
1fa82bd6-ae65-42b9-84d4-57b242ae54cf,213c2f9b-5964-4758-a086-80204c2a4e80,120.0,3,360.0,137.0,168.0,31.0,1,ATX Mid Tower,1
bdaac34d-ebf3-44fd-8fec-e51b0fa4715a,ff32dbfa-7f0c-4d9a-932a-623865acd25c,,,,69.0,187.0,118.0,1,Micro ATX Mid Tower,1
088d5525-230a-4b78-aa1f-a1d9c241443c,09ed1c2d-8d14-4f2e-867b-77866270b580,,,,161.0,160.0,-1.0,0,ATX Mid Tower,0
b980e9a2-1410-48d8-98ce-6a37de69c000,5b7cf759-e1b3-489c-a78d-2860b11118c4,,,,28.0,205.0,177.0,1,ATX Full Tower,1
fc2b06e8-876c-4806-a44d-a339b8a00ca4,44ab0fa6-87df-4b80-888c-e9e000d067ec,,,,133.0,67.0,-66.0,0,Mini ITX Tower,0
42aa2bc6-9bec-4353-acfb-8894584e2e0d,b94b1010-5eda-4636-92a9-197bb6001245,,,,158.0,70.0,-88.0,0,Mini ITX Tower,0
1ca4af39-9e59-4c63-a5e1-b9609f4bdb79,f9288b0b-564e-4f4c-b51c-cad9d2a78b10,,,,112.0,82.0,-30.0,0,Mini ITX Tower,0
c1b77417-bb24-4a4b-b760-38317d666f2c,ca96d961-6d33-4350-aade-64f26cf1b0b1,,,,135.0,175.0,40.0,1,Micro ATX Mid Tower,1
62be088e-810f-4b41-9660-ae129439fdd6,debe1389-4f73-44b6-b031-f361fca272ca,120.0,2,240.0,65.0,175.0,110.0,1,ATX Mid Tower,1
f384f2fb-7b8f-4a0b-8ffe-45e5e4886687,6b6b1121-49c8-4478-a9d7-01b8324b7ed0,120.0,2,,151.0,70.0,-81.0,0,Micro ATX Desktop,0
f4080598-4f95-478b-bcdf-be3190b0d8bc,ef198635-70c5-4ece-834f-771af9e28cf3,,,,154.0,138.0,-16.0,0,HTPC,0
64c0e0d7-85cf-4fa3-9578-f343e38eb3da,245df228-98c3-4e14-b256-1622e591d5d8,,,,155.0,70.0,-85.0,0,Mini ITX Tower,0
6f4831b9-d89e-453e-a49f-b075b8ce595a,271ac65d-6af5-4159-a76e-b5e8fc9d38a3,,,,47.0,175.0,128.0,1,ATX Mid Tower,1
760b1ba1-1220-4ff7-88f9-49225a27d0d4,01e80402-f15e-4d65-ba08-db2e69fdc267,,,,164.0,155.0,-9.0,0,ATX Mid Tower,0
8e2f7584-7ff0-43e7-b340-c0247a44d0d9,2b9f3872-9f5f-4574-87e0-de621b7e39cd,,,,154.0,48.0,-106.0,0,Mini ITX Tower,0
b410291c-8775-4703-9c0c-c3144ff91b71,ea0fc496-555d-4b24-afb1-38428b3cd5ab,,,,169.0,165.0,-4.0,0,ATX Mid Tower,0
464d79f5-7bc8-4384-bbf2-d36b44924679,11ec6b37-24c2-4e1f-821f-bdfe476ebcd3,140.0,2,280.0,157.0,150.0,-7.0,0,Micro ATX Mini Tower,0
9b4973aa-8146-44a8-85d1-6e7165ca508f,d91aa8dd-d697-4545-bc34-b799b8b34303,,,,136.0,188.0,52.0,1,ATX Mid Tower,1
a3c0b7a6-e277-4eca-98f4-744e5aa6a750,453255ec-72fe-47f6-9343-3fd0393b6331,,,,158.0,173.0,15.0,1,Micro ATX Mini Tower,1
693134bf-8d44-4551-b8ff-f33de87f8faa,ce7c679b-f94a-41c9-b335-935b5b188b37,120.0,3,360.0,73.0,185.0,112.0,1,ATX Mid Tower,1
3aa6e795-7003-4e5f-8ed2-1cad7d83100b,8afd5d2c-df69-4b4d-8865-6fdc5e01cd96,,,280.0,56.0,166.0,110.0,1,ATX Mid Tower,1
23592a9d-5dd6-4c94-80f7-ab0784e82b90,7a39c2c3-d65c-431f-bb74-ca13246e2026,,,,159.0,158.0,-1.0,0,Micro ATX Mini Tower,0
3fdfa2f4-c25b-47aa-8098-c51ffab9f143,13890e42-7d80-43db-9ef8-4b65b9c13276,,,,165.0,185.0,20.0,1,ATX Mid Tower,1
5db0ad1f-39f6-48a8-8848-95f6ee5a1a62,4c54fd26-e0c3-4028-8239-fa2b00ad2dd3,,,,153.0,135.0,-18.0,0,Micro ATX Mid Tower,0
a52ce5db-42a3-4f67-bfc7-55a3f9bb6f1a,8d9b32c3-3d21-46c0-ab11-5df862b07866,,,,69.0,57.0,-12.0,0,Micro ATX Desktop,0
ffba9d10-150f-4966-bc85-88172c92d927,8d9b32c3-3d21-46c0-ab11-5df862b07866,,,,158.0,57.0,-101.0,0,Micro ATX Desktop,0
e949c2b2-aa7d-488c-98e6-a54b7a2a7be8,18319ed8-7e6e-445a-9295-9a51fda10aad,,,,47.0,182.0,135.0,1,ATX Full Tower,1
80147830-6be8-4835-a7a0-21006cd69fe8,2e46ed1f-cbb0-447e-8ac4-c2e31a348f14,,,,154.0,185.0,31.0,1,ATX Mid Tower,1
1b1e39bd-4574-41a3-9f72-4fb2e60ab25f,104c8611-3f84-45f9-907d-929a78114bc3,,,360.0,69.0,120.0,51.0,1,Mini ITX Tower,1
bd58d833-adf4-4034-a922-2f7770d9f2e8,bac243a4-be7d-48bc-ad96-7290c17484da,,,,123.0,110.0,-13.0,0,Mini ITX Tower,0
8bd069b1-1a57-4170-8e2a-28fc0f5bf023,456a564c-2998-4260-b779-ee852852a829,,,,158.0,75.0,-83.0,0,Mini ITX Tower,0
d154e9b8-b4f2-4f9e-ae80-0a6486952104,9a3975a9-2928-4161-9052-80748e439c17,,,,162.0,70.0,-92.0,0,HTPC,0
2a2ab4ad-c841-411c-8260-5b3bf9da584c,45275c6f-339d-431e-91c1-a96308f64d1d,,,,155.0,148.0,-7.0,0,Micro ATX Mini Tower,0
0b180b6f-b5c8-48df-ae78-cdd1cf8afe6d,55b94e26-2495-4727-acff-6ac025396bcd,,,,53.0,165.0,112.0,1,ATX Mid Tower,1
eddaaf96-c903-4d83-8a2f-d292bb862f51,b6d2df2f-37cc-4aff-9b6e-645f305087a2,,,,160.0,70.0,-90.0,0,HTPC,0
7a8a1e29-b481-4241-9796-66801bff7e72,465e575a-8216-4e51-a994-59450fbdd91b,,,,81.0,210.0,129.0,1,ATX Mid Tower,1
9fee7ac0-d737-4599-9091-0dc3a8eabf54,5b4c6529-cc9b-4205-87f8-d4a5b51337c8,,,,154.0,158.75,4.75,1,ATX Mid Tower,1
14f129bb-f85d-4fd0-a012-8bcbb854db96,2120f1dd-b8ef-4b56-aaa6-ee2c6f9de45b,,,360.0,67.0,180.0,113.0,1,ATX Mid Tower,1
a6d25a12-2c12-45e0-9a8a-dae889b501cd,df8690bd-a483-483e-a4f1-f4116e2cb6c5,,,,150.0,165.0,15.0,1,Micro ATX Mini Tower,1
a2778df7-1625-4af5-a6fb-9466dd8058fc,336024ff-6df8-4710-bd5f-b3c8ef276dd4,,,,154.0,67.0,-87.0,0,Mini ITX Tower,0
7c486517-d6ce-4e2e-b5c7-52036eb4e64c,eeaac00c-faaf-44a1-b77b-0e564fa03c2d,,,,154.0,70.0,-84.0,0,HTPC,0
c666b2b5-f1ad-4813-b76b-ec7dab240f20,8677370f-4326-4db1-8354-69c4d48f5a46,,,,150.0,170.0,20.0,1,ATX Mid Tower,1
4239f72d-a175-459a-a6da-ff42867142e6,30de3389-af3b-4ce3-93b1-99cef3b03b00,,,240.0,60.0,170.0,110.0,1,Mini ITX Tower,1
e8313bde-15c9-46f5-85da-41b2baaeede6,881c5ab0-0ed3-460b-b49f-09d68811c46a,,,,133.0,65.0,-68.0,0,HTPC,0
9b4ff4b9-bd59-4e21-98ee-e88b9b6f238e,723392ad-dd65-4543-9ed4-304e99e8fb80,,,,136.0,190.0,54.0,1,ATX Mid Tower,1
8aeba478-16d2-4431-b73f-7dfee08412dc,0348175d-007a-47a6-a4bd-db9bf8960f74,,,,143.0,167.0,24.0,1,ATX Full Tower,1
d7af59b6-c19c-4897-8dd5-0c6db5f060d6,870a224a-b129-406b-82ff-0f0b32c892ed,,,360.0,62.0,160.0,98.0,1,ATX Mid Tower,1
b1432886-1b14-4d21-af83-26a5585701ae,e4fbd31a-916d-46ca-93be-e73d45aa0268,,,,161.0,155.0,-6.0,0,ATX Mid Tower,0
952c3970-f0d0-4cf7-8c36-74f98bbed603,691cade7-28ae-4b98-93ed-f95766f3f0a6,100.0,1,,123.0,170.0,47.0,1,ATX Mid Tower,1
4fbb42d8-0217-4484-bec5-8b3410932c13,1020d83d-76c2-41f4-bee0-272716223e83,120.0,2,,154.0,173.0,19.0,1,ATX Mid Tower,1
e670bd2e-bc0d-4cec-b66c-b7524917750c,3b55a51a-53ab-40cf-a038-e4d82ec07aad,120.0,3,360.0,77.7,180.0,102.3,1,ATX Mid Tower,1
06b3d65a-02f1-494f-89a4-881c7fee049f,08f83f40-7f0f-4c64-a208-c7f516f1efcf,,,,162.0,168.0,6.0,1,EATX Mid Tower,1
51701c3f-8cdd-4021-8056-0a7061c7e5b4,5cbbac79-9f5a-493a-a051-888ec45756ab,,,,154.0,146.0,-8.0,0,HTPC,0
db06c4df-cb65-4120-bc16-3e695e773100,554ba1bb-99c6-4fd0-9ed2-a467d965d303,90.0,1,,136.0,166.0,30.0,1,ATX Mid Tower,1
247d65ad-655c-4a4c-b7f0-94e91389eec7,838ed15d-e916-411a-9831-ea850f700556,,,360.0,52.0,170.0,118.0,1,ATX Mid Tower,1
f4080598-4f95-478b-bcdf-be3190b0d8bc,e45f0260-97a6-4787-b264-33783e199d15,,,,154.0,187.0,33.0,1,Micro ATX Mid Tower,1
138c4bb0-da2d-4aba-9208-1e08bb54054b,377449ff-c468-48aa-a584-af3cd5afc132,,,,67.0,61.0,-6.0,0,Mini ITX Tower,0
9dd074e5-3093-4b2c-a704-78d011dcee8f,f9c06a28-5c60-4e48-9f41-912bb87a353b,120.0,2,240.0,101.0,70.0,-31.0,0,Mini ITX Tower,0
2386504d-8de0-4e39-b736-4ace46a270af,b25d4954-d8f3-4b73-a3aa-ddfe6f79dea4,,,,62.0,182.0,120.0,1,ATX Mid Tower,1
6d1bd4ba-9de5-4802-9074-48dd89a32d16,7e267c1e-c35c-4aba-bcac-d6243a22e242,,,,162.0,156.0,-6.0,0,ATX Mid Tower,0
619174d1-85b5-495f-a006-7a3792f0dab3,00487393-e98c-4e50-9519-d83f58497429,,,,155.0,82.0,-73.0,0,Micro ATX Mini Tower,0
879de228-4814-453b-888a-d39e2fee004c,145beda7-2317-47a8-beda-cf319153d67d,140.0,2,,158.0,120.0,-38.0,0,Mini ITX Tower,0
89c7efb6-64c5-43dc-8bc4-5515da737c13,e59c459d-496b-46e9-b13e-4f8b73882bde,,,,154.0,135.0,-19.0,0,Micro ATX Mid Tower,0
c6562469-bfc2-43c1-8d14-179a7ad01f4a,1177cd60-a293-466f-b339-c51761b6d22d,,,,158.0,160.0,2.0,1,ATX Mid Tower,1
95e660f8-1eb4-4fea-9918-5ddb21367e12,b93c3321-c12b-480f-bbfd-5944e2490f07,,,,77.0,185.0,108.0,1,ATX Mid Tower,1
2a2ab4ad-c841-411c-8260-5b3bf9da584c,67f2d029-a7b1-4f33-a690-9e22b93ebc26,,,,155.0,57.0,-98.0,0,Mini ITX Tower,0
44b9f6e4-372f-42c2-8938-931467f711e1,80675551-e6cf-4b13-93a8-c67e2fd08a84,140.0,2,280.0,160.0,190.0,30.0,1,ATX Full Tower,1
302741fb-5f7f-488c-a6db-48ceab768f8b,b94e9642-9979-490a-8072-ccaee5ff3d62,,,,26.0,150.0,124.0,1,ATX Mid Tower,1
ddf7e103-d0cf-4896-bbbb-e4f627d6b678,6860f059-572c-424d-b67d-59fa92a7ef4b,,,,160.0,83.0,-77.0,0,Mini ITX Tower,0
cbb2f11a-77db-4acc-8e8d-9fc4320475bb,da61e6b8-8b99-4788-a20c-70e857eb414c,,,,155.0,173.0,18.0,1,ATX Mid Tower,1
a935dbbe-62ff-4d6c-bdb2-9d5cdeaf617e,05666e34-c785-476e-93e3-403b70448d3c,120.0,2,,157.0,155.0,-2.0,0,Micro ATX Mini Tower,0
0988f759-30fa-4299-b9ac-08c8d36df5cf,01e80402-f15e-4d65-ba08-db2e69fdc267,120.0,1,,159.0,155.0,-4.0,0,ATX Mid Tower,0
178d3182-bea4-491c-959b-e9714f36b838,57bc6f35-8a51-4b93-b286-da523f102729,,,360.0,69.0,170.0,101.0,1,ATX Full Tower,1
a8056ec8-5890-4139-8598-911918adcde0,3342308a-8f3f-4de6-b4f8-a651b448203a,,,360.0,55.0,165.0,110.0,1,Micro ATX Mini Tower,1
1166c9b3-a8a0-47c3-bc4f-a3bef54e0c3d,163c204d-d0bf-4d7b-a4b8-7fb860ed6f63,,,,157.0,160.0,3.0,1,ATX Mid Tower,1
97fd84df-7585-4732-b825-b5475425af9a,06b17a9b-7a6d-44fc-9e0b-08ffe4c2972d,,,,53.0,160.0,107.0,1,ATX Mini Tower,1
