cpu_id,motherboard_id,cpu_socket,motherboard_socket,cpu_cores,cpu_threads,cpu_base_clock,cpu_boost_clock,cpu_tdp,motherboard_ram_type,motherboard_ram_slots,motherboard_chipset,socket_match,label
6c0ac2b9-20b2-40f8-b206-06877dc8f047,dc29b996-0124-4c89-8095-51983134d645,AM4,AM4,8,16,3.4,4.5,105.0,DDR4,4,AMD X570,1,1
b5cbaa67-8991-4ab6-9a7c-8fbcb1609861,c4db8999-3fee-4c9d-b2bc-e3eef16e67f4,STR5,LGA1155,24,48,4.2,5.4,350.0,DDR3,2,Intel H61,0,0
09a3f61e-39c4-4eb3-96e8-28c7b8d344d2,fcb5cd82-6b74-45b5-b0fb-50cd2d2ebff9,LGA2011,LGA2011,8,16,2.2,3.0,95.0,DDR3,4,Intel X79,1,1
02d39666-7470-44e0-ab3a-0e7a1d24ebd6,c3df16ed-1474-462c-be33-6ff52b813b5c,LGA2011,LGA1200,10,20,3.0,3.5,140.0,DDR4,2,Intel H510,0,0
10213fa5-c67b-4d69-b8a0-913cd25b129f,8e951d36-4cd4-4061-bc55-4b588674904e,LGA2011,LGA1151,8,16,3.0,3.5,140.0,DDR4,4,Intel Z370,0,0
e9852639-3a1e-4d6b-af8e-f9f4ed6f7a09,037d8442-dcc8-4b8f-9820-d0dad119babb,LGA1151,LGA1151,4,4,2.7,3.3,35.0,DDR4,2,Intel B360,1,1
4e7cc444-43db-41c6-8f70-fdee1932ee05,2266258e-9875-4052-9417-50a160282e60,LGA1151,AM5,8,16,3.1,5.0,65.0,DDR5,2,AMD A620,0,0
1adb6d90-342a-4149-b3c8-a11d041bda48,7b0fab45-6656-4ebf-a949-7bd26f30f27d,LGA1151,LGA1151,4,8,3.7,4.1,73.0,DDR4,4,Intel B360,1,1
f3142c81-331a-4117-b394-6206e39d789e,9f5061cc-9af2-4385-b82a-adfbfd38c18e,LGA1151,LGA1700,4,4,3.2,3.6,65.0,DDR5,4,Intel B660,0,0
2c54d002-b785-4e74-943d-e7288d840108,f353bfee-8969-4da6-a5da-024ee78ee1a9,LGA1151,LGA1151,4,8,3.4,4.0,65.0,DDR4,2,Intel H370,1,1
d0aae8f6-4eb6-4d6e-8363-92ae20078686,76d253f3-dd7a-4151-b3c9-d223a7e5749b,LGA2011,LGA1700,8,16,2.0,2.5,95.0,DDR4,4,Intel B660,0,0
f048e8d4-a34d-425e-b64b-1a5c848d3c12,784c16d6-e37e-4e12-a4f4-4cb6df491696,LGA1150,LGA1150,4,8,3.4,3.8,84.0,DDR3,4,Intel H97,1,1
137364af-2806-4177-9206-d209575ffea4,234b4fee-1760-4349-a469-4426a8b0d9e0,LGA1200,LGA1200,8,16,2.5,5.2,65.0,DDR4,4,Intel B560,1,1
d4f192f2-115a-4821-9510-369615c4b0a4,9957c90f-900e-4f9e-afb6-cfca393d91b8,AM4,LGA1151,6,12,3.4,3.9,65.0,DDR4,4,Intel B365,0,0
bc962501-eb68-418a-bd69-d51512b1e3ca,ae88902f-f52c-4c12-b333-c352e9539b62,LGA1200,AM5,8,16,3.8,5.1,125.0,DDR5,2,AMD B650,0,0
96c51703-09ad-4260-8125-fa3b7185abe8,0ededd3d-b8b7-4724-99b4-1484d9a95297,LGA2011,LGA2011,6,12,3.4,3.7,135.0,DDR4,4,Intel C612,1,1
9f192a62-7a9d-4fb1-8e2c-9e3b6c8610f2,1f57f721-41ab-42a9-8a29-c6bc78f9d327,AM4,LGA1700,6,12,3.8,4.5,95.0,DDR5,4,Intel Z690,0,0
ebb0e539-2265-4e3f-bb05-960429116b4b,c7811511-b5f8-4375-84c5-7884eaf09931,LGA1700,LGA1700,16,24,2.1,5.2,65.0,DDR4,2,Intel H610,1,1
c2d5377e-bf6e-42e7-a19e-87a8df32dac5,aa9d99f9-bf26-45ce-b0ba-1c64dc560cdc,AM5,LGA1151,6,12,3.8,5.1,65.0,DDR4,4,Intel Z370,0,0
1e7fa8c2-6f78-4b98-8b92-33066f7734e2,802dbe63-7327-415b-9ea3-0de7b5dea246,STR5,LGA1700,32,64,4.0,5.4,350.0,DDR5,2,Intel B760,0,0
e9852639-3a1e-4d6b-af8e-f9f4ed6f7a09,a36410a2-6125-4a2b-85e2-2de6bcaaf0a2,LGA1151,LGA1151,4,4,2.7,3.3,35.0,DDR3,4,Intel H170,1,1
c14d84a3-7c13-4611-a367-7e034693266f,d60171cb-1cef-4614-a4f7-e7f145f07e30,LGA1700,LGA1700,10,16,3.7,4.9,125.0,DDR4,4,Intel B760,1,1
2761ac98-b4fc-4cf0-aca8-d7d08a5bb573,0a5e748e-3d54-471f-9208-1ed82ec89455,LGA1151,LGA1151,4,4,3.3,3.7,80.0,DDR4,4,Intel Z390,1,1
5a49ac5d-8247-4822-b065-5cfa926fbcb0,4b3e292e-4a0d-4261-85d4-5fb64e0af75e,LGA1700,AM4,16,24,2.4,5.1,65.0,DDR4,4,AMD B550,0,0
1fa79f23-46c7-4a5f-b2f3-52674dad84a7,4f6ee2c3-276a-4886-b0c5-071364ed0c84,LGA1151,LGA1366,4,8,4.0,4.9,83.0,DDR3,6,Intel X58,0,0
3e839c22-2045-41b5-a687-e6d8036db649,762b328c-a41f-4ac2-805a-6e01e77410b4,AM4,AM4,8,16,3.9,4.5,105.0,DDR4,4,AMD B550,1,1
b3e855a0-64fe-48fc-88fb-0898e4deb440,4291dbfe-46f9-42cd-972f-87ce3b7e9983,LGA2011,LGA2011,18,36,2.3,3.6,145.0,DDR4,8,Intel X99,1,1
8c135700-ba0d-4b26-a9f8-ec7b33acb47e,64d1a79b-775c-4ec9-9ada-de36ed0a3248,LGA2011,LGA1200,8,16,2.9,3.8,135.0,DDR4,4,Intel Z490,0,0
83aee1bc-820b-42e4-a062-efb06b659df2,c9d48b0e-f910-4ea3-833e-2da2cfe76c4d,LGA1151,LGA1851,6,6,3.7,4.6,95.0,DDR5,4,Intel B860,0,0
9ba01056-5190-4d7b-ade4-e930eeddd24c,7167d59b-eab3-43fb-ae34-1c1fc521fd11,LGA2066,LGA1151,6,12,3.5,4.0,140.0,DDR4,4,Intel Z370,0,0
fffab94c-d43c-4b94-af4f-07f0c329ac0a,3be8a919-6401-44f2-aad2-2cc92b1ff3f8,LGA2011,LGA1150,22,44,2.2,3.6,145.0,DDR3,2,Intel H81,0,0
daa867ce-12d7-4220-94d7-1e5a9d8fdcc9,02df3038-b4a9-454d-b5bd-24ae50616572,LGA1151,LGA1151,4,8,3.5,4.5,71.0,DDR4,4,Intel Z270,1,1
ad06f564-5ce6-4b63-89bf-ea3d1bac569d,1c2d661c-9e9b-4d72-b664-98ab63dbb478,LGA1200,LGA1155,4,8,3.8,4.5,65.0,DDR3,4,Intel B75,0,0
39c1bfe9-565b-44eb-b940-8eec3b68d969,5137945c-c4b1-4258-851f-017b39721d63,AM4,LGA1151,2,4,3.2,,35.0,DDR4,4,Intel Z270,0,0
cf60f167-fee9-48fc-a3c3-91a1c3af275e,8af6e492-9016-4206-9077-4fbc6fd30200,TRX4,LGA1700,64,128,2.9,4.3,280.0,DDR5,4,Intel B760,0,0
31fc5960-2957-41b4-b592-3565bc9b5aea,22ffa3a5-f009-4fa5-b72b-8a57a85d08a9,LGA1151,LGA1151,6,12,3.2,4.6,65.0,DDR4,2,Intel B250,1,1
1cb9bc6a-0bb2-4340-b162-4cead081e9cb,9ea344c7-8efd-41dc-9741-d58bdcc0acde,AM3+,AM5,8,8,3.4,4.3,95.0,DDR5,4,AMD B650,0,0
