gpu_id,case_id,gpu_memory,gpu_memory_type,gpu_tdp,gpu_length,gpu_slot_width,case_gpu_clearance,case_form_factor,length_difference,gpu_case_length_ok,label
a47fd095-33b0-4b0a-b3a1-7d35ea186244,c441c0c3-f558-470b-a1d2-b40f53787162,16.0,GDDR7,300.0,338.0,3.0,380.0,ATX Mid Tower,42.0,1,1
4f415ee2-cd4a-4143-9426-1ab49d50d7c8,e941e14e-34b0-4557-8716-baac3476ff20,16.0,GDDR6X,285.0,307.0,3.0,363.0,Micro ATX Mini Tower,56.0,1,1
31ff9f66-1dee-4ef2-918d-4cbe6a5b9d93,5f096187-3f4b-4df5-ae93-6a9b23c6dd0a,8.0,GDDR6,250.0,268.0,2.0,260.0,Micro ATX Mini Tower,-8.0,0,0
0d797f0a-ea81-452a-a0f4-82e2a2d34bff,afa3d2ad-b6f7-4f28-93bc-a94b168106ca,8.0,GDDR6,200.0,275.0,,410.0,ATX Mid Tower,135.0,1,1
fbfda7e2-baf2-4524-b49d-87abf5171c25,5dcd1a53-4690-4f5e-8c24-2d0bd5e6b8ab,10.0,GDDR6X,225.0,300.0,2.7,369.0,ATX Mid Tower,69.0,1,1
9fb0c657-8e18-4172-8b4f-3302e433d262,bfc0e466-693f-40b3-9971-3b2bf4e0b98f,2.0,GDDR5,120.0,208.0,2.0,320.0,ATX Mid Tower,112.0,1,1
b36674f5-6e99-4ed7-9389-df2cad9927f2,2c502c75-0c73-4a51-a220-73cbb32d7721,16.0,GDDR6X,320.0,322.0,3.0,317.0,Micro ATX Mini Tower,-5.0,0,0
ee404413-e6be-485c-8b5a-c5d56c5089a6,f5e5de00-5276-429a-b6a0-7cf0b0f950b3,16.0,GDDR6,165.0,311.0,4.0,430.0,ATX Mid Tower,119.0,1,1
44f9095b-d6fd-434e-9016-5b4a16acc8df,39749594-88f1-4fa5-b328-b16361c25bdf,8.0,GDDR5,150.0,267.0,2.0,266.0,ATX Mid Tower,-1.0,0,0
d6720c04-1ec8-45b6-a960-bcb2d1e0dbc9,dc7c0208-a9b0-4fed-a60d-fd1c9279f472,16.0,GDDR6,165.0,300.0,3.0,285.0,Mini ITX Tower,-15.0,0,0
73083106-4796-4f9d-9633-5923a3adf6d8,39f0d39f-441b-4f6e-a04e-d829fd2d2cee,8.0,GDDR6,220.0,294.0,3.0,410.0,Micro ATX Mid Tower,116.0,1,1
4946854e-1323-4858-abee-064119a0ac0c,41905359-7c83-4503-9758-5eda9d3a2e94,8.0,GDDR5,275.0,308.0,2.0,225.0,Micro ATX Desktop,-83.0,0,0
8c6489d1-69b1-489a-861f-8e9e681c472f,dae024fd-da2a-49e2-8e88-0691136b2a36,16.0,GDDR6,160.0,202.0,2.5,330.0,ATX Mid Tower,128.0,1,1
bae0e6c1-bedc-4bae-ae25-0951e43cfe0b,f1e3b5f0-373f-4bd2-9cd6-468d2e9b8368,16.0,GDDR7,300.0,342.0,3.5,400.0,ATX Mid Tower,58.0,1,1
5773c93b-4ca6-404b-9619-9d6d6d76512c,0f612856-fcff-44ad-9e5c-f184681976c9,4.0,GDDR6,100.0,172.0,2.0,350.0,ATX Mid Tower,178.0,1,1
a7d4a192-aa69-48b6-a6be-b132eb534a11,377449ff-c468-48aa-a584-af3cd5afc132,24.0,GDDR6X,350.0,300.0,3.0,267.0,Mini ITX Tower,-33.0,0,0
b4103175-ea05-4e9c-b6c1-ec6a9d117747,a5a85bde-ea6f-4f8b-87f6-f01f3d34c0cc,8.0,GDDR6,250.0,286.0,3.0,340.0,ATX Mid Tower,54.0,1,1
b31efb0e-f6fc-4136-b9dc-f89be4536a08,394acd67-4fbd-4bf4-88eb-e118fa27c703,8.0,HBM2,210.0,274.0,,400.0,ATX Mid Tower,126.0,1,1
7dbc8685-f948-4faa-9fd3-fdcec733941f,505d09f6-79f5-456e-8421-d53d7c1d413c,8.0,GDDR6,250.0,267.0,2.0,215.0,Mini ITX Tower,-52.0,0,0
51dc0a25-46a4-4621-bed1-079827a6b06f,e5540eab-461c-44ce-84e0-b4881361ce3e,8.0,GDDR6X,290.0,329.0,3.0,300.0,Micro ATX Mini Tower,-29.0,0,0
1ae34f6f-c905-4e83-baef-654801a968c2,890cf79f-914a-4a92-9bdf-9c1325adb8c2,6.0,GDDR5,274.0,279.0,2.0,410.0,ATX Mid Tower,131.0,1,1
75f1e330-a11a-464f-8214-de992cabf33e,5e12f8fa-ec40-47a5-9bfa-2edaf1eb5694,8.0,GDDR6,250.0,290.0,3.0,350.0,ATX Mid Tower,60.0,1,1
cfbf2571-d1b2-4dec-98d6-e11207de8d02,b6a39459-7b40-4104-a9c3-284f278c5efc,6.0,GDDR5,250.0,329.0,3.0,467.0,ATX Mid Tower,138.0,1,1
7840b120-f24e-4068-a5d9-74368795a6fc,59eb9553-1d9a-4034-8519-179c93956d27,24.0,GDDR6X,420.0,356.0,3.0,350.0,Micro ATX Mid Tower,-6.0,0,0
bc755a41-5eef-4008-a174-707eb75c0851,c7983737-8bab-46a1-a247-97b00f682107,3.0,GDDR5,120.0,183.0,2.0,423.0,ATX Mid Tower,240.0,1,1
b7a8c53f-64fe-4dd8-9cc9-c832248b5a99,440467c0-840e-4e74-901f-818c50bd96fe,6.0,GDDR6,70.0,162.0,2.0,413.0,ATX Mid Tower,251.0,1,1
06ae449c-793a-4222-99db-6ab49f466bf1,56fa1d6b-7850-4c6a-823e-187258f9025d,11.0,GDDR6,250.0,270.0,2.0,345.0,Micro ATX Mid Tower,75.0,1,1
0180c87a-f216-498d-b0c0-df3b19812bf8,c7378213-a458-4fed-9f4c-d4acfbb2dd08,2.0,DDR3,65.0,110.0,2.0,300.0,Mini ITX Tower,190.0,1,1
434737f7-03e9-414e-bd8c-8d57c794275b,1d15d31d-99c1-484a-993b-ab4f5ec36f47,12.0,GDDR6X,285.0,337.0,3.1,335.0,ATX Mid Tower,-2.0,0,0
f3daccf7-d247-4115-94e3-b12fd38f31f4,d23d7437-733c-4fb6-9e3b-b6dee46471b5,16.0,GDDR6,263.0,322.0,3.0,325.0,Mini ITX Tower,3.0,1,1
