motherboard_id,case_id,motherboard_form_factor,case_supported_motherboards,motherboard_ram_type,motherboard_memory_slots,case_form_factor,form_factor_match,label
e43f39ab-dd92-486d-a839-1a8422d57d1c,ab350da7-bc23-4e5f-8755-23f604143fbb,ATX,Micro ATX | Mini-ITX,DDR3,4,Micro ATX Mini Tower,0,0
70ee3d46-27e0-4be7-9b59-c2a60643711f,f5d464ed-4541-46c9-9946-11f7b3584d16,Micro ATX,Micro ATX | Mini-ITX,DDR3,2,Micro ATX Mini Tower,1,1
13837d60-9c8c-418c-b184-86052ff809b5,d1f6a5bd-1b80-48ca-9c91-d23a345f1a41,Mini ITX,Micro ATX | Mini-ITX,DDR4,2,Micro ATX Mini Tower,0,0
2c77c491-3922-4666-a411-d2bc45f26716,c1bc7522-bfec-4e1c-a5fb-ba7f2d1c06c4,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Desktop,0,0
970b9393-29d0-4c55-bb9c-19d8b44b6122,d0bfd715-d436-4e52-ae4e-883ff71969fa,Micro ATX,Micro ATX | Mini-ITX,DDR5,2,Micro ATX Mini Tower,1,1
db8528d3-27d7-4d86-95ac-d9315d72627f,20cf5e59-e8e0-4997-b8f0-274871866f28,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
c6c484da-f738-47b8-b281-6c8a610cb98d,1ce09a09-5db6-4aa0-87a9-e1cabd1119af,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
8f2861c1-b251-42a9-9058-916e1cf22399,310881c0-0335-4f9d-abc8-9b0edd01ecb3,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
6ca5feb4-bbf6-4644-b725-7ba35e15143e,089390d2-b4d8-41fa-8c70-93532fb18643,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
6aba9f5c-c54d-41d2-babd-75597a5cf30c,f3cc79fa-61e4-4bf9-8a63-e747eef48b99,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mini Tower,1,1
2ea5de1f-43c9-4394-92f0-a8bcb83f2186,f99de94f-2df0-4a96-adf2-31caec5c2858,EATX,ATX | Micro ATX | Mini-ITX,DDR4,8,ATX Mid Tower,0,0
6af4325d-17e2-4429-8cee-e4beea35e2a5,ec537f4b-c1b7-4a51-81d1-f5908695bf72,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mid Tower,0,0
9709a689-2d05-4a2a-aa4d-3cf7c2534b16,16b144dd-eb13-4b02-aca5-b702eee53d71,ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,1,1
e7de4693-004d-4589-a2b7-ccbc285d4905,fe4e11af-130b-4b94-9b1f-8eaaebc460f4,Mini ITX,Micro ATX | Mini-ITX | EATX | ATX,DDR3,2,ATX Mid Tower,0,0
545f52f0-24ca-441e-9486-ffeb5c10006b,9dc046b1-9e15-477c-89ed-ec209f5bc7bc,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
daa1430d-7bd9-440a-b3b1-f2c7da0c7edc,f76207f2-9ea1-4681-89ef-f14aa77e718f,Micro ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
b5db033a-2b6d-45c2-a193-06334d5b2070,23280b7b-3dae-4af0-84fc-dfd20242898b,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
c8f49a14-82ee-463d-8549-e720e0eda5ff,42d93091-c824-480a-b77b-ce7be1628e4a,Micro ATX,Mini-ITX | Micro ATX | ATX,DDR4,2,ATX Mid Tower,1,1
607da24a-aa7d-45b1-a9ac-69ed9c57f3ab,2299d7ea-0d7d-4524-927b-3947d95482ea,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
c90c3e20-b929-4070-8888-44f8a73cfb52,df16f6a5-a4d4-41cc-bc4b-22d0ebcc21b9,ATX,ATX | Micro ATX | Mini-ITX,DDR4,8,ATX Mid Tower,1,1
a92f3729-cdd5-4cb1-bf5e-861ada98cda2,09424cc4-7d24-4e65-97fc-0f1b5e60a0ec,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
fdc69dea-2e96-45f3-8d42-cb824e00f2b6,af329514-006d-49d8-a2b2-a73e62be14e8,ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,1,1
9c63d451-65ce-4aeb-bf75-d387b219d62d,62067a2c-91e6-48f8-b828-19f3c6f0f825,Micro ATX,Mini-ITX,DDR3,2,Mini ITX Tower,0,0
f262fc1a-c7d6-4fa1-945f-805713beb902,253a5512-cfbb-4418-9d7c-fc8ace398562,ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mid Tower,0,0
e9045ef6-f533-437e-bef8-a226d9b1a40d,9c2259e4-2162-48c6-ae4f-fe574ad520fb,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
