psu_id,case_id,psu_form_factor,psu_length,psu_wattage,psu_efficiency,case_psu_clearance,case_supported_psu,psu_form_factor_match,psu_length_ok,label
a8a2a357-19d8-4c5e-8a21-1aa1e39ea80f,11e609ff-a638-4e8b-856b-2eb116615667,ATX,140.0,350.0,80+ BRONZE,,SFX | SFX-L,0,1,0
ed0e0630-80ab-4b68-871b-a9637ed585a5,7b4883af-7e1e-4482-9d70-0ee8c65847ab,SFX,100.0,850.0,80+ GOLD,,ATX,0,1,0
5be244a7-a982-4e89-bfd9-98ef37bd84ca,7a2d74b0-4454-4e38-a7cc-5a0c5414eda2,ATX,,300.0,,220.0,ATX,1,1,1
f00830fb-2615-4684-b88c-bdb88b0376e5,3dabc329-0636-405b-875b-142f36f7a81b,ATX,200.0,1200.0,80+ PLATINUM,180.0,ATX,1,0,0
299813a6-fd0d-4536-a84f-a0d3ebec46e7,28268a82-fbba-4405-b1b3-651b0e867d13,SFX,125.0,500.0,80+ GOLD,,ATX,0,1,0
4864f790-653b-4538-bce6-a1c5d67735f3,13890e42-7d80-43db-9ef8-4b65b9c13276,ATX,180.0,850.0,80+ GOLD,160.0,ATX,1,0,0
172ecf18-320b-4544-b0c2-c0f17315b17d,d1c4ea4c-7e63-4086-951c-2a28ee297da7,ATX,158.0,530.0,,200.0,ATX,1,1,1
acebae32-92cb-4b6e-9706-56d407b19995,456a564c-2998-4260-b779-ee852852a829,Mini-ITX,150.0,250.0,,,SFX | SFX-L,0,1,0
fb3a14f1-b180-4f50-8cc3-0edf2b67635d,928046a4-02df-4779-a80d-4d5b24b1e77f,SFX,125.0,850.0,80+ PLATINUM,180.0,ATX,0,1,0
44e95bb3-1ad8-4695-a441-deb0d8bb930b,d376a58d-c9f6-43a8-a79f-c9a750a76310,ATX,175.0,1000.0,80+ TITANIUM,160.0,ATX,1,0,0
03fb3b0a-3c09-41e1-ad30-72923e4812af,cd4568b7-29a5-4ed2-b85f-97738ea155c9,ATX,180.0,1000.0,80+ GOLD,,ATX,1,1,1
afd1e689-6491-4221-939c-27d19e9027e3,e19caca6-15c5-435e-9285-1a4b4698239a,ATX,150.0,450.0,80+ BRONZE,182.0,ATX,1,1,1
df7c3605-ce48-4c27-b69d-fe8b0e79ee33,9633a11e-b237-4a7b-b500-937b20008dbe,SFX,130.0,550.0,80+ GOLD,220.0,ATX,0,1,0
51f3bc0a-9d99-4143-897c-7dda257f2fb4,0caedd51-ca9c-43a7-8f1c-d79ace9df282,Mini-ITX,150.0,250.0,80+,,ATX,0,1,0
ecb12940-7fb1-43e2-96af-8692198eea43,71d9e671-5494-4ede-b0e0-5625804f70a0,SFX,100.0,750.0,80+ PLATINUM,150.0,ATX,0,1,0
2be54268-6b62-4c3d-9e98-7ca350e208bc,95af7ccd-f5cd-4b4a-875d-8a59b0d82e62,ATX,160.0,850.0,80+ GOLD,200.0,ATX,1,1,1
fb3a14f1-b180-4f50-8cc3-0edf2b67635d,7ebdb849-a8df-466f-883a-bb82ac197aaa,SFX,125.0,850.0,80+ PLATINUM,,ATX,0,1,0
c9d1bcfd-2c1a-435c-b1df-edd2aed2eb10,51b2027c-caff-483f-9398-25f2b30cd0d9,ATX,150.0,500.0,80+ BRONZE,,SFX | SFX-L,0,1,0
0c5be268-6bfe-4888-83b5-fcfc4348d778,fa1f19b3-6e22-4f4d-87f1-46e6983d680d,ATX,160.0,750.0,80+ GOLD,220.0,ATX | SFX | SFX-L,1,1,1
70f1522b-f599-4171-87bf-ec9e925086c2,326f9210-993f-427f-8ee9-d5d9396878c6,SFX,100.0,750.0,80+ PLATINUM,,ATX,0,1,0
8e100795-68ee-4cc2-bbc2-0ed4c7d211d1,a0db21f6-2cd2-4a9b-807e-157eb833ea34,SFX-L,125.0,500.0,80+ GOLD,180.0,ATX,0,1,0
37323b4c-a9b9-4adc-b1c1-bea3d3a02bb5,81721d18-7067-4bde-8b98-0f9c8cb25af9,ATX,165.0,800.0,80+ BRONZE,,SFX | SFX-L,0,1,0
675d4ebe-336c-4d89-a721-5f60db555101,bf866219-af85-40e9-94e1-cff6f4ddd63d,ATX,140.0,1200.0,80+ PLATINUM,200.0,ATX,1,1,1
38ece429-6b07-4640-ba5b-99fe839d4865,f302b257-e678-4bb4-b304-cb09ed521e7c,ATX,145.0,550.0,80+ GOLD,220.0,ATX,1,1,1
