ram_id,motherboard_id,ram_type,motherboard_ram_type,ram_speed,ram_capacity,ram_modules,ram_cas_latency,motherboard_memory_max,motherboard_memory_slots,ram_type_match,label
70d84acb-d97c-47fc-8e62-9805d4aa62a3,6610ccf2-a96e-411b-80be-e10b4ffdcad0,DDR5,DDR3,5200.0,64.0,2,40.0,32.0,4,0,0
7d66fdbc-f068-4786-aeb4-6d12a4d1eee9,d14182a6-f887-484e-bc30-bc989b6556a6,DDR5,DDR5,6000.0,16.0,1,36.0,192.0,4,1,1
9355b128-5d17-4607-89f7-a092dbef8540,9d0bd720-7465-43e8-a0d6-8de43ec55773,DDR4,DDR5,4400.0,16.0,2,19.0,256.0,4,0,0
62bf7651-d56b-4e1f-b0a4-30a6835b9312,f89b6668-f314-4561-b0ce-c8c8cdaec4c7,DDR4,DDR4,3600.0,32.0,4,18.0,32.0,2,1,1
fa71c0ea-09a1-41da-8edc-7e54eb4fc0d3,92f1c1cb-9cc4-4e60-b41c-e679dacf69e7,DDR5,DDR3,7600.0,48.0,2,36.0,32.0,2,0,0
154b752d-cb02-4ae7-a748-fac8aa796e89,f64744d7-b66c-4b6e-9c46-96939e0bdbdf,DDR4,DDR5,3200.0,64.0,2,16.0,128.0,2,0,0
0ff60cc3-1262-4ccc-90fa-d962a68e1520,d9a98910-34f8-48f2-b93f-5952f096e6fb,DDR5,DDR3,6000.0,32.0,2,28.0,16.0,2,0,0
45f5b485-1c6d-474b-8aa0-b16cf7766a72,1a2236a4-508d-43cb-a19b-015339816362,DDR4,DDR5,3733.0,16.0,2,19.0,128.0,4,0,0
63ca5cdb-9c4f-452c-9144-46f7d683ca7d,2aff1f5f-f8b3-41fd-bd78-9c21c331ddb8,DDR4,DDR4,3600.0,16.0,2,16.0,128.0,4,1,1
432d6e6c-1704-460b-a27d-7cd9f7ee34aa,8647d331-6b3a-49cf-9898-1d0f0817f36a,DDR5,DDR5,7200.0,32.0,2,34.0,96.0,2,1,1
e2413f9c-91e1-4e3e-bc71-fbb83eefa720,1eab722d-febc-489e-ad8f-d81a47a48806,DDR5,DDR4,7200.0,32.0,2,34.0,32.0,2,0,0
54550dbe-6c95-48a7-b499-ffc8c636038a,a54a45fd-5aec-4a1d-9bff-190343513969,DDR5,DDR4,5600.0,16.0,1,46.0,128.0,4,0,0
470c3430-8977-4506-b315-fca391921804,f999de7c-44a1-47e0-a95d-b883737d430c,DDR5,DDR4,5200.0,32.0,1,40.0,64.0,2,0,0
0aa86cd9-d730-4942-890f-f3b61ff8abdc,6144de7b-5409-4616-be1d-b1ea0ad759af,DDR4,DDR3,2133.0,16.0,2,13.0,32.0,4,0,0
04ef2ec6-4557-4952-8938-f207caafeaee,d2a331df-aded-4d7a-8c07-a9c2c3bc3439,DDR4,DDR3,2133.0,16.0,2,15.0,16.0,2,0,0
b5e5f359-56fd-4286-93ba-34e8e2d6fd0e,70612e9e-7bf9-4fbe-8f89-7600e2845a20,DDR5,DDR5,5600.0,32.0,2,40.0,128.0,4,1,1
edf15f7c-7d7c-4796-826d-d30150ba7cbb,599cabf2-e339-41cd-b761-6428356d8e4e,DDR5,DDR4,6000.0,32.0,2,38.0,128.0,4,0,0
efdfca77-fdf5-4c56-9328-00b336401c42,e43f39ab-dd92-486d-a839-1a8422d57d1c,DDR4,DDR3,3200.0,16.0,1,22.0,32.0,4,0,0
6e268c7e-f43f-4a75-8141-d3646061ba1b,9aee8a2b-bc74-4544-80f1-52e7f4e7459e,DDR4,DDR4,3200.0,16.0,2,16.0,128.0,4,1,1
5980ef4d-3b54-4321-9a16-61c9f0091659,8cbccc8f-b0af-45b3-8f9a-5e406f35b945,DDR4,DDR4,2133.0,16.0,4,15.0,128.0,8,1,1
8be80447-ba24-411b-bc1a-d534ae6d8306,2a7bd00f-8e41-403b-9ca5-3b58d9c370f2,DDR4,DDR4,3200.0,8.0,1,22.0,64.0,2,1,1
da9805b8-6099-41bf-8bed-6e8a5cb4d924,dc63ff42-506f-4d82-b2f8-a16ab0c167a7,DDR5,DDR4,6000.0,64.0,2,32.0,64.0,4,0,0
74734c4c-89d9-4ae7-a10e-5ea67eaa3ade,45c5dbdf-4f89-4b25-bcdc-e946824b5bb5,DDR4,DDR4,3600.0,16.0,2,14.0,32.0,2,1,1
