storage_id,motherboard_id,storage_capacity,storage_type,storage_form_factor,storage_interface,storage_nvme,motherboard_m2_slots,motherboard_pcie_slots,motherboard_form_factor,motherboard_ram_type,storage_m2_slot_ok,label
039208a9-2af9-4ec9-b40b-6d50b4c6874b,7fdcd89d-1744-4714-9e34-31f6cdb1068b,2000.0,SSD,M.2-2280,M.2 PCIe 5.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ac173722c3e205bd2ada""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 1, ""_id"": ""69b3ac173722c3e205bd2adb""}]",ATX,DDR4,1,1
a6b907f4-e5bf-4520-ab66-e9376da72e41,859b521b-6e68-4923-80ac-717bcde467fe,4000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1}]",Micro ATX,DDR5,1,1
0ffc0515-6fe2-4b93-90ab-1f21c9cf5be3,e312cb52-6216-4f06-bdb6-3ffd4ef35de0,1000.0,SSD,M.2-2280,M.2 PCIe 3.0 x4,true,2242|2260|2280,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 1}]",ATX,DDR5,1,1
31e3800a-d3e6-4db1-9630-bbe4fa65a428,33a8da01-cff3-46ec-8ca7-9435c85cc200,4000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2230|2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1}]",Micro ATX,DDR4,1,1
ca491614-dc67-4a40-a486-98f26298e9f8,a3a54077-f409-4a24-b11c-b9152162fde6,15000.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2230|2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ac3ccf841c9bc5aa6c4d""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac3ccf841c9bc5aa6c4e""}]",Micro ATX,DDR4,0,0
38287a7e-f012-46b8-86e5-b0bd524ad3a8,364cae1d-db5b-4d60-9c3d-4c47701c02ab,512.0,SSD,M.2-2280,M.2 PCIe 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3abac3722c3e205bd068b""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abac3722c3e205bd068c""}]",Micro ATX,DDR4,1,1
801970e2-ab91-4414-9458-86b693a1d9f8,c926224a-4962-4668-b6bc-9674e2710929,1000.0,HDD,"3.5""",SATA 6.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac7736a2b96d5d8415a3""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac7736a2b96d5d8415a4""}]",Micro ATX,DDR3,0,0
083a4906-cd4f-4dd4-86f0-95c0072e645f,877eb2a2-a8d4-48d9-8036-245c0381fb5b,2000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac19843b62bf624ced84""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac19843b62bf624ced85""}]",Micro ATX,DDR4,1,1
9b48958a-f6bc-4d63-8574-d04b348dcae2,3fde1833-56cc-40af-8f83-d7cfdc77d759,4000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3aba11698c62132087f45""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4, ""_id"": ""69b3aba11698c62132087f46""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3aba11698c62132087f47""}]",Micro ATX,DDR4,1,1
cf61d2bd-8832-4893-af23-89b73f389857,367aa039-acae-41e9-89b4-01ea8d4ae527,500.0,SSD,M.2-2280,M.2 PCIe 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3abac7d50ea703048f5dc""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3abac7d50ea703048f5dd""}]",Micro ATX,DDR4,1,1
