opendb_id,name,manufacturer,socket,chipset,ram_type,memory_max_gb,memory_slots,form_factor,wireless,ecc_support,cpu_power_connectors,main_power_connector,sata_port_count,sata_ports,has_m2,m2_slot_count,m2_supported_sizes,pcie_total_slots,pcie_x16_slots,pcie_x8_slots,pcie_x4_slots,pcie_x1_slots,pcie_gen3_slots,pcie_gen4_slots,pcie_gen5_slots,pcie_max_gen
b89b000a-856c-4f25-ab9a-3bf7d831da08,ASUS ROG STRIX X870E-E GAMING WIFI7 NEO,ASUS,AM5,AMD X870E,DDR5,256.0,4,ATX,Wi-Fi 7,True,8-pin | 8-pin,24-pin,4,4,1,1,2242|2260|2280,2,1,0,1,0,0,1,1,5.0
a3057e43-fed4-4171-a86b-013839da1a25,ASUS ROG STRIX X870E-A GAMING WIFI7 NEO,ASUS,AM5,AMD X870E,DDR5,256.0,4,ATX,Wi-Fi 7,True,8-pin | 8-pin,24-pin,4,4,1,1,2242|2260|2280|22110,2,1,0,1,0,0,1,1,5.0
953e2f01-7966-42e0-90d2-ddcc1aa5b4da,ASUS X870E ROG CROSSHAIR DARK HERO AM5 DDR5 ATX,ASUS,AM5,AMD X870E,DDR5,256.0,4,ATX,Wi-Fi 7,True,8-pin | 8-pin,24-pin,4,4,1,1,2230|2242|2260|2280|22110,2,2,0,0,0,0,0,2,5.0
33274b3d-7022-40f7-8665-01220496f1b2,ASUS ROG STRIX B850-F GAMING WIFI7 NEO,ASUS,AM5,AMD B850,DDR5,256.0,4,ATX,Wi-Fi 7 Bluetooth 5.4,True,8-pin | 8-pin,24-pin,2,2,1,1,2242|2260|2280,2,1,0,1,0,0,1,1,5.0
2884d28a-1f15-43c0-822c-d9644be1a26e,ASUS ROG CROSSHAIR X870E GLACIAL,ASUS,AM5,AMD X870E,DDR5,256.0,4,EATX,Wi-Fi 7,True,8-pin | 8-pin,24-pin,4,4,1,1,2230|2242|2260|2280|22110,2,2,0,0,0,0,0,2,5.0
13da3011-8191-47e8-9b49-72d72b7e7c50,ASUS ROG STRIX B850-A GAMING WIFI7 NEO AM5 DDR5 ATX,ASUS,AM5,AMD B850,DDR5,256.0,4,ATX,Wi-Fi 7,True,8-pin | 8-pin,24-pin,2,2,1,1,2242|2260|2280,2,1,0,1,0,0,1,1,5.0
c6f2b155-92ee-460e-8c00-3ecc73769692,MSI MEG X870E ACE MAX,MSI,AM5,AMD X870E,DDR5,256.0,4,ATX,Wi-Fi 7,False,8-pin | 8-pin,24-pin,4,4,1,1,2260|2280|22110,3,1,1,1,0,0,0,3,5.0
91a4a664-875d-4ea4-b69f-3d3a903a8a32,MSI MPG X870I EDGE TI EVO WIFI,MSI,AM5,AMD X870,DDR5,128.0,2,Mini ITX,Wi-Fi 7 Bluetooth 5.4,,8-pin,24-pin,2,2,1,1,2280,1,1,0,0,0,0,0,1,5.0
29c16b62-f3fc-4e0a-a393-80a4e80b39d0,MSI MAG Z890 TOMAHAWK WIFI II,MSI,LGA1851,Intel Z890,DDR5,256.0,4,ATX,Wi-Fi 7 Bluetooth 5.4,False,8-pin | 8-pin,24-pin,4,4,1,1,2242|2260|2280|22110,3,1,0,2,0,0,2,1,5.0
a44dece8-bd54-4f5d-a185-a6fa74c2a79d,MSI H810 PRO H810I WIFI LGA1851 DDR5 Mini ITX,MSI,LGA1851,Intel H810,DDR5,128.0,2,Mini ITX,Wi-Fi 7 Bluetooth 5.4,False,8-pin,24-pin,2,2,1,1,2280,1,1,0,0,0,0,1,0,4.0
