opendb_id,metadata_name,metadata_manufacturer,metadata_series,metadata_variant,metadata_releaseYear,_source_file,color,cpu_sockets,fan_quantity,fan_size,fanless,general_product_information_amazon_sku,general_product_information_bestbuy_sku,general_product_information_hyte_sku,general_product_information_ibuypower_sku,general_product_information_manufacturer_url,general_product_information_newegg_sku,general_product_information_walmart_sku,height,lighting,max_fan_rpm,max_noise_level,metadata_last_manually_spec_verified_at,metadata_manufacturer_color,metadata_part_numbers,min_fan_rpm,min_noise_level,radiator_size,water_cooled
0009985c-4992-46ca-92ff-7f4d5a8f96f9,Gelid Solutions Liquid 240 Water 240mm Black,Gelid Solutions,Liquid,Black,,0009985c-4992-46ca-92ff-7f4d5a8f96f9.json,BLACK,AM2 | AM3 | AM4 | AM5 | FM1 | FM2 | LGA 1150 | LGA 1151 | LGA 1155 | LGA 1156 | LGA 1200 | LGA 1366 | LGA 1700 | LGA 1851 | LGA 2011 | LGA 2066,,,False,B0BV6Z9MN2,,,,,,,56,,1800,,,,CC-AIO-240-A,750,29.6,240,True
001bf0e9-535a-4d4b-840f-67fc82f6748c,Thermaltake UX 210 Air ARGB Black / Silver,Thermaltake,UX,Black / Silver,,001bf0e9-535a-4d4b-840f-67fc82f6748c.json,BLACK | GREY,AM2 | AM3 | AM4 | AM5 | FM1 | FM2 | LGA 1150 | LGA 1151 | LGA 1155 | LGA 1156 | LGA 1200 | LGA 1366 | LGA 1700 | LGA 1851 | LGA 2011 | LGA 2066,,,False,B08WNWHFXX,,,,,N82E16835106665,964020021,153,,2000,,,,CL-P079-CA12SW-A,600,34.3,,False
0036141f-678c-4301-ba67-71087932632a,Alphacool Eisbaer Aurora Water 240mm 61.5 CFM Black,Alphacool,Eisbaer,Black,,0036141f-678c-4301-ba67-71087932632a.json,BLACK,AM2 | AM3 | AM4 | AM5 | FM1 | FM2 | LGA 1150 | LGA 1151 | LGA 1155 | LGA 1156 | LGA 1200 | LGA 1700 | LGA 1851 | LGA 2011 | LGA 2066 | LGA 775 | sTR4 | sTRX4,,,False,B084VHMDHZ,,,,,,,,,2000,,,,11728                                                    1016662 | 11728,800,,240,True
00818ef8-ef6a-4dae-86a0-576812df4518,ID-COOLING IS-30 40 CFM Air 30mm,ID-COOLING,IS-30,,,00818ef8-ef6a-4dae-86a0-576812df4518.json,,AM2 | AM3 | AM4 | FM1 | FM2 | LGA 1150 | LGA 1151 | LGA 1155 | LGA 1156 | LGA 1200,,,False,,,,,,,,30,,3600,35.8,,,IS-30,800,17,,False
008e314e-6766-477a-bfa0-9f4d90f5461c,Thermalright Frozen Warframe PRO Water 360mm Black,Thermalright,Frozen,Black,,008e314e-6766-477a-bfa0-9f4d90f5461c.json,BLACK,AM4 | AM5 | LGA 1150 | LGA 1151 | LGA 1155 | LGA 1156 | LGA 1200 | LGA 1700 | LGA 1851 | LGA 2011 | LGA 2066,,,False,,,,,,,,60,,,,,,FW PRO 360 BLACK,2000,29.8,360,True
009cb04d-93b6-4901-9e40-00b61e5f106e,Jonsbo CR-3000 Standard 59.48 CFM Air 160mm Black / Silver,Jonsbo,CR-3000,Black / Silver,,009cb04d-93b6-4901-9e40-00b61e5f106e.json,BLACK | GREY,AM4 | AM5 | LGA 1150 | LGA 1151 | LGA 1155 | LGA 1156 | LGA 1200 | LGA 1700 | LGA 1851 | LGA 2011 | LGA 2066,,,False,,,,,,,,160,,1500,32,,,CR-3000 Standard,600,22,,False
00b4defe-6acb-493b-a739-b98e488b1350,Lian Li Hydroshift II LCD-C CL 72 CFM Water 360mm Black,Lian Li,Hydroshift,Black,,00b4defe-6acb-493b-a739-b98e488b1350.json,BLACK,AM4 | AM5 | LGA 1150 | LGA 1151 | LGA 1155 | LGA 1156 | LGA 1200 | LGA 1700 | LGA 1851,,,False,,,,,,,,69,,2600,,,,GHS2LCD36RB                                                    G89.GHS2LCD36RB.00,200,31,360,True
010abcce-a3d8-488c-a89d-9713092820c1,Deepcool AK400 Air 155mm Black / Silver,DeepCool,AK400,Black / Silver,,010abcce-a3d8-488c-a89d-9713092820c1.json,BLACK | GREY,AM4 | AM5 | LGA 1150 | LGA 1151 | LGA 1155 | LGA 1156 | LGA 1200 | LGA 1700 | LGA 1851,,,False,,,,,,,,155,,1850,,,,R-AK400-BKNNMN-G-1,500,29,,False
011b5b28-5472-4c57-b6bb-748a5363bc60,ARCTIC Alpine 11 GT Rev. 2 Air 64mm 28.6 CFM,ARCTIC,Alpine,,,011b5b28-5472-4c57-b6bb-748a5363bc60.json,,LGA 1150 | LGA 1151 | LGA 1155 | LGA 1156 | LGA 1200 | LGA 775,,,False,,,,,,,,64,,2000,,,,ACALP11-GT-R2,500,,,False
011dc32e-fd84-4fec-814b-a756c1c34c48,Antec Skeleton 360 ARGB White,Antec,Skeleton,,2025,011dc32e-fd84-4fec-814b-a756c1c34c48.json,WHITE,AM5 | AM4 | AM3 | LGA 1851 | LGA 1700 | LGA 1200 | LGA 1151 | LGA 1151v2 | LGA 1150 | LGA 1155 | LGA 1156 | LGA 2066 | LGA 2011 | LGA 1121,3,120,False,B0FND9W522,12214041,,,https://www.antec.com/product/cooling/skeleton360-argb.php?utm_source=Instagram&utm_medium=Video&utm_campaign=Skeleton+360+ARGB&utm_id=Flux+Rear,N82E16835209122,18171720033,66,ARGB,2000,,,White,Skeleton 360 ARGB White,800,32,360,True
