category,column,total_records,filled,empty,empty_percent,unique_values,numeric_values,numeric_percent,min,max,average
CPU,opendb_id,789,789,0,0.0,789,0,0.0,,,
CPU,metadata_name,789,789,0,0.0,716,0,0.0,,,
CPU,metadata_manufacturer,789,788,1,0.13,2,0,0.0,,,
CPU,metadata_series,789,787,2,0.25,174,0,0.0,,,
CPU,metadata_variant,789,696,93,11.79,525,183,26.29,225.0,14900.0,6999.3169
CPU,metadata_releaseYear,789,698,91,11.53,18,698,100.0,0.0,20117.0,2040.9226
CPU,series,789,789,0,0.0,169,0,0.0,,,
CPU,socket,789,789,0,0.0,18,0,0.0,,,
CPU,_source_file,789,789,0,0.0,789,0,0.0,,,
CPU,cache_l1,789,697,92,11.66,32,697,100.0,1.0,1280.0,35.2757
CPU,cache_l2,789,788,1,0.13,34,788,100.0,0.0,96.0,6.0593
CPU,cache_l3,789,789,0,0.0,39,789,100.0,0.0,384.0,22.3273
CPU,clocks_efficiency_base,789,696,93,11.79,19,696,100.0,0.0,3.6,0.193
CPU,clocks_efficiency_boost,789,697,92,11.66,17,697,100.0,0.0,4.7,0.3506
CPU,clocks_performance_base,789,789,0,0.0,33,789,100.0,1.1,4.7,3.3112
CPU,clocks_performance_boost,789,789,0,0.0,39,789,100.0,0.0,6.0,4.149
CPU,coreFamily,789,788,1,0.13,75,0,0.0,,,
CPU,cores_efficiency,789,695,94,11.91,5,695,100.0,0.0,16.0,0.846
CPU,cores_performance,789,788,1,0.13,9,788,100.0,0.0,16.0,1.3528
CPU,cores_threads,789,789,0,0.0,20,789,100.0,2.0,192.0,14.7909
CPU,cores_total,789,789,0,0.0,15,789,100.0,2.0,96.0,8.5399
CPU,general_product_information_amazon_sku,789,658,131,16.6,615,0,0.0,,,
CPU,general_product_information_bestbuy_sku,789,127,662,83.9,124,127,100.0,6162970.0,12550420.0,6849263.1181
CPU,general_product_information_manufacturer_url,789,656,133,16.86,501,0,0.0,,,
CPU,general_product_information_newegg_sku,789,525,264,33.46,476,0,0.0,,,
CPU,general_product_information_walmart_sku,789,461,328,41.57,415,461,100.0,4843.0,73014330936.0,2801512251.538
CPU,metadata_last_manually_spec_verified_at,789,9,780,98.86,9,0,0.0,,,
CPU,metadata_part_numbers,789,789,0,0.0,778,0,0.0,,,
CPU,microarchitecture,789,789,0,0.0,40,0,0.0,,,
CPU,specifications_eccSupport,789,789,0,0.0,2,0,0.0,,,
CPU,specifications_includesCooler,789,789,0,0.0,2,0,0.0,,,
CPU,specifications_integratedGraphics_baseClock,789,694,95,12.04,16,694,100.0,0.0,1900.0,182.4568
CPU,specifications_integratedGraphics_boostClock,789,697,92,11.66,40,697,100.0,0.0,2900.0,586.9329
CPU,specifications_integratedGraphics_model,789,371,418,52.98,48,1,0.27,0.0,0.0,0.0
CPU,specifications_integratedGraphics_shaderCount,789,697,92,11.66,17,697,100.0,0.0,768.0,109.6413
CPU,specifications_lithography,789,789,0,0.0,19,0,0.0,,,
CPU,specifications_memory_channels,789,698,91,11.53,4,698,100.0,2.0,8.0,2.5659
CPU,specifications_memory_maxSupport,789,789,0,0.0,14,789,100.0,0.0,2048.0,234.0127
CPU,specifications_memory_types,789,704,85,10.77,3,0,0.0,,,
CPU,specifications_packaging,789,789,0,0.0,2,0,0.0,,,
CPU,specifications_ppt,789,694,95,12.04,32,694,100.0,0.0,350.0,34.572
CPU,specifications_simultaneousMultithreading,789,789,0,0.0,2,0,0.0,,,
CPU,specifications_tdp,789,789,0,0.0,46,789,100.0,25.0,350.0,100.1736
GPU,opendb_id,3835,3835,0,0.0,3835,0,0.0,,,
GPU,metadata_name,3835,3835,0,0.0,3788,0,0.0,,,
GPU,metadata_manufacturer,3835,3834,1,0.03,37,0,0.0,,,
GPU,metadata_series,3835,3788,47,1.23,524,0,0.0,,,
GPU,metadata_variant,3835,3500,335,8.74,304,1,0.03,inf,inf,inf
GPU,metadata_releaseYear,3835,1135,2700,70.4,13,1135,100.0,0.0,2026.0,1994.2282
GPU,_source_file,3835,3835,0,0.0,3835,0,0.0,,,
GPU,case_expansion_slot_width,3835,1508,2327,60.68,14,1508,100.0,0.0,140.0,2.1435
GPU,chipset,3835,3835,0,0.0,276,0,0.0,,,
GPU,chipset_manufacturer,3835,3835,0,0.0,3,0,0.0,,,
GPU,color,3835,3224,611,15.93,90,0,0.0,,,
GPU,cooling,3835,3814,21,0.55,8,0,0.0,,,
GPU,core_base_clock,3835,3825,10,0.26,386,3825,100.0,0.0,18000.0,1679.978
GPU,core_boost_clock,3835,3829,6,0.16,469,3829,100.0,0.0,3320.0,2010.5498
GPU,core_count,3835,2870,965,25.16,49,2870,100.0,0.0,24064.0,4629.2118
GPU,effective_memory_clock,3835,3831,4,0.1,181,3831,100.0,0.0,30000.0,7104.8742
GPU,frame_sync,3835,1209,2626,68.47,3,0,0.0,,,
GPU,general_product_information_amazon_sku,3835,1810,2025,52.8,1766,0,0.0,,,
GPU,general_product_information_bestbuy_sku,3835,435,3400,88.66,389,435,100.0,6136515.0,18812122450.0,54143548.8345
GPU,general_product_information_ibuypower_sku,3835,22,3813,99.43,21,22,100.0,31601.0,32373.0,31881.9545
GPU,general_product_information_manufacturer_url,3835,911,2924,76.25,892,0,0.0,,,
GPU,general_product_information_newegg_sku,3835,930,2905,75.75,904,0,0.0,,,
GPU,general_product_information_walmart_sku,3835,1302,2533,66.05,1239,1302,100.0,6671698.0,20765860292.0,5585510398.1759
GPU,interface,3835,3828,7,0.18,12,0,0.0,,,
GPU,length,3835,3832,3,0.08,275,3832,100.0,0.0,385.0,267.5927
GPU,lighting,3835,381,3454,90.07,12,0,0.0,,,
GPU,memory,3835,3835,0,0.0,18,3835,100.0,0.0,96.0,10.5291
GPU,memory_bus,3835,3832,3,0.08,15,3832,100.0,0.0,4096.0,75.2797
GPU,memory_type,3835,3835,0,0.0,11,0,0.0,,,
GPU,metadata_last_manually_spec_verified_at,3835,409,3426,89.34,409,0,0.0,,,
GPU,metadata_manufacturer_color,3835,892,2943,76.74,50,0,0.0,,,
GPU,metadata_part_numbers,3835,3808,27,0.7,3703,9,0.24,822485.0,900120052500000.0,100291728992230.67
GPU,power_connectors_pcie_12VHPWR,3835,3716,119,3.1,3,3716,100.0,0.0,2.0,0.0947
GPU,power_connectors_pcie_12V_2x6,3835,3734,101,2.63,3,3734,100.0,0.0,2.0,0.0587
GPU,power_connectors_pcie_6_pin,3835,3713,122,3.18,3,3713,100.0,0.0,2.0,0.1508
GPU,power_connectors_pcie_8_pin,3835,3787,48,1.25,5,3787,100.0,0.0,4.0,0.7692
GPU,radiator_size,3835,1,3834,99.97,1,1,100.0,360.0,360.0,360.0
GPU,tdp,3835,3834,1,0.03,136,3834,100.0,0.0,1000.0,214.0746
GPU,total_slot_width,3835,3826,9,0.23,58,3826,100.0,0.0,120.0,2.523
GPU,video_outputs_displayport_1_4a,3835,3758,77,2.01,5,3758,100.0,0.0,4.0,1.913
GPU,video_outputs_displayport_2_1,3835,3700,135,3.52,5,3700,100.0,0.0,4.0,0.2146
GPU,video_outputs_displayport_2_1_b,3835,877,2958,77.13,5,877,100.0,0.0,4.0,1.4151
GPU,video_outputs_displayport_2_1a,3835,3705,130,3.39,5,3705,100.0,0.0,4.0,0.0723
GPU,video_outputs_dvi_d,3835,3730,105,2.74,3,3730,100.0,0.0,2.0,0.0265
GPU,video_outputs_hdmi_2_0,3835,3732,103,2.69,5,3732,100.0,0.0,4.0,0.59
GPU,video_outputs_hdmi_2_0a,3835,731,3104,80.94,1,731,100.0,0.0,0.0,0.0
GPU,video_outputs_hdmi_2_0b,3835,733,3102,80.89,3,733,100.0,0.0,2.0,0.0832
GPU,video_outputs_hdmi_2_1,3835,3768,67,1.75,4,3768,100.0,0.0,3.0,0.3838
GPU,video_outputs_hdmi_2_1a,3835,751,3084,80.42,3,751,100.0,0.0,2.0,0.1571
GPU,video_outputs_hdmi_2_1b,3835,788,3047,79.45,3,788,100.0,0.0,2.0,0.5406
GPU,video_outputs_hdmi_2_2,3835,771,3064,79.9,1,771,100.0,0.0,0.0,0.0
GPU,video_outputs_usb_c,3835,758,3077,80.23,2,758,100.0,0.0,1.0,0.0303
GPU,video_outputs_vga,3835,3722,113,2.95,2,3722,100.0,0.0,1.0,0.0183
RAM,opendb_id,4828,4828,0,0.0,4828,0,0.0,,,
RAM,metadata_name,4828,4828,0,0.0,4527,0,0.0,,,
RAM,metadata_manufacturer,4828,4826,2,0.04,51,0,0.0,,,
RAM,metadata_series,4828,4823,5,0.1,623,5,0.1,900390.0,996573.0,920266.6
RAM,metadata_variant,4828,3908,920,19.06,240,3,0.08,3200.0,5600.0,4133.3333
RAM,metadata_releaseYear,4828,519,4309,89.25,15,519,100.0,0.0,2026.0,1936.3776
RAM,_source_file,4828,4828,0,0.0,4828,0,0.0,,,
RAM,capacity,4828,4828,0,0.0,16,4828,100.0,1.0,512.0,37.6187
RAM,cas_latency,4828,4826,2,0.04,34,4826,100.0,0.0,64.0,26.5841
RAM,color,4828,4604,224,4.64,41,0,0.0,,,
RAM,ecc,4828,4809,19,0.39,2,0,0.0,,,
RAM,form_factor,4828,4827,1,0.02,8,0,0.0,,,
RAM,general_product_information_amazon_sku,4828,2318,2510,51.99,2285,0,0.0,,,
RAM,general_product_information_bestbuy_sku,4828,106,4722,97.8,99,106,100.0,4895506.0,12481052.0,7884175.2075
RAM,general_product_information_ibuypower_sku,4828,12,4816,99.75,12,12,100.0,28741.0,31279.0,29231.0
RAM,general_product_information_manufacturer_url,4828,801,4027,83.41,386,0,0.0,,,
RAM,general_product_information_newegg_sku,4828,1426,3402,70.46,1401,0,0.0,,,
RAM,general_product_information_walmart_sku,4828,1615,3213,66.55,1565,1615,100.0,11084761.0,20278604475.0,2973626223.5684
RAM,heat_spreader,4828,4519,309,6.4,2,0,0.0,,,
RAM,height,4828,761,4067,84.24,52,761,100.0,-1.0,57.3,38.2923
RAM,lighting,4828,345,4483,92.85,2,0,0.0,,,
RAM,metadata_last_manually_spec_verified_at,4828,480,4348,90.06,480,0,0.0,,,
RAM,metadata_manufacturer_color,4828,775,4053,83.95,23,0,0.0,,,
RAM,metadata_part_numbers,4828,4798,30,0.62,4758,11,0.23,900390.0,996763.0,926616.6364
RAM,modules_capacity_gb,4828,4828,0,0.0,10,4828,100.0,1.0,128.0,18.0652
RAM,modules_quantity,4828,4828,0,0.0,6,4828,100.0,1.0,8.0,2.058
RAM,profile_support,4828,960,3868,80.12,4,0,0.0,,,
RAM,ram_type,4828,4828,0,0.0,5,0,0.0,,,
RAM,registered,4828,4809,19,0.39,2,0,0.0,,,
RAM,rgb,4828,4423,405,8.39,2,0,0.0,,,
RAM,speed,4828,4828,0,0.0,56,4828,100.0,333.0,8800.0,4690.2133
RAM,timings,4828,3170,1658,34.34,331,0,0.0,,,
RAM,voltage,4828,1234,3594,74.44,10,1234,100.0,0.0,5.0,1.3305
Motherboard,opendb_id,3699,3699,0,0.0,3699,0,0.0,,,
Motherboard,metadata_name,3699,3699,0,0.0,3682,0,0.0,,,
Motherboard,metadata_manufacturer,3699,3695,4,0.11,16,0,0.0,,,
Motherboard,metadata_series,3699,3626,73,1.97,391,6,0.17,970.0,970.0,970.0
Motherboard,metadata_variant,3699,884,2815,76.1,813,0,0.0,,,
Motherboard,metadata_releaseYear,3699,723,2976,80.45,13,723,100.0,0.0,2026.0,2008.574
Motherboard,socket,3699,3695,4,0.11,30,0,0.0,,,
Motherboard,_source_file,3699,3699,0,0.0,3699,0,0.0,,,
Motherboard,audio_channels,3699,3684,15,0.41,3,3684,100.0,2.0,7.1,7.0912
Motherboard,audio_chipset,3699,3682,17,0.46,108,0,0.0,,,
Motherboard,back_connect_connectors,3699,3676,23,0.62,2,0,0.0,,,
Motherboard,back_panel_ports,3699,3688,11,0.3,877,0,0.0,,,
Motherboard,bios_features_clear_cmos,3699,3679,20,0.54,2,0,0.0,,,
Motherboard,bios_features_flashback,3699,3675,24,0.65,2,0,0.0,,,
Motherboard,chipset,3699,3695,4,0.11,141,0,0.0,,,
Motherboard,color,3699,3398,301,8.14,82,0,0.0,,,
Motherboard,ecc_support,3699,3683,16,0.43,2,0,0.0,,,
Motherboard,fan_headers_case_fan,3699,562,3137,84.81,8,562,100.0,1.0,8.0,3.3861
Motherboard,fan_headers_cpu_fan,3699,561,3138,84.83,2,561,100.0,1.0,2.0,1.0713
Motherboard,fan_headers_cpu_opt,3699,369,3330,90.02,3,369,100.0,0.0,3.0,0.5772
Motherboard,fan_headers_pump,3699,504,3195,86.37,5,504,100.0,0.0,5.0,1.1369
Motherboard,form_factor,3699,3697,2,0.05,11,0,0.0,,,
Motherboard,front_panel_headers_hdd_led,3699,556,3143,84.97,2,0,0.0,,,
Motherboard,front_panel_headers_power_button,3699,557,3142,84.94,2,0,0.0,,,
Motherboard,front_panel_headers_power_led,3699,556,3143,84.97,2,0,0.0,,,
Motherboard,front_panel_headers_reset_button,3699,556,3143,84.97,2,0,0.0,,,
Motherboard,general_product_information_amazon_sku,3699,1462,2237,60.48,1428,0,0.0,,,
Motherboard,general_product_information_bestbuy_sku,3699,236,3463,93.62,211,236,100.0,6305799.0,12917473.0,7280532.8559
Motherboard,general_product_information_ibuypower_sku,3699,19,3680,99.49,15,19,100.0,29601.0,32400.0,30788.8947
Motherboard,general_product_information_manufacturer_url,3699,546,3153,85.24,536,0,0.0,,,
Motherboard,general_product_information_newegg_sku,3699,1051,2648,71.59,1020,0,0.0,,,
Motherboard,general_product_information_walmart_sku,3699,1010,2689,72.7,978,1010,100.0,635273.0,20680303096.0,5372927322.202
Motherboard,lighting,3699,242,3457,93.46,14,0,0.0,,,
Motherboard,m2_slots,3699,2958,741,20.03,27,275,9.3,2230.0,22110.0,2424.0364
Motherboard,memory_max,3699,3694,5,0.14,19,3694,100.0,0.0,2048.0,114.7028
Motherboard,memory_ram_type,3699,3695,4,0.11,4,0,0.0,,,
Motherboard,memory_slots,3699,3695,4,0.11,7,3695,100.0,1.0,16.0,3.6915
Motherboard,metadata_last_manually_spec_verified_at,3699,225,3474,93.92,206,0,0.0,,,
Motherboard,metadata_manufacturer_color,3699,724,2975,80.43,25,0,0.0,,,
Motherboard,metadata_part_numbers,3699,3666,33,0.89,3631,0,0.0,,,
Motherboard,onboard_ethernet,3699,3681,18,0.49,3097,0,0.0,,,
Motherboard,other_headers_com_port,3699,414,3285,88.81,3,414,100.0,0.0,2.0,0.5652
Motherboard,other_headers_temperature_sensor,3699,341,3358,90.78,4,341,100.0,0.0,3.0,0.6246
Motherboard,other_headers_thunderbolt,3699,345,3354,90.67,3,345,100.0,0.0,2.0,0.5188
Motherboard,pcie_slots,3699,3684,15,0.41,3131,0,0.0,,,
Motherboard,power_connectors_cpu_power,3699,560,3139,84.86,9,0,0.0,,,
Motherboard,power_connectors_main_power,3699,560,3139,84.86,4,0,0.0,,,
Motherboard,raid_support,3699,3688,11,0.3,2,0,0.0,,,
Motherboard,rgb_headers_argb_5v,3699,537,3162,85.48,5,537,100.0,0.0,4.0,2.5419
Motherboard,rgb_headers_rgb_12v,3699,463,3236,87.48,4,463,100.0,0.0,3.0,1.0346
Motherboard,storage_devices_sata_3_gb_s,3699,3558,141,3.81,11,3558,100.0,0.0,10.0,0.3957
Motherboard,storage_devices_sata_6_gb_s,3699,3694,5,0.14,13,3694,100.0,0.0,64.0,3.6148
Motherboard,storage_devices_u2,3699,3560,139,3.76,3,3560,100.0,0.0,2.0,0.0081
Motherboard,usb_headers_usb_2_0,3699,3694,5,0.14,7,3694,100.0,0.0,6.0,1.938
Motherboard,usb_headers_usb_3_2_gen_1,3699,3694,5,0.14,8,3694,100.0,0.0,8.0,1.2347
Motherboard,usb_headers_usb_3_2_gen_2,3699,3596,103,2.78,9,3596,100.0,0.0,10.0,0.3432
Motherboard,usb_headers_usb_3_2_gen_2x2,3699,3592,107,2.89,3,3592,100.0,0.0,2.0,0.1189
Motherboard,usb_headers_usb_4,3699,3558,141,3.81,3,3558,100.0,0.0,2.0,0.0073
Motherboard,usb_headers_usb_4_80g,3699,270,3429,92.7,2,270,100.0,0.0,1.0,0.0037
Motherboard,wireless_networking,3699,425,3274,88.51,43,0,0.0,,,
PSU,opendb_id,3295,3295,0,0.0,3295,0,0.0,,,
PSU,metadata_name,3295,3295,0,0.0,3262,0,0.0,,,
PSU,metadata_manufacturer,3295,3291,4,0.12,111,0,0.0,,,
PSU,metadata_series,3295,3289,6,0.18,1202,60,1.82,400.0,50315153277247.0,1677174783670.05
PSU,metadata_variant,3295,3231,64,1.94,290,0,0.0,,,
PSU,metadata_releaseYear,3295,151,3144,95.42,15,151,100.0,0.0,2026.0,1633.3907
PSU,_source_file,3295,3295,0,0.0,3295,0,0.0,,,
PSU,color,3295,1856,1439,43.67,26,0,0.0,,,
PSU,connectors_atx_24_pin,3295,3289,6,0.18,2,3289,100.0,0.0,1.0,0.9985
PSU,connectors_eps_8_pin,3295,3289,6,0.18,5,3289,100.0,0.0,4.0,1.1456
PSU,connectors_floppy_4_pin,3295,3262,33,1.0,3,3262,100.0,0.0,2.0,0.0202
PSU,connectors_molex_4_pin,3295,3286,9,0.27,15,3286,100.0,0.0,14.0,3.2912
PSU,connectors_pcie_12vhpwr,3295,3290,5,0.15,5,3290,100.0,0.0,4.0,0.1255
PSU,connectors_pcie_6_plus_2_pin,3295,3290,5,0.15,14,3290,100.0,0.0,18.0,2.7389
PSU,connectors_sata,3295,3289,6,0.18,19,3289,100.0,0.0,20.0,7.6789
PSU,cybernetics_efficiency_rating,3295,53,3242,98.39,3,0,0.0,,,
PSU,cybernetics_noise_rating,3295,51,3244,98.45,6,0,0.0,,,
PSU,efficiency_rating,3295,3014,281,8.53,8,0,0.0,,,
PSU,fanless,3295,3275,20,0.61,2,0,0.0,,,
PSU,form_factor,3295,3290,5,0.15,7,0,0.0,,,
PSU,general_product_information_amazon_sku,3295,1058,2237,67.89,1051,0,0.0,,,
PSU,general_product_information_bestbuy_sku,3295,155,3140,95.3,137,155,100.0,5594501.0,12202130.0,6712852.6194
PSU,general_product_information_ibuypower_sku,3295,33,3262,99.0,30,33,100.0,29943.0,32948.0,31085.0
PSU,general_product_information_manufacturer_url,3295,86,3209,97.39,75,0,0.0,,,
PSU,general_product_information_newegg_sku,3295,619,2676,81.21,613,0,0.0,,,
PSU,general_product_information_walmart_sku,3295,661,2634,79.94,653,661,100.0,16318802.0,19994904085.0,4118586063.0272
PSU,length,3295,3183,112,3.4,64,3183,100.0,0.0,241.0,151.8429
PSU,lighting,3295,5,3290,99.85,2,0,0.0,,,
PSU,metadata_last_manually_spec_verified_at,3295,57,3238,98.27,57,0,0.0,,,
PSU,metadata_manufacturer_color,3295,56,3239,98.3,5,0,0.0,,,
PSU,metadata_part_numbers,3295,3293,2,0.06,3272,17,0.52,900349.0,4044951026548.0,951805625213.4117
PSU,modular,3295,3290,5,0.15,3,0,0.0,,,
PSU,wattage,3295,3291,4,0.12,79,3291,100.0,0.0,2800.0,753.2315
Cooler,opendb_id,2398,2398,0,0.0,2398,0,0.0,,,
Cooler,metadata_name,2398,2398,0,0.0,2384,0,0.0,,,
Cooler,metadata_manufacturer,2398,2394,4,0.17,96,0,0.0,,,
Cooler,metadata_series,2398,2389,9,0.38,756,0,0.0,,,
Cooler,metadata_variant,2398,1869,529,22.06,167,6,0.32,2.0,360.0,220.8333
Cooler,metadata_releaseYear,2398,227,2171,90.53,14,227,100.0,0.0,2026.0,1934.0573
Cooler,_source_file,2398,2398,0,0.0,2398,0,0.0,,,
Cooler,color,2398,1871,527,21.98,45,0,0.0,,,
Cooler,cpu_sockets,2398,2394,4,0.17,228,0,0.0,,,
