category,column,count,min,max,average,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percent
CPU,specifications_tdp,789,25.0,350.0,100.1736,65.0,125.0,60.0,-25.0,215.0,33,4.18
CPU,clocks_performance_base,789,1.1,4.7,3.3112,3.0,3.7,0.7000000000000002,1.95,4.75,12,1.52
CPU,clocks_performance_boost,789,0.0,6.0,4.149,3.8,4.7,0.9000000000000004,2.45,6.05,18,2.28
CPU,cores_total,789,2.0,96.0,8.5399,4.0,10.0,6.0,-5.0,19.0,48,6.08
CPU,cores_threads,789,2.0,192.0,14.7909,6.0,16.0,10.0,-9.0,31.0,72,9.13
GPU,memory,3835,0.0,96.0,10.5291,8.0,16.0,8.0,-4.0,28.0,71,1.85
GPU,core_count,2870,0.0,24064.0,4629.2118,0.0,6144.0,6144.0,-9216.0,15360.0,108,3.76
GPU,tdp,3834,0.0,1000.0,214.0746,150.0,285.0,135.0,-52.5,487.5,53,1.38
GPU,length,3832,0.0,385.0,267.5927,236.0,305.0,69.0,132.5,408.5,15,0.39
GPU,core_base_clock,3825,0.0,18000.0,1679.978,1365.0,2150.0,785.0,187.5,3327.5,39,1.02
GPU,core_boost_clock,3829,0.0,3320.0,2010.5498,1680.0,2550.0,870.0,375.0,3855.0,5,0.13
RAM,speed,4828,333.0,8800.0,4690.2133,3200.0,6000.0,2800.0,-1000.0,10200.0,0,0.0
RAM,capacity,4828,1.0,512.0,37.6187,16.0,48.0,32.0,-32.0,96.0,187,3.87
RAM,modules_capacity_gb,4828,1.0,128.0,18.0652,8.0,24.0,16.0,-16.0,48.0,54,1.12
RAM,modules_quantity,4828,1.0,8.0,2.058,2.0,2.0,0.0,2.0,2.0,1536,31.81
RAM,cas_latency,4826,0.0,64.0,26.5841,16.0,36.0,20.0,-14.0,66.0,0,0.0
RAM,voltage,1234,0.0,5.0,1.3305,1.35,1.4,0.04999999999999982,1.275,1.475,281,22.77
Motherboard,memory_max,3694,0.0,2048.0,114.7028,64.0,128.0,64.0,-32.0,224.0,516,13.97
Motherboard,memory_slots,3695,1.0,16.0,3.6915,2.0,4.0,2.0,-1.0,7.0,204,5.52
PSU,wattage,3291,0.0,2800.0,753.2315,575.0,850.0,275.0,162.5,1262.5,120,3.65
PSU,length,3183,0.0,241.0,151.8429,140.0,160.0,20.0,110.0,190.0,234,7.35
Cooler,height,1621,0.0,397.0,110.2905,62.0,156.0,94.0,-79.0,297.0,1,0.06
Cooler,fan_quantity,322,0.0,3.0,2.1957,2.0,3.0,1.0,0.5,4.5,3,0.93
Cooler,fan_size,351,0.0,420.0,126.3006,120.0,120.0,0.0,120.0,120.0,72,20.51
Cooler,radiator_size,1283,0.0,420.0,282.0998,240.0,360.0,120.0,60.0,540.0,22,1.71
Case,max_video_card_length,3585,0.0,635.0,372.3831,330.0,410.0,80.0,210.0,530.0,56,1.56
Case,max_cpu_cooler_height,1222,0.0,279.0,164.823,161.0,180.0,19.0,132.5,208.5,124,10.15
Case,max_psu_length,101,150.0,265.0,204.3267,180.0,220.0,40.0,120.0,280.0,0,0.0
Case,volume,3176,0.0,281.0,46.4883,35.007,56.456,21.449000000000005,2.8335,88.6295,193,6.08
Storage,capacity,3493,8.0,36000.0,2424.3945,500.0,2000.0,1500.0,-1750.0,4250.0,425,12.17
