opendb_id,name,manufacturer,form_factor,expansion_slots,internal_2_5_bays,internal_3_5_bays,gpu_clearance_mm,cooler_clearance_mm,psu_clearance_mm,volume_liters,supported_motherboards,supported_psu,transparent_side_panel
0000caee-142c-48f6-99be-9c6f4dd18845,Fractal Design Meshify C ATX Mid Tower Black,Fractal Design,ATX Mid Tower,7,3,2,315.0,170.0,,40.598,ATX | Micro ATX | Mini-ITX,,false
000a0d8c-7590-4fd6-a724-41c36a3a4a9f,Deepcool CH510 MESH DIGITAL ATX Mid Tower Black Tempered Glass,DeepCool,ATX Mid Tower,7,2,2,380.0,,,49.185,ATX | Micro ATX | Mini-ITX,,true
00421fed-e4e2-49c9-9127-ed0d22c84340,Thermaltake View 380 XL WS ARGB Mid Tower Chassis Wood Edition Snow,Thermaltake,ATX Mid Tower,8,2,1,420.0,160.0,,63.619,ATX | Micro ATX | Mini-ITX,,true
00487393-e98c-4e50-9519-d83f58497429,Silverstone Sugo SG11 Micro ATX Mini Tower Black,Silverstone,Micro ATX Mini Tower,4,9,3,369.0,82.0,,22.5,Micro ATX | Mini-ITX,,false
004c70a3-272d-48a9-a448-96d006f10d55,Lian Li LANCOOL 216 EATX Mid Tower White Tempered Glass RGB w/Controller,Lian Li,EATX Mid Tower,7,6,2,392.0,180.5,,55.568,EATX | ATX | Micro ATX | Mini-ITX,,true
00569e42-4f32-46a9-ae0b-0af73fd8d8dd,Cougar DarkBlader-G ATX Full Tower Black / Silver with Tempered Glass Side Panel and USB 3.2 Gen 1 Type-A Front Panel,Cougar,ATX Full Tower,8,4,4,380.0,,,,ATX | Micro ATX | Mini-ITX,,true
00584ec5-7163-4d77-ab95-75e0efcd4650,"HYTE Y40 ATX Mid Tower Red / Black with Tempered Glass Side Panel and USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",HYTE,ATX Mid Tower,6,2,1,422.0,183.0,,49.73,ATX | Micro ATX | Mini-ITX,,true
006b9bba-a671-4baf-b5b2-61077a7788eb,"Fractal Design Define R4 ATX Mid Tower Black / Gray with Acrylic Side Panel and USB 3.2 Gen 1 Type-A, USB 2.0 Type-A",Fractal Design,ATX Mid Tower,7,2,8,430.0,,,55.95,ATX | Micro ATX | Mini-ITX,,true
006f965a-1eaf-42ff-a595-85c9e7fda484,Antec AX67 ARGB ATX Mid Tower Tempered Glass,Antec,ATX Mid Tower,7,2,2,345.0,,,36.369,ATX | Micro ATX | Mini-ITX,,true
0071938b-9e4d-48fc-934b-e5d17caab4b1,"Chieftec Chieftronic M2 MicroATX Mid Tower Tempered Glass Side Panel, Front USB 3.2 Gen 1 Type-A & USB 2.0 Type-A",Chieftec,Micro ATX Mid Tower,4,2,2,340.0,,,37.486,Micro ATX | Mini-ITX,,true
