cooler_height,case_cooler_clearance,cooler_fan_size,cooler_fan_quantity,radiator_size,case_form_factor,height_difference,label
160.0,67.0,,,,Mini ITX Tower,-93.0,0
163.0,70.0,,,,Mini ITX Tower,-93.0,0
158.0,151.0,,,,Micro ATX Mini Tower,-7.0,0
168.0,165.0,,,,ATX Mid Tower,-3.0,0
154.0,185.0,,,,ATX Mid Tower,31.0,1
150.0,165.0,120.0,2,240.0,Micro ATX Mini Tower,15.0,1
150.0,210.0,,,,ATX Mid Tower,60.0,1
165.0,185.0,,,,ATX Mid Tower,20.0,1
137.0,67.0,120.0,3,360.0,Mini ITX Tower,-70.0,0
158.0,83.0,,,,Mini ITX Tower,-75.0,0
156.0,160.0,,,,ATX Mid Tower,4.0,1
158.0,67.0,,,,Mini ITX Tower,-91.0,0
30.0,160.0,,,,ATX Mid Tower,130.0,1
158.0,160.0,,,,ATX Mid Tower,2.0,1
47.6,160.0,120.0,2,240.0,Mini ITX Tower,112.4,1
170.0,166.0,,,,Micro ATX Mini Tower,-4.0,0
158.0,169.0,,,,ATX Mid Tower,11.0,1
168.0,155.0,120.0,,,Micro ATX Mini Tower,-13.0,0
54.0,168.0,,,360.0,ATX Mid Tower,114.0,1
123.0,170.0,120.0,3,360.0,ATX Mid Tower,47.0,1
165.0,70.0,,,,HTPC,-95.0,0
154.0,77.0,,,,Mini ITX Tower,-77.0,0
80.0,170.0,120.0,2,240.0,ATX Mid Tower,90.0,1
90.0,170.0,,,120.0,ATX Mid Tower,80.0,1
155.0,166.0,120.0,2,,Micro ATX Mini Tower,11.0,1
169.0,159.0,,,,Micro ATX Mini Tower,-10.0,0
165.0,162.0,,,,Micro ATX Mid Tower,-3.0,0
161.0,140.0,,,,Mini ITX Tower,-21.0,0
165.0,160.0,,,,Micro ATX Mid Tower,-5.0,0
148.0,163.5,120.0,,,Micro ATX Mid Tower,15.5,1
151.0,160.0,,,,ATX Mid Tower,9.0,1
