cpu_socket,motherboard_socket,cpu_cores,cpu_threads,cpu_base_clock,cpu_boost_clock,cpu_tdp,motherboard_ram_type,motherboard_ram_slots,motherboard_chipset,label
LGA2011,LGA1150,6,12,2.6,3.1,80.0,DDR3,2,Intel H81,0
LGA1200,LGA1200,6,12,2.6,4.4,65.0,DDR4,4,Intel Z490,1
LGA2011,LGA2011,8,16,3.2,4.0,140.0,DDR4,8,Intel X99,1
STR5,LGA2011,64,128,3.2,5.1,350.0,DDR3,8,Intel X79,0
LGA1151,LGA1151,8,8,3.0,4.7,65.0,DDR4,4,Intel Z390,1
LGA1151,LGA1151,4,8,3.8,4.7,71.0,DDR4,4,Intel Z390,1
LGA2011,LGA1151,8,16,3.0,3.5,140.0,DDR4,2,Intel Z270,0
AM4,AM4,4,4,3.5,3.8,65.0,DDR4,4,AMD X370,1
AM4,AM4,4,4,3.5,3.7,65.0,DDR4,4,AMD B350,1
LGA1151,LGA2011,4,4,2.0,3.0,25.0,DDR4,8,Intel X99,0
AM4,AM4,4,8,3.8,4.0,65.0,DDR4,2,AMD B550,1
FM2+,FM2+,2,2,3.5,3.8,45.0,DDR3,2,AMD A78,1
LGA1151,LGA2011,4,4,3.5,4.1,65.0,DDR3,8,Intel X79,0
LGA2011,LGA1700,6,12,3.4,3.7,135.0,DDR4,4,Intel Z690,0
LGA2011,LGA2011,8,16,3.1,3.8,150.0,DDR4,8,Intel X99,1
LGA1700,AM4,2,2,3.4,,46.0,DDR4,4,AMD X370,0
LGA1151,LGA1151,4,8,4.2,4.5,91.0,DDR4,4,Intel Z170,1
FM2+,LGA1151,4,4,3.1,3.8,65.0,DDR4,2,Intel H170,0
LGA1151,LGA1151,6,6,3.0,4.4,65.0,DDR4,2,Intel Z390,1
FM2,LGA1155,2,2,3.2,3.4,65.0,DDR3,2,Intel H61,0
LGA1151,LGA1151,4,8,3.5,4.5,71.0,DDR4,4,Intel C236,1
LGA1150,AM4,4,4,3.5,3.9,88.0,DDR4,4,AMD B450,0
LGA2066,TRX4,14,28,3.1,4.4,165.0,DDR4,8,AMD TRX40,0
LGA2011,LGA1700,8,16,2.6,3.4,90.0,DDR5,4,Intel Z790,0
AM3+,LGA1700,8,8,4.7,5.0,220.0,DDR5,2,Intel H610,0
LGA2011,LGA2011,8,16,2.1,3.0,85.0,DDR4,8,Intel X99,1
LGA1151,LGA1151,8,8,2.0,4.3,35.0,DDR4,4,Intel C232,1
LGA1150,LGA1150,4,4,3.2,3.6,84.0,DDR3,4,Intel C222,1
LGA1151,LGA1151,4,8,4.0,4.2,91.0,DDR4,4,Intel Z390,1
STR5,LGA2011,96,192,2.5,5.4,350.0,DDR4,8,Intel X99,0
LGA1700,LGA1151,24,32,3.2,5.6,125.0,DDR4,4,Intel Z270,0
LGA2011,LGA1155,8,16,2.6,3.3,115.0,DDR3,2,Intel H61,0
LGA1151,LGA1151,6,12,4.0,5.0,95.0,DDR4,4,Intel Z390,1
LGA1151,LGA1151,6,6,3.0,4.1,65.0,DDR4,2,Intel B250,1
LGA1200,LGA1200,8,16,2.5,5.2,65.0,DDR4,2,Intel H510,1
LGA1151,LGA1151,4,4,3.0,3.5,80.0,DDR4,4,Intel Z170,1
LGA1151,LGA1151,4,4,3.0,3.5,65.0,DDR4,4,Intel Z370,1
LGA1700,LGA1700,24,32,2.0,5.6,65.0,DDR5,4,Intel Z790,1
LGA1151,LGA1151,4,4,3.3,3.7,73.0,DDR4,4,Intel Z390,1
LGA1150,LGA1150,4,4,3.2,3.9,65.0,DDR3,2,Intel H81,1
LGA2011,AM4,4,8,3.6,3.8,130.0,DDR4,4,AMD B550,0
LGA1200,LGA1851,8,16,3.8,5.1,125.0,DDR5,2,Intel H810,0
AM4,AM4,6,12,3.5,4.4,65.0,DDR4,2,AMD B350,1
LGA1151,LGA1151,6,12,3.5,4.5,80.0,DDR4,4,Intel Z370,1
LGA2066,LGA1700,4,4,4.0,4.2,112.0,DDR5,4,Intel Z690,0
LGA1151,LGA1151,4,8,3.6,4.0,80.0,DDR4,4,Intel Z270,1
LGA1151,LGA1151,4,8,3.7,4.1,73.0,DDR4,2,Intel H110,1
LGA1151,LGA1151,8,16,3.6,5.0,95.0,DDR4,4,Intel H370,1
LGA1700,LGA1700,14,20,2.5,4.8,65.0,DDR4,4,Intel B660,1
LGA2011,LGA2011,6,12,3.6,3.8,140.0,DDR4,8,Intel C612,1
LGA1700,LGA1155,24,32,3.0,5.8,125.0,DDR3,4,Intel H77,0
LGA1151,AM5,4,4,2.2,2.8,35.0,DDR5,4,AMD X870,0
AM4,AM4,4,4,3.2,3.6,65.0,DDR4,4,AMD B550,1
LGA1151,LGA1151,4,8,3.5,3.9,72.0,DDR4,4,Intel Z270,1
AM4,AM4,8,16,3.7,4.3,105.0,DDR4,4,AMD B550,1
LGA1851,AM4,24,24,2.5,5.6,65.0,DDR4,2,AMD B550,0
LGA1151,LGA1151,4,8,4.0,4.2,91.0,DDR4,2,Intel B250,1
LGA1151,LGA1151,4,8,3.4,3.8,80.0,DDR4,4,Intel B250,1
LGA1700,LGA1700,12,20,2.1,4.9,65.0,DDR4,4,Intel B760,1
LGA1151,LGA775,6,12,3.3,4.5,80.0,DDR2,2,Intel G41,0
LGA1151,LGA1151,4,8,4.0,4.2,91.0,DDR4,2,Intel B250,1
LGA1151,LGA1151,6,6,2.9,4.1,65.0,DDR4,4,Intel Q370,1
AM5,AM4,12,24,3.7,5.4,65.0,DDR4,4,AMD X570,0
LGA1151,LGA1700,8,16,2.1,4.4,35.0,DDR5,4,Intel Z690,0
AM4,AM5,8,16,3.6,4.4,65.0,DDR5,4,AMD B650,0
FM2,AM4,2,2,3.7,3.9,65.0,DDR4,4,AMD B550,0
LGA1151,AM3+,6,12,3.4,4.8,80.0,DDR3,4,AMD 970,0
LGA2011,LGA1700,4,8,3.5,3.6,140.0,DDR4,4,Intel B660,0
AM5,AM5,16,32,4.5,5.7,170.0,DDR5,4,AMD X670E,1
AM4,AM5,4,8,3.8,4.3,65.0,DDR5,4,AMD B840,0
AM4,LGA1155,6,6,3.6,4.1,65.0,DDR3,4,Intel Z75,0
AM4,AM4,6,12,3.6,4.2,65.0,DDR4,4,AMD B350,1
LGA1151,LGA1151,4,8,3.7,4.1,72.0,DDR4,4,Intel H270,1
LGA1700,LGA1700,14,20,3.5,5.3,125.0,DDR5,4,Intel B760,1
LGA1151,LGA1155,8,16,3.6,5.0,95.0,DDR3,4,Intel H77,0
LGA1151,AM4,4,8,3.5,3.9,80.0,DDR4,2,AMD A520,0
LGA1150,LGA1150,4,8,3.6,4.0,84.0,DDR3,2,Intel H81,1
LGA2011,LGA1700,6,12,3.4,3.8,140.0,DDR5,4,Intel Z790,0
AM5,AM5,12,24,4.4,5.5,120.0,DDR5,2,AMD X870,1
LGA2066,AM5,10,20,3.3,4.5,140.0,DDR5,4,AMD X870E,0
AM4,LGA1200,16,32,3.5,4.7,105.0,DDR4,2,Intel Z490,0
LGA1151,LGA1151,6,6,2.9,4.1,65.0,DDR4,4,Intel B250,1
LGA1700,AM3+,16,24,3.2,5.2,125.0,DDR3,4,AMD 760G,0
LGA2066,LGA1151,8,16,3.8,4.5,165.0,DDR4,4,Intel B360,0
TR4,LGA1200,12,24,3.5,4.3,180.0,DDR4,4,Intel Q470,0
AM4,AM4,4,4,3.8,4.0,65.0,DDR4,4,AMD A520,1
AM3+,LGA1700,8,8,4.0,4.2,125.0,DDR4,4,Intel Z790,0
LGA2011,LGA1151,6,12,3.6,4.0,140.0,DDR4,2,Intel H110,0
AM4,LGA1200,4,8,3.8,4.0,65.0,DDR4,4,Intel Z590,0
LGA1700,LGA1151,24,32,3.2,6.0,125.0,DDR4,4,Intel B365,0
FM2+,AM5,4,4,3.4,3.8,95.0,DDR5,4,AMD X870E,0
LGA1151,LGA1151,4,4,3.8,4.2,91.0,DDR4,2,Intel Z370,1
LGA2011,LGA1851,8,16,3.2,4.0,140.0,DDR5,4,Intel Z890,0
LGA1151,LGA1151,4,4,3.3,3.9,65.0,DDR4,4,Intel B365,1
AM4,AM3+,8,16,3.6,4.0,95.0,DDR3,4,AMD 760G,0
LGA1700,LGA1700,14,20,3.5,5.1,125.0,DDR5,2,Intel H610,1
LGA1151,AM5,4,4,3.7,4.4,62.0,DDR5,4,AMD X870E,0
LGA1151,LGA1151,8,8,3.0,4.7,65.0,DDR4,4,Intel C246,1
AM4,AM4,4,4,3.1,3.4,65.0,DDR4,4,AMD B550,1
LGA1200,LGA1200,10,20,3.6,5.2,125.0,DDR4,4,Intel Z490,1
LGA1151,LGA1151,4,4,2.8,3.7,35.0,DDR4,4,Intel B250,1
TR4,LGA1200,32,64,3.0,4.2,250.0,DDR4,2,Intel H470,0
LGA1700,LGA1700,4,8,3.3,4.3,60.0,DDR5,4,Intel B660,1
LGA1151,LGA1151,6,6,3.1,4.6,65.0,DDR4,4,Intel Z390,1
AM5,AM5,16,32,4.5,5.7,170.0,DDR5,2,AMD B650,1
STR5,LGA1700,16,32,4.5,5.3,350.0,DDR4,2,Intel B660,0
LGA1151,LGA1700,6,6,3.7,4.6,95.0,DDR4,4,Intel B660,0
LGA1150,LGA1151,4,4,3.1,3.5,80.0,DDR4,4,Intel Z390,0
AM4,AM4,6,6,3.6,4.1,65.0,DDR4,2,AMD A520,1
AM4,AM4,6,6,3.6,4.1,65.0,DDR4,4,AMD X370,1
