psu_wattage,psu_form_factor,psu_length,psu_efficiency,case_supported_psu,case_psu_clearance,label
800.0,ATX,160.0,80+ GOLD,ATX,,1
750.0,ATX,140.0,80+ GOLD,ATX,,1
1600.0,ATX,190.0,80+ TITANIUM,ATX,180.0,0
850.0,ATX,188.0,80+ GOLD,ATX,180.0,0
650.0,ATX,140.0,80+ PLATINUM,ATX | SFX | SFX-L,220.0,1
420.0,TFX,171.0,,ATX,,0
450.0,ATX,140.0,80+,ATX,,1
450.0,SFX,100.0,80+ BRONZE,ATX,200.0,0
500.0,ATX,140.0,80+ BRONZE,ATX,250.0,1
650.0,SFX,100.0,80+ GOLD,ATX,220.0,0
300.0,SFX,105.0,,ATX,,0
1000.0,ATX,,80+ GOLD,ATX,220.0,1
535.0,ATX,160.0,80+ BRONZE,ATX,,1
750.0,ATX,140.0,80+ GOLD,ATX,220.0,1
750.0,ATX,160.0,80+ GOLD,ATX,,1
550.0,ATX,160.0,80+,ATX,220.0,1
850.0,ATX,165.0,80+ GOLD,ATX,,1
1200.0,ATX,200.0,80+,ATX,220.0,1
400.0,ATX,139.0,,ATX,220.0,1
850.0,ATX,140.0,80+ GOLD,ATX,220.0,1
500.0,ATX,157.0,,ATX,,1
1000.0,ATX,140.0,80+ GOLD,ATX,220.0,1
650.0,ATX,140.0,80+ GOLD,SFX | SFX-L,,0
650.0,SFX,125.0,80+ GOLD,ATX,220.0,0
450.0,SFX,100.0,80+ GOLD,ATX,,0
650.0,ATX,140.0,80+ PLATINUM,ATX,220.0,1
750.0,ATX,180.0,80+ GOLD,ATX,,1
450.0,SFX,100.0,80+ BRONZE,ATX,,0
1200.0,ATX,180.0,80+ PLATINUM,ATX,,1
1350.0,ATX,218.0,80+,ATX,,1
1000.0,ATX,159.0,80+ GOLD,ATX,240.0,1
750.0,SFX,100.0,80+ GOLD,ATX,160.0,0
850.0,ATX,160.0,80+ GOLD,Flex ATX,,0
450.0,SFX,100.0,80+ PLATINUM,ATX,,0
850.0,ATX,150.0,,ATX,240.0,1
800.0,ATX,160.0,80+ BRONZE,Flex ATX,,0
750.0,ATX,150.0,80+ GOLD,ATX,,1
700.0,ATX,140.0,80+ GOLD,ATX,,1
500.0,ATX,140.0,80+ BRONZE,ATX,,1
760.0,ATX,160.0,80+ PLATINUM,SFX | SFX-L,,0
1000.0,ATX,150.0,80+ GOLD,ATX,160.0,1
1200.0,ATX,140.0,80+ PLATINUM,ATX,,1
650.0,ATX,160.0,80+ BRONZE,ATX,220.0,1
850.0,ATX,140.0,80+ GOLD,ATX,220.0,1
750.0,ATX,140.0,80+ GOLD,SFX | SFX-L,,0
600.0,ATX,165.0,80+ PLATINUM,SFX | SFX-L,,0
460.0,ATX,139.0,80+,ATX,,1
1350.0,ATX,180.0,80+ GOLD,SFX | SFX-L,,0
850.0,SFX,100.0,80+ PLATINUM,ATX,170.0,0
500.0,ATX,140.0,80+,ATX,220.0,1
850.0,ATX,175.0,80+ TITANIUM,ATX,150.0,0
650.0,ATX,140.0,80+ BRONZE,ATX,,1
850.0,ATX,140.0,80+ GOLD,ATX,200.0,1
1000.0,ATX,160.0,80+ GOLD,SFX | SFX-L,,0
600.0,ATX,,,ATX,,1
700.0,ATX,180.0,80+ PLATINUM,ATX,160.0,0
600.0,SFX,130.0,80+ BRONZE,ATX,220.0,0
850.0,ATX,140.0,80+ GOLD,ATX,,1
460.0,ATX,120.0,80+ BRONZE,ATX,,1
750.0,ATX,160.0,80+ GOLD,ATX,200.0,1
750.0,ATX,150.0,80+ GOLD,ATX,200.0,1
