opendb_id,metadata_name,metadata_manufacturer,metadata_series,metadata_variant,metadata_releaseYear,_source_file,color,dimensions,dimensions_mm_depth,dimensions_mm_height,dimensions_mm_width,expansion_slots,external_3_5_bays,external_5_25_bays,form_factor,front_panel_usb,front_usb_ports,general_product_information_amazon_sku,general_product_information_bestbuy_sku,general_product_information_hyte_sku,general_product_information_ibuypower_sku,general_product_information_manufacturer_url,general_product_information_newegg_sku,general_product_information_walmart_sku,has_transparent_side_panel,internal_2_5_bays,internal_3_5_bays,lighting,max_cpu_cooler_height,max_psu_length,max_video_card_length,metadata_last_manually_spec_verified_at,metadata_manufacturer_color,metadata_part_numbers,power_supply,power_supply_included,power_supply_shroud,riser_expansion_slots,side_panel,supported_motherboard_form_factors,supported_power_supply_form_factors,supports_rear_connecting_motherboard,volume,weight
0000caee-142c-48f6-99be-9c6f4dd18845,Fractal Design Meshify C ATX Mid Tower Black,Fractal Design,Meshify,,,0000caee-142c-48f6-99be-9c6f4dd18845.json,BLACK,413 x 217 x 453,413,453,217,7,,,ATX Mid Tower,2x USB 3.0,2x USB 3.0,,,,,https://www.fractal-design.com/products/cases/meshify/meshify-c/,N82E16811352085,619395531,False,3,2,,170,,315,2025-10-03T06:29:12.607Z,,FD-CA-MESH-C-BKO,,,,,Solid,ATX | Micro ATX | Mini-ITX,,,40.598,16.57
000a0d8c-7590-4fd6-a724-41c36a3a4a9f,Deepcool CH510 MESH DIGITAL ATX Mid Tower Black Tempered Glass,DeepCool,CH510,,,000a0d8c-7590-4fd6-a724-41c36a3a4a9f.json,BLACK,455 x 230 x 470,,,,7,,,ATX Mid Tower,USB 3.2 Gen 2 Type-C                                                    USB 3.2 Gen 1 Type-A,,B0BNVT11RB,,,,,,,True,2,2,,,,380,,,R-CH510-BKNSE1-G-1 | CH510 Mesh Digital,,,,,Tempered Glass,ATX | Micro ATX | Mini-ITX,,,49.185,
00421fed-e4e2-49c9-9127-ed0d22c84340,Thermaltake View 380 XL WS ARGB Mid Tower Chassis Wood Edition Snow,Thermaltake,View,380 XL WS ARGB,,00421fed-e4e2-49c9-9127-ed0d22c84340.json,WHITE,473 x 288 x 471,473,471,288,8,,,ATX Mid Tower,,1x USB 3.2 Gen 2 Type-C   | 2x USB 3.0,B0FTQJSQRT,,,,https://www.thermaltake.com/view-380-xl-ws-argb-snow-mid-tower-chassis.html,N82E16811133582,18613824381,True,2,1,,160,,420,2025-11-07T14:32:46.264Z,,CA-11E-00M6WN-WS,,,,,Tempered Glass,ATX | Micro ATX | Mini-ITX,,True,63.619,15.28
00487393-e98c-4e50-9519-d83f58497429,Silverstone Sugo SG11 Micro ATX Mini Tower Black,Silverstone,Sugo,,,00487393-e98c-4e50-9519-d83f58497429.json,BLACK,270  x  212  x  393,393,212,270,4,,,Micro ATX Mini Tower,USB 3.0 x 2,USB 3.0 x 2,B00U8IS830,,,,https://www.silverstonetek.com/en/product/info/computer-chassis/SG11/,2KH-0030-001S2,45109823,False,9,3,,82,,369,2025-09-27T17:16:21.110Z,,SST-SG11B | SG11B | SST-SG11,,,,,Solid,Micro ATX | Mini-ITX,,,22.5,9.810571
004c70a3-272d-48a9-a448-96d006f10d55,Lian Li LANCOOL 216 EATX Mid Tower White Tempered Glass RGB w/Controller,Lian Li,LANCOOL,216 White with RGB Controller,,004c70a3-272d-48a9-a448-96d006f10d55.json,WHITE,480.9 x 235 x 491.7,480.9,491.7,235,7,,,EATX Mid Tower,USB 3.2 Gen 2 Type-C                                                    USB 3.2 Gen 1 Type-A,1 x USB Type C | 4 x  USB 3.0,B0BVH7ZM6N,,,,https://lian-li.com/product/lancool-216/,2AM-000Z-000B3,,True,6,2,,180.5,,392,2026-01-01T16:34:36.321Z,,LANCOOL 216RC-W | G99.LAN216RCW.00,,,True,7,Tempered Glass,EATX | ATX | Micro ATX | Mini-ITX,,False,55.568,23.1
00569e42-4f32-46a9-ae0b-0af73fd8d8dd,Cougar DarkBlader-G ATX Full Tower Black / Silver with Tempered Glass Side Panel and USB 3.2 Gen 1 Type-A Front Panel,Cougar,DarkBlader-G,,,00569e42-4f32-46a9-ae0b-0af73fd8d8dd.json,BLACK | GREY,,,,,8,,,ATX Full Tower,USB 3.2 Gen 1 Type-A,,,,,,,,,True,4,4,,,,380,,,DarkBlader-G,,,,,Tempered Glass,ATX | Micro ATX | Mini-ITX,,,,
00584ec5-7163-4d77-ab95-75e0efcd4650,"HYTE Y40 ATX Mid Tower Red / Black with Tempered Glass Side Panel and USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",HYTE,Y40,Black Cherry,,00584ec5-7163-4d77-ab95-75e0efcd4650.json,RED | BLACK,472 x 240 x 439,472,240,439,6,,,ATX Mid Tower,USB 3.2 Gen 2 Type-C                                                    USB 3.2 Gen 1 Type-A,1x USB 3.2 Gen 2 Type-C    | 2x USB 3.2 Gen 1 Type A,B0BQPWJZDK,6530419,CS-HYTE-Y40-BR,32379,https://hyte.com/store/y40/cs-hyte-y40-br,N82E16811737006,2040954072,True,2,1,,183,,422,2026-01-08T13:07:01.482Z,,CS-HYTE-Y40-BR,,,True,4,Tempered Glass,ATX | Micro ATX | Mini-ITX,,,49.73,19
006b9bba-a671-4baf-b5b2-61077a7788eb,"Fractal Design Define R4 ATX Mid Tower Black / Gray with Acrylic Side Panel and USB 3.2 Gen 1 Type-A, USB 2.0 Type-A",Fractal Design,Define,,,006b9bba-a671-4baf-b5b2-61077a7788eb.json,BLACK | GREY,522 x 231 x 464,,,,7,,,ATX Mid Tower,USB 3.2 Gen 1 Type-A                                                    USB 2.0 Type-A,,,,,,,,,True,2,8,,,,430,,,FD-CA-DEF-R4-TI-W,,,,,Acrylic,ATX | Micro ATX | Mini-ITX,,,55.95,
006f965a-1eaf-42ff-a595-85c9e7fda484,Antec AX67 ARGB ATX Mid Tower Tempered Glass,Antec,AX67,,,006f965a-1eaf-42ff-a595-85c9e7fda484.json,,405 x 200 x 449,,,,7,,,ATX Mid Tower,USB 3.2 Gen 1 Type-A                                                    USB 2.0 Type-A,,,,,,,,,True,2,2,,,,345,,,AX67 ARGB | 0-761345-10207-0,,,,,Tempered Glass,ATX | Micro ATX | Mini-ITX,,,36.369,
0071938b-9e4d-48fc-934b-e5d17caab4b1,"Chieftec Chieftronic M2 MicroATX Mid Tower Tempered Glass Side Panel, Front USB 3.2 Gen 1 Type-A & USB 2.0 Type-A",Chieftec,Chieftronic,,,0071938b-9e4d-48fc-934b-e5d17caab4b1.json,,398 x 273 x 345,,,,4,,,Micro ATX Mid Tower,USB 3.2 Gen 1 Type-A                                                    USB 2.0 Type-A,,,,,,,,,True,2,2,,,,340,,,GM-02B-OP,,,,,Tempered Glass,Micro ATX | Mini-ITX,,,37.486,
