gpu_id,case_id,gpu_memory,gpu_memory_type,gpu_tdp,gpu_length,gpu_slot_width,case_gpu_clearance,case_form_factor,length_difference,gpu_case_length_ok,label
48395ef4-2465-46c6-a1b5-fd1522370031,8520dfe1-6dcf-4978-92c3-f4f82ab2539b,8.0,GDDR6,115.0,221.4,2.0,295.0,ATX Mid Tower,73.6,1,1
c146b1ae-581a-4143-9fff-69bfa85d2afa,2c95ab1c-f9b6-4c8a-b4dc-66c6f67888a2,16.0,GDDR7,360.0,304.0,2.5,295.0,Mini ITX Tower,-9.0,0,0
b17d82b3-4947-462c-8071-81f5d5c30c91,aa1295ed-a3c2-41c4-9bfc-f84a97c4b797,8.0,GDDR6,115.0,247.0,2.0,430.0,ATX Full Tower,183.0,1,1
eb364e54-9701-4d1c-ae0a-de134f7bae18,506a8bad-c50b-407d-abba-e11c58c20490,,DDR3,27.0,177.0,1.0,326.0,Mini ITX Tower,149.0,1,1
1d98afc3-0383-4516-9215-559c2639624f,96450b44-0e9f-4e0a-8e89-0f126ae94c28,16.0,GDDR7,300.0,342.0,3.5,341.0,ATX Mid Tower,-1.0,0,0
e9355b1c-80c3-4e6b-830e-5a54db7d6484,da301ed3-6e92-4960-b808-24c89d746b29,11.0,GDDR6,250.0,327.0,3.0,320.0,Mini ITX Tower,-7.0,0,0
dacac852-df75-4faa-bd89-f768cb264fd2,dc6d08d8-2940-4388-ac2e-4f96fe5ca51c,8.0,GDDR6,160.0,277.0,3.0,195.0,Mini ITX Tower,-82.0,0,0
a90c6b63-9420-4a96-938a-5f734acf3557,5f096187-3f4b-4df5-ae93-6a9b23c6dd0a,4.0,GDDR5,165.0,267.0,2.0,260.0,Micro ATX Mini Tower,-7.0,0,0
0d1e0d7d-9aea-448d-8705-4f493a44192b,506a8bad-c50b-407d-abba-e11c58c20490,12.0,GDDR6,220.0,301.0,2.0,326.0,Mini ITX Tower,25.0,1,1
1cf050a0-9f31-40ce-a46d-fd5a72641ac4,1a9976a1-8188-421a-8d86-601eaef6455b,8.0,GDDR5X,270.0,325.0,3.0,320.0,Micro ATX Mid Tower,-5.0,0,0
e0fdca02-ee89-4ec9-9791-431cfa262918,e8f06329-aea7-440e-83c7-175481799457,16.0,GDDR6,263.0,322.0,3.0,195.0,Micro ATX Mini Tower,-127.0,0,0
d865eafe-c6cd-474f-be3e-e6b9d9dcbf65,958a7741-ba82-4264-93da-e33cec9200a3,6.0,GDDR5,120.0,298.0,2.0,290.0,ATX Mid Tower,-8.0,0,0
6c9f1588-ddd4-4471-89ed-e2856cdb053d,b93c3321-c12b-480f-bbfd-5944e2490f07,8.0,GDDR7,145.0,164.5,2.0,400.0,ATX Mid Tower,235.5,1,1
b74f1039-9955-4f11-93ec-2de512dda32c,c29f56ca-8f57-4719-b91b-56db6c4c47c1,8.0,GDDR6X,310.0,356.0,3.0,325.0,Mini ITX Tower,-31.0,0,0
