motherboard_id,case_id,motherboard_form_factor,case_supported_motherboards,motherboard_ram_type,motherboard_memory_slots,case_form_factor,form_factor_match,label
6872aa7b-6c1f-41e1-a357-8f7d24ee55e0,e066a53a-37b3-4698-8fde-0cabd36bac76,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
6e523ad0-6a27-4bb1-aad2-ccb43b15a70a,5e9d7628-daa1-4f64-9117-d427648960d2,ATX,Micro ATX | Mini-ITX,DDR4,8,Micro ATX Mid Tower,0,0
c24acb1b-43a3-457e-b1c3-13424a0ff3e8,43d2848d-d1e8-4168-b696-7a26d33af73e,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,1,1
f1bf7fa2-ef00-4d6b-a693-3bbbb1dec726,5645442d-d846-4863-8701-934e4ce18e5c,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
cfd3722b-bdb3-4af8-94c0-424f52f678b4,f5436849-b15e-4d1e-b019-0ae4f65e99cb,EATX,ATX | Micro ATX | Mini-ITX,DDR4,8,ATX Mid Tower,0,0
9caeeabc-3751-4e6c-b75a-723e94e1170e,94314149-3b0d-4698-9921-88345309c722,ATX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,1,1
1c8e37e6-6ffd-4121-ab71-beee90448d8b,e94d2f4e-65b2-4d43-ba94-1b273de6face,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
06e9d6ed-b409-48dc-a5fe-28e5e3c5a89d,90a81aa0-703b-4230-a389-04e664720e36,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
839bb41a-b642-442e-abf9-d9a00eb9f7ec,7e748555-7746-407d-ad79-dc169f8b067f,Micro ATX,Micro ATX | Mini-ITX,DDR5,2,Micro ATX Mid Tower,1,1
7089e39a-a667-47cc-9999-81afe167ae2c,75301f4f-6b01-4f9f-8018-4362379ecbd1,HPTX,Mini-ITX,DDR3,12,Mini ITX Tower,0,0
998bb0c9-fb4c-4b15-831c-65409518f6f4,231ca7b0-e45e-47d9-a726-a7a8cdb466df,Micro ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mid Tower,1,1
733afb75-f773-479c-bb7d-154419496642,d44f378d-0ad8-421e-a139-e143b2566b0b,ATX,Micro ATX | Mini-ITX,DDR3,4,Micro ATX Mid Tower,0,0
06bbfc75-3290-4090-af94-a13c9d1feede,56fbeb3b-830c-480b-891a-f7b3b11e2bb7,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
198e62d6-cbe2-4897-9a44-23e9c8b882e8,a36839c5-28a4-43e0-9172-8980f7794252,Micro ATX,ATX | Micro ATX | Mini-ITX | EATX,DDR4,2,ATX Full Tower,1,1
5ce42d1a-e842-4962-bd79-cfc801f22e22,86483e48-d980-4a5d-a6f1-9439c7cd53e1,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
1f2ddf9f-28d9-4ae8-9734-36c80f3eae47,dcdbb902-61e3-4068-8a14-6a26a0b033eb,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,1,1
ed1dd5eb-f7dc-43d0-9dea-2b33e0675707,d2a99c08-11e0-4cb8-afbf-49955f090824,ATX,Mini-ITX,DDR5,4,Mini ITX Tower,0,0
f24caa89-27bd-4797-899c-2bb76b608971,4ba30b3e-81d6-4a41-8dd0-a6230441df88,Micro ATX,Mini-ITX,DDR5,4,Mini ITX Tower,0,0
2b7340ad-5e40-4693-a394-3e7d665ec5a3,e60e38eb-711c-4e44-adb1-4ba3a7f9155c,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
b5b3c714-5c77-40c4-9119-30210a9a5436,37b8be60-c7b5-4024-a16f-7568a548355f,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mid Tower,0,0
13a58bb5-47d2-4715-8245-f0ff60e7eee9,26423f0f-5bd6-4475-8e2f-40f334904dde,Micro ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,1,1
