storage_id,motherboard_id,storage_type,storage_capacity,storage_form_factor,storage_interface,storage_nvme,motherboard_m2_slots,motherboard_pcie_slots,motherboard_pcie_x16_slots,motherboard_pcie_x8_slots,motherboard_pcie_x4_slots,motherboard_pcie_x1_slots,motherboard_pcie_gen3_slots,motherboard_pcie_gen4_slots,motherboard_pcie_gen5_slots,motherboard_pcie_max_gen,motherboard_form_factor,motherboard_ram_type,storage_m2_slot_ok,label
e5c3bb0c-5ff8-4f31-96e9-0200a6575549,b84db965-6b59-4b7d-8759-405039565ff7,SSD,500.0,m.2-2280,m.2 pcie 3.0 x4,true,1,3,3,0,0,0,0,3,0,4.0,ATX,DDR4,1,1
62558c95-afbb-4fc0-9970-00932cb4bcc3,2276c522-58b8-4cbf-8472-94b537d7ec3c,SSD,2000.0,m.2-2280,m.2 pcie 5.0 x4,true,,6,3,0,0,3,0,6,0,4.0,ATX,DDR3,0,0
31e3800a-d3e6-4db1-9630-bbe4fa65a428,198e62d6-cbe2-4897-9a44-23e9c8b882e8,SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,1,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR4,1,1
0c8b8995-cbae-4229-b356-14ec3776a1c2,8dbf1c1b-62a2-43a4-a09f-9149327545f6,SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,1,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR4,1,1
2119f620-54df-47b0-af97-be370d1953f3,dede0059-c2c4-4202-bc2f-2c13df6de16b,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,1,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR4,1,1
c4a1981a-1c19-4e1a-86dc-a3cee149c3d4,f313718b-7217-4080-8eeb-a3ab78d7a284,SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,1,5,2,0,0,3,0,5,0,4.0,ATX,DDR4,1,1
bc207a33-37e2-4bd6-89d3-5ed627020aac,aa9e3f63-273c-461c-a17d-a8e73837494a,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,1,3,2,0,0,1,0,3,0,4.0,Micro ATX,DDR4,1,1
e3ff6f7d-3791-4472-8480-5f125c649c2b,21540e17-419a-4a0a-8894-becad246d630,SSD,4000.0,m.2-2280,m.2 pcie 4.0 x4,true,,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR4,0,0
88fc3ba6-b622-44f2-b330-63c01b2dde43,00f162eb-ffff-40d2-a14c-687278e64da1,SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,,0,0,0,0,0,0,0,0,0,Thin Mini-ITX,DDR3,0,0
4e677404-88ee-483d-a603-6701773ca9fd,987b8b10-32a8-4f41-a931-4beb6c944cbf,SSD,1000.0,m.2-2280,m.2 pcie 5.0 x4,true,,0,0,0,0,0,0,0,0,0,Micro ATX,DDR4,0,0
