cooler_id,case_id,cooler_height,case_cooler_clearance,cooler_fan_size,cooler_fan_quantity,radiator_size,case_form_factor,height_difference,cooler_case_height_ok,label
8c943421-5b73-40dc-af29-91bfcb7f6db3,128d7707-d917-4a75-834d-6ff43730551f,162.0,65.0,,,,Mini ITX Tower,-97.0,0,0
d540fca2-b18f-4970-9613-52bb7d797e3a,8408651e-0e29-4d34-a1f9-4f091c659b96,66.0,185.0,,,360.0,Micro ATX Desktop,119.0,1,1
6caeb833-915b-44f1-b533-8c5f62d59fb0,a4be73eb-e073-4197-a572-0cf14c4914b8,166.0,165.0,,,,Micro ATX Mini Tower,-1.0,0,0
c5a725b0-081b-403c-b494-19d65afc0b04,1e617b6d-b23d-44dc-80b5-a04bbfb1c616,67.0,185.0,,,,ATX Mid Tower,118.0,1,1
7e900389-4cb3-4703-acbc-abfaf7b19c78,6ec84206-2456-402d-998a-c0cfef7dbf84,153.0,160.0,,,,Micro ATX Mini Tower,7.0,1,1
14a8400f-6e11-4ec2-99e6-e93828e67937,220e6430-b81d-44ef-a838-36334295c5a8,157.0,114.0,120.0,2,,Mini ITX Tower,-43.0,0,0
bdaac34d-ebf3-44fd-8fec-e51b0fa4715a,9469ee8d-121b-4dd9-87ba-40858b67f5cd,69.0,165.0,,,,ATX Mid Tower,96.0,1,1
7953eb8f-608b-4f77-98f2-79563cecb58e,336024ff-6df8-4710-bd5f-b3c8ef276dd4,157.0,67.0,120.0,2,,Mini ITX Tower,-90.0,0,0
3b9ebe78-b340-4e96-9050-aaeb8ebcbfe4,8d9b32c3-3d21-46c0-ab11-5df862b07866,116.0,57.0,120.0,3,360.0,Micro ATX Desktop,-59.0,0,0
088d5525-230a-4b78-aa1f-a1d9c241443c,c162a19a-f9f8-4726-8323-6e41c02221a6,161.0,159.0,,,,Micro ATX Mini Tower,-2.0,0,0
14280076-f948-4451-ac78-b691fa302e3f,fefa8b7d-3df8-4da0-97a8-73cbc62c6a34,60.0,181.0,,,360.0,ATX Mid Tower,121.0,1,1
247d65ad-655c-4a4c-b7f0-94e91389eec7,56fbeb3b-830c-480b-891a-f7b3b11e2bb7,52.0,155.0,,,360.0,ATX Mid Tower,103.0,1,1
d3a4ea1a-1df8-47b6-9439-d5c3fbbf4951,9c2259e4-2162-48c6-ae4f-fe574ad520fb,158.0,151.0,,,,Micro ATX Mini Tower,-7.0,0,0
e934793c-8663-4d21-89f6-a424ba6fe049,0d6fa5aa-ca60-4a6f-88e3-6de83706751f,167.0,164.0,,,,Micro ATX Desktop,-3.0,0,0
ffba9d10-150f-4966-bc85-88172c92d927,617c2ac3-e5da-4792-ad18-079eab3bb599,158.0,157.0,,,,ATX Mid Tower,-1.0,0,0
401dec03-4f78-4019-84fa-80b60256cdba,a9797780-9efd-47db-b00c-20afce5fabcf,60.0,171.0,,,,ATX Mid Tower,111.0,1,1
80b24d96-9f11-4427-9e8e-2a3b4afe848d,bb32b5f1-8400-41fd-a526-008e0fdf5474,125.0,58.0,,,,HTPC,-67.0,0,0
f2823311-89df-457d-9fba-4203d79111b1,952d5c6a-d65b-4e26-9df5-f95ef09f1916,156.0,58.0,,,,HTPC,-98.0,0,0
f7f98146-0888-494b-ab72-1aa239f1686e,b1b5c124-1763-460d-b6af-9529cfda75fb,154.0,148.0,,,,ATX Mid Tower,-6.0,0,0
874a10c6-eb43-4fca-a92c-456a95229c3d,1302d6b5-e06e-4bca-9c40-ccb40499c19d,67.0,163.0,,,360.0,ATX Mid Tower,96.0,1,1
7b72dbbc-3044-4e7d-86a2-e95adf32c83a,c3135ae8-dd9c-4d9e-b7f9-7c2bd2b8f431,155.0,160.0,120.0,,,ATX Mid Tower,5.0,1,1
e0d2b8a5-09c9-4a16-a88e-a9f2ac500684,eeaac00c-faaf-44a1-b77b-0e564fa03c2d,160.0,70.0,,,,HTPC,-90.0,0,0
3fe29c45-2276-45eb-9728-8e43caa3caef,6bfeafe1-4e42-44cd-9be3-1f65a2b59a7d,90.0,61.0,,,360.0,Mini ITX Tower,-29.0,0,0
6fdd0718-93d4-4d3e-8272-5eda7e56fe7d,6232b1cf-b150-44f2-a5cf-f8611f30d4a4,167.0,156.0,,,,ATX Mid Tower,-11.0,0,0
3dc93f2f-5528-4f84-92b8-f9719b5eb7ee,30051463-6003-4981-aa95-eaf4cf936058,158.0,154.0,,,,Micro ATX Mid Tower,-4.0,0,0
235b8c73-df93-48a3-b6a1-d07c22ab39b9,a7c2b952-c637-48cf-93e4-32b42e4a4ef2,150.0,190.0,,,,ATX Full Tower,40.0,1,1
2a2ab4ad-c841-411c-8260-5b3bf9da584c,a9a7af26-c01f-4e07-b4d1-fcb6ce43c01d,155.0,160.0,,,,EATX Mid Tower,5.0,1,1
70b6d756-4411-41ad-86a1-1f1e124c8a90,99105841-725d-400a-84cc-3d00a42e9286,397.0,175.0,120.0,3,360.0,ATX Mid Tower,-222.0,0,0
faa4bedc-a053-474c-9840-c7011670dc10,dcb8af27-0343-4ac4-ae04-fd0ab8af8e4e,159.0,140.0,120.0,,,Mini ITX Tower,-19.0,0,0
7728ee09-0193-4a4a-8e84-5b78252cfb29,dcb8af27-0343-4ac4-ae04-fd0ab8af8e4e,159.0,140.0,,,,Mini ITX Tower,-19.0,0,0
9e50c9bc-5b5f-4252-9089-133bd28bffcc,b129b1ee-5136-46e6-a132-d292b283e54e,164.0,155.0,,,,ATX Mid Tower,-9.0,0,0
9b4973aa-8146-44a8-85d1-6e7165ca508f,79f10ddb-49c4-495f-957a-926350d72ae4,136.0,90.0,,,,Micro ATX Desktop,-46.0,0,0
be7eb4c3-e695-4d10-bf02-072128ba8d93,11ec6b37-24c2-4e1f-821f-bdfe476ebcd3,154.0,150.0,,,,Micro ATX Mini Tower,-4.0,0,0
260dab09-d6a4-4a83-a8b4-b4152322f7dc,ff5dad4d-d3f6-4bb8-bdcd-fa2438ae277c,166.0,88.2,,,,ATX Mid Tower,-77.8,0,0
dc9d3dc3-6227-44c7-9635-05b8bc1ea463,67f2d029-a7b1-4f33-a690-9e22b93ebc26,160.0,57.0,,,,Mini ITX Tower,-103.0,0,0
e62d7c0e-7e87-45a5-895e-578c0a869d37,4150389d-91c5-487d-907e-4bac34cb20a6,53.0,178.0,120.0,2,240.0,ATX Mid Tower,125.0,1,1
20bc0a05-730a-45db-8998-f38410547b86,e519477a-b9ff-42f0-833a-21db0890e33a,86.0,170.0,,,,ATX Mid Tower,84.0,1,1
f679a311-219c-49bc-9ac8-dc911478a811,3baa62b5-ed88-46c1-a2a0-742bc62886c0,63.0,163.0,,,,ATX Mid Tower,100.0,1,1
5cf5a646-65e8-4158-ac72-2cbd56aed5ab,a847665f-da50-437b-a9ef-e89ada1bc75b,154.0,140.0,,,,Mini ITX Tower,-14.0,0,0
f93c2548-a999-45e0-94b1-e568bcc23b7b,79af8cb0-7253-4b9f-af23-cd7b4f73f8c6,160.0,159.0,,,,ATX Mid Tower,-1.0,0,0
a659937b-2e8f-4208-b7b0-36f4bd98aae3,6af07af8-5490-4f7f-9ec8-4278b63d4bd7,170.0,200.0,,,,ATX Full Tower,30.0,1,1
4c0648ed-e114-424b-86d1-135a6a1cf0a0,76adb21c-b7e7-4572-8709-aba47d58d2b4,63.0,173.0,,,,ATX Mid Tower,110.0,1,1
d58ecfbe-6b76-4a2a-96b7-7f7a0c52b134,b6d2df2f-37cc-4aff-9b6e-645f305087a2,136.0,70.0,,,,HTPC,-66.0,0,0
1892eb07-b509-42c8-b192-92854986b316,15052a79-5209-4827-86e3-4a7027f23303,160.0,185.0,,,,ATX Mid Tower,25.0,1,1
cbb2f11a-77db-4acc-8e8d-9fc4320475bb,6ee74e8f-a61d-43c2-ba63-42672dbbf95e,155.0,85.0,,,,Mini ITX Tower,-70.0,0,0
70b6d756-4411-41ad-86a1-1f1e124c8a90,cf44a6d4-d603-42de-b3ed-3952cf4edb74,397.0,176.0,120.0,3,360.0,ATX Mid Tower,-221.0,0,0
12c6f6f5-e5d3-4f4e-a7ce-eab32ea3afda,c5579c11-eb0a-4f1a-850e-a2524ee05191,153.0,172.0,,,,Mini ITX Tower,19.0,1,1
e87f52f0-25f9-4026-bef8-00a2293dc30c,1463fe1e-a672-4465-9dad-9a954f05c57c,60.0,158.0,,,,ATX Full Tower,98.0,1,1
a51b8d6e-e3af-4a2d-9b4c-45acbfe1bcd9,257e1889-5f28-4bdc-9829-60856785a701,75.0,154.0,120.0,3,360.0,Micro ATX Mid Tower,79.0,1,1
aca8b2a6-e63c-4035-9b60-921203f71dc6,bb32b5f1-8400-41fd-a526-008e0fdf5474,155.0,58.0,,,,HTPC,-97.0,0,0
2fb6caf5-4060-48a2-869d-49e68b9f4e9e,b232b003-0e7a-4804-b8b1-b2448f99a6c2,160.0,61.0,,,,Mini ITX Tower,-99.0,0,0
0f209c92-bf00-4a8d-a345-2c76731aea28,c4a9c058-3ab0-4f0a-879d-48b6e2a04db2,158.0,155.0,,,,ATX Mid Tower,-3.0,0,0
27e18966-68d7-4ce0-9960-f6e8bec1c766,c3135ae8-dd9c-4d9e-b7f9-7c2bd2b8f431,50.0,160.0,,,360.0,ATX Mid Tower,110.0,1,1
c4f5569e-17e8-46ea-8a8d-f0c158c966a9,f9c06a28-5c60-4e48-9f41-912bb87a353b,160.0,70.0,,,,Mini ITX Tower,-90.0,0,0
564dde68-f3a5-4cb7-b4b7-b20d2db54b3e,1b41bef4-43ad-4085-b517-915cc1e6d8a6,140.0,180.0,,,,ATX Mid Tower,40.0,1,1
8c943421-5b73-40dc-af29-91bfcb7f6db3,644c88d4-4f3e-4eb2-af1c-d6aa7a016878,162.0,75.0,,,,Micro ATX Mini Tower,-87.0,0,0
