motherboard_id,case_id,motherboard_form_factor,case_supported_motherboards,motherboard_ram_type,motherboard_memory_slots,case_form_factor,form_factor_match,label
3443f755-0359-41ae-91f7-b8b0bd7e3abf,78a62d19-ecbf-4106-8e43-21b7221f6c3b,ATX,ATX | Micro ATX | Mini-ITX,DDR4,8,ATX Mid Tower,1,1
9dfeec26-2859-49ab-93bb-db7c92c26e98,98af71e8-584a-4e54-ad96-ea69191b23f0,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
f33df830-a8fa-4499-9eb0-10b1780854f7,aa21eb4c-eaa8-4527-8aad-10fce7aec53f,ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mini Tower,0,0
4705a24a-6072-4a04-af22-4f505aa47e44,601fc3a6-d8dd-4061-8f92-663abd6ba854,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Full Tower,1,1
e7de4693-004d-4589-a2b7-ccbc285d4905,7c821d43-bea5-4bbe-8f10-22c4b4916c60,Mini ITX,Micro ATX | Mini-ITX,DDR3,2,Micro ATX Mini Tower,0,0
05ab0e02-062c-44f7-a636-828af44f4644,8e1d0b12-e825-4750-b44a-107af5c68d86,Mini ITX,ATX | Micro ATX | Mini-ITX | EATX,DDR4,2,ATX Mid Tower,0,0
e362d641-0dc7-438f-91ad-682f8b1de03e,f2a27923-591d-4638-a5fb-6b07ae766bd5,ATX,ATX | Micro ATX | Mini-ITX | EATX,DDR5,4,ATX Full Tower,1,1
971b777e-52d2-4d07-93f2-c43683caf7ce,9f6b6299-1c39-4cb0-b4be-53843da7232e,Micro ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mini Tower,1,1
838e2321-0080-4909-92a1-08118eb942b2,4b6fec1e-c192-4588-8b57-fdd118a8a33d,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
5840cd61-ccb6-4680-b10d-c83b071e0af2,fb166b70-105e-42f7-84ed-42cc9e4561af,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
504be958-819d-44d9-bfe2-226242b15f97,dcb7fa83-963a-441d-ba54-812976a95477,ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,1,1
df60f6c5-c4a8-4681-a42b-6b4995cbc9be,2fdafb20-cc9e-4796-a43b-f323d081cd6a,ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mid Tower,0,0
234a3d21-ae50-4b9f-83cf-02d576b01a87,ecbd2d85-c520-4e68-b6be-36b8cb2ad9da,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
7046457a-950e-4804-8968-6032a1111c21,10705da9-b010-4bd5-8af8-9eaadb7020da,SSI CEB,Mini-ITX,DDR4,8,Mini ITX Tower,0,0
8e495d36-f68e-4676-84e0-a24ed7fdb6b9,244b60fe-a74b-4bf2-a5e6-213833878e18,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
47738b94-4ed4-4844-8836-db4e4e7b3c65,bd15234e-a2cf-4155-900d-5a217b0bb26c,EATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,0,0
16cdfc3b-0a58-4c0e-8264-b4225eee4a67,f06e6f0b-19bd-40dd-aac0-9f1195c24053,ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mid Tower,0,0
19d84efa-ff94-47c5-91d3-d7b4816f6ef0,5852698f-51a8-4d6c-8ccb-cb031be92923,EATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,0,0
2ea2db39-ea61-4e89-898f-2cc6d5d4b791,ceae6112-887a-428b-a7f4-043c0aeb3531,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
53b2330a-bf69-4ce9-8d3b-aabcfd07218c,9fb7cb59-7545-47d0-8b23-b2ec03135b2e,Micro ATX,Micro ATX | Mini-ITX,DDR5,2,Micro ATX Mini Tower,1,1
f8bf3911-b17e-456d-991a-752540354be9,ffcf2afe-6ccd-41b4-b9ef-9fdf95599033,Micro ATX,Mini-ITX,DDR5,2,Mini ITX Tower,0,0
b86c2480-a516-433f-8807-54af85a336cb,7790e670-a778-4f9e-bd12-adeeb022da56,Mini ITX,Micro ATX | Mini-ITX,DDR4,2,Micro ATX Mini Tower,0,0
c3111659-9164-427f-8056-47748e9fd2e8,f231c0c3-ef90-45b3-ac6a-a76bba32c6bb,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,0,0
6cba961d-6724-401a-82aa-d8346156048a,3374224e-1baf-45ca-817e-ba06b9a949e4,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,2,ATX Mid Tower,1,1
2f5ba818-7963-4ad5-b8c0-cbca046a679e,2caec404-0d93-4bf0-8e97-6e5c06b077d4,Mini ITX,Mini-ITX,DDR5,2,Mini ITX Tower,0,0
4ffe3401-7c3f-4517-a43e-f92f87232b75,0f668033-ed75-4a9e-90c3-d00a97561ce9,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
ba51896f-88a3-4fcd-b61e-89d7e4340615,952d5c6a-d65b-4e26-9df5-f95ef09f1916,Micro ATX,Mini-ITX,DDR3,4,HTPC,0,0
60f831a4-c497-48f4-a934-a277b2fce6ff,088d7b0e-bd60-4191-b5a4-4796a52b7b5a,ATX,Micro ATX | Mini-ITX,DDR4,8,Micro ATX Mini Tower,0,0
c2675f28-d0e6-4e7a-b80d-93d2fcbb7baa,4f16647f-3adc-42ab-9ca0-d54f22e2074a,ATX,ATX | Mini-ITX | Micro ATX | EATX,DDR4,4,ATX Full Tower,1,1
69c4ba08-b1a1-4a77-9ea1-afe203c5fdbf,5adf261f-9b4e-4c49-abe3-6836c1c785ba,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,1,1
1a2236a4-508d-43cb-a19b-015339816362,561bd21e-15d6-42e9-8c8b-2e19aff6bcf9,ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mini Tower,0,0
