psu_id,case_id,psu_wattage,psu_form_factor,psu_length,psu_efficiency,case_supported_psu,case_psu_clearance,psu_form_factor_match,psu_length_ok,label
539c7a2b-2cfe-42fb-b7ed-6db97473a1ba,03ba5c32-d37c-424d-a122-10a66cec4179,1000.0,ATX,200.0,80+,SFX | SFX-L,,0,-1,0
f56af7ca-a0c5-4aa7-beec-7259dd4240cd,f2886d2d-b629-4f1f-b14e-19698f75a95b,1000.0,ATX,180.0,80+ GOLD,ATX,,1,-1,1
9cf32713-c466-43d1-8c61-23705d3328a2,51b2027c-caff-483f-9398-25f2b30cd0d9,1200.0,ATX,200.0,80+ SILVER,SFX | SFX-L,,0,-1,0
2281bca6-6440-4c15-9989-6b094ef4633b,9b794a26-bde0-476e-81fe-ca80cae11738,600.0,ATX,140.0,80+,ATX,223.0,1,1,1
d07daad5-3f4a-47eb-828c-e15207f76028,9b794a26-bde0-476e-81fe-ca80cae11738,850.0,ATX,150.0,80+ GOLD,ATX,223.0,1,1,1
178ce920-bbfe-49a5-a9db-715a9bc167ad,3ccdeed3-a4d9-4141-babe-b715614472bf,550.0,ATX,163.0,80+ BRONZE,ATX,182.0,1,1,1
285380aa-598c-4692-a675-42a9d7028376,71d9e671-5494-4ede-b0e0-5625804f70a0,1200.0,ATX,180.0,80+ TITANIUM,ATX,150.0,1,0,0
f76d6529-f322-4a36-95dd-2c7368e9bd9c,ec96cfae-5081-4cdf-a0ec-48731e0fefa8,800.0,ATX,160.0,80+,ATX,220.0,1,1,1
402a934c-7af2-4318-95b7-0317cfc1007c,0caedd51-ca9c-43a7-8f1c-d79ace9df282,750.0,ATX,160.0,80+ GOLD,ATX,,1,-1,1
019089c6-2f87-4965-a4a1-b77d27f1a045,13890e42-7d80-43db-9ef8-4b65b9c13276,700.0,ATX,180.0,,ATX,160.0,1,0,0
9fc02cfb-872a-458d-8b1a-7897690934e6,75b8fa59-986c-4cbc-9dcc-c6574428233c,850.0,SFX,100.0,80+ GOLD,ATX,220.0,0,1,0
b65b76ce-0d26-45ce-b23f-080e08c8239a,03ba5c32-d37c-424d-a122-10a66cec4179,450.0,ATX,140.0,80+ BRONZE,SFX | SFX-L,,0,-1,0
18c0a991-5514-4a6f-921c-f588bb347171,e9d87f70-80d3-45d7-8253-351b6a240277,450.0,ATX,140.0,80+ BRONZE,ATX,220.0,1,1,1
c6d70583-f8c0-4dfa-99b0-524ffdb016e2,7a2d74b0-4454-4e38-a7cc-5a0c5414eda2,300.0,TFX,175.0,80+ GOLD,ATX,220.0,0,1,0
1a451328-6aa4-4f78-93ee-f2eac9dec97a,bd22ec2e-6668-41e1-85c6-1305c6c7100a,1000.0,ATX,180.0,80+ GOLD,ATX,160.0,1,0,0
c0b6e4cb-3574-4e81-9ff5-e5ca36838303,517f12f3-4679-4d13-8832-0fcd2c2a40ea,700.0,ATX,140.0,80+,ATX,,1,-1,1
90973b59-d4a4-4729-b160-4e7a7628a6f3,20cf5e59-e8e0-4997-b8f0-274871866f28,400.0,ATX,140.0,80+,ATX,,1,-1,1
03142960-b3a4-49fc-9346-d6bc0bbdf3f9,faf380e2-a1ce-4442-ad9e-161f70c64d35,450.0,ATX,140.0,,ATX,180.0,1,1,1
ef6a7a8a-5e9c-4bbd-86c4-63ac8428f43a,567bd931-f8c0-4420-befe-c6d26862d612,850.0,ATX,140.0,80+ GOLD,ATX,,1,-1,1
8441f48a-b10b-4627-ad3e-26ac8be74c52,838ed15d-e916-411a-9831-ea850f700556,1200.0,ATX,200.0,80+ SILVER,ATX,,1,-1,1
fce3a852-dc91-4bdb-add5-dd516ce5a93c,ae63e487-6bfe-43ca-b79d-6cd6a3cb1707,730.0,ATX,140.0,80+ BRONZE,ATX,200.0,1,1,1
4d8c243a-0b21-49ed-912f-4ce7812b3c69,08f83f40-7f0f-4c64-a208-c7f516f1efcf,500.0,ATX,150.0,80+ GOLD,ATX,210.0,1,1,1
e759a883-2399-438d-a884-c7cf59c71f22,71d9e671-5494-4ede-b0e0-5625804f70a0,950.0,ATX,175.0,,ATX,150.0,1,0,0
3efcca16-9f79-4a85-a44e-a910968863c8,f6687540-ccc4-46cf-bc9e-1b02abf9a3c1,750.0,SFX,100.0,80+ PLATINUM,ATX,220.0,0,1,0
50f2b040-2f4c-426b-b198-d407429b83f1,f9918e12-bbd5-4d30-97c7-2a3275954714,500.0,ATX,190.0,80+ GOLD,ATX,180.0,1,0,0
40300961-b014-4895-b88a-54513343e8e7,51b2027c-caff-483f-9398-25f2b30cd0d9,1000.0,ATX,180.0,80+ GOLD,SFX | SFX-L,,0,-1,0
664405c2-d0c1-4258-8add-fc519184bd21,b262881a-8595-43df-a786-337394aed5e3,1200.0,ATX,160.0,80+ PLATINUM,ATX,,1,-1,1
9a9cd65a-47cc-46d7-9135-77ae2219a26f,fd263975-75c0-473d-964c-71b1df4ad722,650.0,ATX,150.0,80+ GOLD,ATX,180.0,1,1,1
4ccad2de-98fe-41fb-8692-6c93351d7af3,924ccee8-981d-4472-b71a-eb9744319c54,850.0,SFX,100.0,80+ PLATINUM,ATX,,0,-1,0
5884ea57-d930-420f-8d88-bc53c83c746a,11e609ff-a638-4e8b-856b-2eb116615667,650.0,ATX,160.0,80+ GOLD,SFX | SFX-L,,0,-1,0
ffc32008-8a84-4b76-9f75-6572f8686eb0,928046a4-02df-4779-a80d-4d5b24b1e77f,850.0,SFX,100.0,80+ GOLD,ATX,180.0,0,1,0
aa658d8a-3529-48f7-be83-ff86a5faea45,11e609ff-a638-4e8b-856b-2eb116615667,750.0,ATX,160.0,80+ GOLD,SFX | SFX-L,,0,-1,0
ef522460-d8da-416e-bd29-9a61105987d2,03ba5c32-d37c-424d-a122-10a66cec4179,750.0,ATX,150.0,80+ GOLD,SFX | SFX-L,,0,-1,0
2b0d9b0e-6ac0-4d7c-9e1e-bd8d5a674292,2786f0a9-0b2c-410a-84a4-446c68479872,300.0,TFX,175.0,,ATX,223.0,0,1,0
5c4551d2-0733-435b-b287-977f344f35e1,1bd48682-e6ca-41a0-b07d-4c785f380acb,450.0,SFX,100.0,80+ GOLD,ATX,220.0,0,1,0
cce94f62-4d45-4cfc-87c2-645eb132d4c3,3cf043a7-3fa1-41c9-a24c-0bbf3f4db1a7,1200.0,ATX,140.0,80+ GOLD,ATX,220.0,1,1,1
