ram_id,motherboard_id,ram_type,motherboard_ram_type,ram_speed,ram_capacity,ram_modules,ram_cas_latency,motherboard_memory_max,motherboard_memory_slots,ram_type_match,label
b0282cd5-46b6-4657-a5a7-1d2d840f6f06,bac46ee6-1218-4286-907c-9ffd89b35ed3,DDR4,DDR5,3600.0,32.0,2,18.0,256.0,4,0,0
d9f652cb-ccf2-4115-9786-373f5b09e666,83ef3a33-d940-4bee-9147-29a5ceab22bb,DDR5,DDR3,5600.0,32.0,2,46.0,128.0,8,0,0
50c7f7cd-4ea0-4eb7-844a-1983a6a559e2,6ff4db53-94d9-4453-b1e7-2b4640fe0d7c,DDR4,DDR4,3600.0,16.0,1,18.0,128.0,4,1,1
d23818bb-cc69-473e-aa2c-3d85f06700fb,2276c522-58b8-4cbf-8472-94b537d7ec3c,DDR4,DDR3,3200.0,16.0,2,16.0,32.0,4,0,0
2ce2eeae-81ff-490d-bf45-3363837fadef,5eceb83f-e9e5-4e43-af46-1d3ca9a82633,DDR5,DDR4,5600.0,32.0,1,36.0,128.0,4,0,0
b2e4a5be-779a-4c79-ba41-5c2d1b4afcfa,6a912c4f-e7ff-4fa8-9c57-cd4d587f276a,DDR5,DDR5,5200.0,32.0,2,36.0,192.0,4,1,1
a6d1e820-ce8b-4829-a966-e1455a5a7308,c299ec56-3802-4ec1-8d03-de0397bda6c2,DDR3,DDR3,2133.0,8.0,4,9.0,32.0,4,1,1
e757213d-4364-40f7-aa89-28e3402d1625,9e60f38d-54aa-443d-a2d0-ad39dda5e3ed,DDR4,DDR5,3200.0,16.0,2,16.0,192.0,4,0,0
484b8ddc-089f-4062-8edf-85447cbb3095,389e97db-009a-4798-97c7-cc89c5ae5952,DDR5,DDR4,5600.0,32.0,2,28.0,32.0,4,0,0
f82a191d-93ca-42e7-9c90-6ee97f18b446,58ee73c3-c5b7-4449-ba91-bb93645dd578,DDR5,DDR5,7000.0,32.0,2,36.0,256.0,4,1,1
7e9c0fe8-ed44-433e-8159-dfe38a8f0f19,b97a6fed-b5a9-422a-a47b-cde670dd0445,DDR5,DDR5,6400.0,24.0,1,32.0,128.0,2,1,1
aa602173-231f-4d47-b3d2-e165644be9b6,3b64dd48-2022-450c-ac7f-349b7ecc8e30,DDR4,DDR4,5333.0,16.0,2,22.0,128.0,4,1,1
6efa3bc0-3277-475b-ac18-0defda3f17ce,d3424d6b-f138-4e0f-90ab-9d2aa1a6ea0f,DDR4,DDR4,3200.0,8.0,1,22.0,32.0,2,1,1
3334ff7b-ac88-4505-9a4f-f66b6e605613,6a89da37-e92f-47b5-9578-50614458ef23,DDR5,DDR4,6400.0,32.0,2,32.0,128.0,4,0,0
b2113081-da9d-4504-822d-80e44791c48d,fe846b1a-11d1-4e7b-b189-fcdb21c04289,DDR5,DDR5,5600.0,32.0,2,40.0,256.0,4,1,1
c0e0d28c-11fb-4d7e-9368-b13a7f8bdfd0,9f34644b-9b5f-44e5-a070-94bf44172111,DDR4,DDR4,4600.0,32.0,2,20.0,128.0,4,1,1
2c83fa04-3844-49a1-8615-49f4b145916e,477466a4-588d-4a7c-a881-fe4d71b2e549,DDR5,DDR4,6400.0,128.0,2,42.0,32.0,2,0,0
27aa498c-72cf-4665-b0c9-487ddb184694,a6919550-b1b9-4c22-9042-43af7ae0abeb,DDR5,DDR5,5200.0,32.0,2,34.0,128.0,2,1,1
f6ce62bc-5da1-43c6-a9ad-44b1fa370742,815318b1-7897-4ba6-b312-44e7ef804ecd,DDR4,DDR4,4000.0,16.0,2,18.0,128.0,8,1,1
596c1286-81ca-42e8-8a00-072c142543ce,08c612bb-eed9-4bcf-b0d2-37755d96e398,DDR5,DDR5,6000.0,32.0,2,28.0,96.0,2,1,1
835c6860-e146-4c15-870c-7333571eccde,f5988515-190c-475a-91e0-6eba234f47e0,DDR5,DDR5,7600.0,32.0,2,36.0,96.0,2,1,1
08a64465-db81-48e6-85c6-014997efb242,7f7d46e4-0022-4cd2-8911-c81e9a2c4694,DDR5,DDR5,5200.0,8.0,1,40.0,128.0,2,1,1
ec759511-b63a-428f-bd90-bd2836458245,ab17fa00-6339-49ac-a1c2-b0cc1e6a4cf8,DDR5,DDR4,7200.0,32.0,2,34.0,128.0,4,0,0
6ea3118a-65e8-4d1b-8bc6-4b8c1a15040b,b757b1ee-94a1-4146-a7f2-1aeb667bd58e,DDR4,DDR4,4000.0,128.0,4,18.0,32.0,2,1,1
b24bd8ae-6922-4466-baf8-679e8d571033,92dc076c-56d1-4747-89e3-bd70f6e8c704,DDR5,DDR4,6000.0,32.0,2,26.0,32.0,2,0,0
55458edb-0351-4545-b6ab-059fadb8a06c,f9088025-7426-4374-8245-a859d307769c,DDR5,DDR5,6000.0,16.0,1,32.0,128.0,2,1,1
104ae4c7-7ada-4d1e-9451-5e93a63fe8cc,837a5946-806b-4cfc-818c-6a9af443f1f9,DDR5,DDR4,6000.0,64.0,4,36.0,64.0,4,0,0
76875995-b363-437f-b2c9-2c13b7f377a8,4619d366-ce7a-484e-ab34-c255851086f9,DDR5,DDR4,6000.0,16.0,1,38.0,32.0,2,0,0
6efa3bc0-3277-475b-ac18-0defda3f17ce,b9437b6c-1ef3-41ad-bff5-f14d3014ef82,DDR4,DDR3,3200.0,8.0,1,22.0,32.0,4,0,0
1240a840-1bb7-4c54-b9dc-c8b2c12bd90a,118d5634-c2c5-416a-99c8-1e21577ced0f,DDR4,DDR4,4000.0,16.0,2,18.0,64.0,4,1,1
98b4c6d3-6a24-48fa-9fc2-73b7c9f2ea9e,ccf06bf0-73dd-4e14-8703-8445c8a8de4e,DDR4,DDR4,3000.0,8.0,1,15.0,128.0,4,1,1
7e539aa7-d3ba-441b-9af0-7a5c836014e9,0314b6ff-5cd6-460d-b1ec-b9caa7225a07,DDR4,DDR4,3200.0,16.0,2,14.0,32.0,2,1,1
2757e928-d91c-4a13-8152-342504202959,00bdcf8a-bb2e-417c-8cbd-5945512b0a5f,DDR5,DDR4,5600.0,32.0,2,46.0,64.0,2,0,0
d1461428-6c41-4fa1-b513-ce945b5e3fd2,36ac4444-963f-473f-bfe7-4dff6e2a6b7a,DDR4,DDR4,2666.0,64.0,4,16.0,128.0,4,1,1
11a704d7-c1e4-4737-a5b1-57e23697ad3a,9099b81d-f502-4567-ab32-1c033c598194,DDR4,DDR5,2666.0,8.0,1,16.0,256.0,4,0,0
22f5a8a5-e941-411c-b5e9-34cec44d62fa,991ed0cc-1693-4f88-8421-7366dd76b846,DDR3,DDR4,1333.0,4.0,1,9.0,64.0,4,0,0
e6890c11-4bc6-468b-95d6-184a7e8fcbd3,28fded38-9f57-4b57-9e53-213d67a23e35,DDR4,DDR3,3000.0,32.0,2,15.0,64.0,4,0,0
35c1be01-46aa-42a2-816a-14c07b1a1000,2dbc4e14-67a1-4ce4-80c4-90a29cca18bf,DDR5,DDR5,6400.0,64.0,2,30.0,256.0,4,1,1
76d2fe34-27ab-4e14-a9b1-56d72d653bab,a1bb45eb-cbd1-4405-b723-0a6c178d1aee,DDR4,DDR4,3200.0,32.0,2,16.0,64.0,4,1,1
87b0be46-ab5c-413b-b656-10a74ea269a9,5cd1f8dc-b0e4-4f49-b97e-ff2d3a826957,DDR5,DDR5,6000.0,32.0,2,30.0,256.0,4,1,1
0fb18edc-5f51-4a7f-909d-20b5354bdd4e,6e523ad0-6a27-4bb1-aad2-ccb43b15a70a,DDR4,DDR4,3200.0,32.0,2,14.0,128.0,8,1,1
59fe747f-600a-4f5f-84d3-8e28c3ac225a,50837527-6166-4b24-9ee3-c1752f5cd2cb,DDR5,DDR4,6400.0,48.0,2,32.0,64.0,4,0,0
8100401b-23da-4b58-a429-38fa5bcb935b,d1e5061b-ddc4-4220-892e-2ca816aa063f,DDR4,DDR4,3600.0,16.0,1,18.0,64.0,2,1,1
cae52df3-b620-4ae6-9984-8255c20aac4e,bf3bd9e6-5e1b-464e-90c8-4116b80706b2,DDR4,DDR4,2400.0,8.0,2,15.0,64.0,4,1,1
8e709d14-0dc6-4488-b966-4f1690c9ba4b,8ff4cb96-9954-4b7a-a598-3e030d046884,DDR4,DDR3,3200.0,64.0,2,16.0,32.0,4,0,0
30172001-95c7-471d-b0f4-a9623b2d2205,459986a6-4c2b-4aec-bbbf-d604f8c470ea,DDR4,DDR5,2400.0,16.0,2,17.0,192.0,4,0,0
815f4b52-05b1-40cf-a8b3-266317805652,084979ad-639b-48a1-87a5-503f6f382fa7,DDR4,DDR2,2133.0,8.0,2,14.0,16.0,4,0,0
eadd90c9-437c-4409-9369-c82252668286,4bd30495-eb26-427f-9fce-423f94c2be97,DDR4,DDR4,2400.0,16.0,2,15.0,64.0,2,1,1
2291ed5a-3069-48c1-b2af-054bd769ec19,0392ce74-6c10-48dc-8fb2-5c8281819546,DDR4,DDR5,4000.0,64.0,4,18.0,256.0,4,0,0
b3a1b341-faec-4654-82eb-839657a3bac5,7a610909-c79d-4e93-a093-32ed6a29e89b,DDR4,DDR4,3000.0,32.0,2,16.0,128.0,4,1,1
1be3a21b-0021-4cc8-8c54-76d5d4db91a7,970f9af9-b036-4f58-aa5c-d06e96fe49b1,DDR5,DDR5,5200.0,32.0,2,38.0,256.0,4,1,1
fa79ad7b-fee4-4777-a511-b44317735166,f7da4719-45b5-4810-805d-9b5614e228b3,DDR5,DDR5,6400.0,32.0,2,32.0,192.0,4,1,1
ee85cdde-ddbf-4a57-a20f-31e5ca08952b,64eead26-c08f-4634-b615-58248ca340a7,DDR4,DDR4,3600.0,32.0,2,17.0,128.0,8,1,1
0d77c7cc-3b85-4212-bef1-99c025d49a03,a54971be-ad26-4ec9-9e2b-1dfeffd2b810,DDR4,DDR4,2400.0,16.0,2,16.0,128.0,4,1,1
632c3c6c-d0dd-4947-8034-e553af5429dc,2ec79c1e-7caa-4e9c-bc9d-ecf8efac64b5,DDR3,DDR4,1600.0,64.0,4,11.0,128.0,4,0,0
80d24cd5-befb-4ef1-8043-439b5ae2a797,b76bf1c6-7767-4526-99e1-73354af11fe5,DDR4,DDR4,3000.0,32.0,1,16.0,128.0,4,1,1
6884417a-2485-406f-bf14-1faa5a4a5ab6,5c8e99d1-9608-48fc-9f09-a2e006bea8d3,DDR5,DDR5,6000.0,64.0,2,32.0,256.0,4,1,1
a9dcda3a-4e41-4ee3-bd0a-89d5bcfa94e4,4c9a18a5-49c2-4744-a2ff-f08dcf6dec43,DDR4,DDR5,3600.0,32.0,2,17.0,256.0,4,0,0
82e6cfc5-04b8-4767-b85a-91921113f15d,af92f251-2ba7-40fb-b46f-9e83aef24246,DDR4,DDR4,2400.0,8.0,2,16.0,64.0,2,1,1
2e0557e8-c366-42c0-906f-8f80df480b64,42d9c678-6657-4938-a7ab-4ed03b341fb6,DDR5,DDR4,5600.0,32.0,2,36.0,128.0,4,0,0
1d5eba35-413b-4eee-92a3-904da3997ce2,0815c516-c919-48bd-9a09-858758a59e44,DDR4,DDR4,3200.0,32.0,2,16.0,128.0,8,1,1
0189f67f-5462-4b80-8886-4b9f6c5020a0,528f93d4-f250-44df-ae2a-b612c5b4ba0b,DDR5,DDR4,6400.0,128.0,4,32.0,128.0,4,0,0
ee85cdde-ddbf-4a57-a20f-31e5ca08952b,93e789e1-2916-454a-a65f-2bb13f18db2e,DDR4,DDR5,3600.0,32.0,2,17.0,256.0,4,0,0
4577b761-c12f-4372-9987-0622b876fc00,0893f070-131a-4682-ad73-82f907413497,DDR4,DDR4,2133.0,4.0,1,15.0,64.0,4,1,1
ce271cff-0836-4272-a35a-d82ef8094a2b,265550b7-7edc-440a-97c3-ce621bdea7eb,DDR5,DDR4,6000.0,16.0,1,32.0,128.0,4,0,0
52a8fdd1-5c4a-48ff-a0e1-e5ea3a6accc6,5b634ff3-08b8-48cd-bb54-da687a6c9eef,DDR5,DDR4,6000.0,32.0,2,30.0,,8,0,0
fad7a8b0-2f14-4b72-9cec-c74a44de46f6,73111632-dcba-440e-9f10-1bc1fc2d59e7,DDR5,DDR5,6000.0,16.0,1,36.0,256.0,4,1,1
d78eac91-d3ac-4705-aa3a-9844c11f6807,12b6d5d4-df43-4feb-b862-1a690495e390,DDR5,DDR4,5600.0,32.0,2,40.0,128.0,4,0,0
3cfef291-c438-4c49-ab69-82c6b7152bd0,16b7ebc9-2c67-4333-9b1c-27463c5bb7b0,DDR5,DDR5,6000.0,32.0,2,38.0,128.0,2,1,1
