storage_id,motherboard_id,storage_type,storage_capacity,storage_form_factor,storage_interface,storage_nvme,motherboard_m2_slots,motherboard_pcie_slots,motherboard_pcie_x16_slots,motherboard_pcie_x8_slots,motherboard_pcie_x4_slots,motherboard_pcie_x1_slots,motherboard_pcie_gen3_slots,motherboard_pcie_gen4_slots,motherboard_pcie_gen5_slots,motherboard_pcie_max_gen,motherboard_form_factor,motherboard_ram_type,storage_m2_slot_ok,label
b208feae-9e52-4504-ad1f-57211d3f25bf,4bafa3d9-391a-44d2-82f2-8439c71094fe,SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR4,0,0
92ad209c-0306-4040-828f-758383e3f74f,1c08db60-7b34-4a2e-96f0-89e30bced5b9,SSD,256.0,m.2-2280,m.2 pcie 3.0 x4,true,,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR3,0,0
5debfb10-0699-420b-b32b-93e554191b84,b6d5bd23-ee52-437c-896f-d28c6ba3f981,SSD,512.0,m.2-2280,m.2 sata,false,1,6,6,0,0,0,0,6,0,4.0,SSI EEB,DDR4,0,0
96700e4f-460a-480e-9fed-fbd5d7280c6c,7b75b1de-08fa-4ccf-84d4-28a2a4bbef76,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR2,0,0
13321fbb-1892-437e-9d42-200bfd95eac0,5a1256ff-278c-4fd1-9079-31e2677ad6c4,HDD,2000.0,"3.5""",sata 6.0 gb/s,false,,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR3,1,1
50592c69-5cac-4066-acd6-93e2dd4d83c0,32683577-66b8-4592-a418-ad11575b79b6,HDD,2000.0,"3.5""",sata 6.0 gb/s,false,1,6,4,0,0,2,0,6,0,4.0,ATX,DDR4,0,0
6ea8150f-5b5e-411f-a498-95e466197d5a,b54390aa-5540-4033-93b7-eb86ac10359a,HDD,3000.0,"2.5""",sata 6.0 gb/s,false,1,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR4,0,0
4c301421-7035-445b-8b09-d39c19c2eeed,4a24cd82-63b5-453a-a0ca-669be507367b,SSD,500.0,m.2-2280,m.2 pcie 3.0 x4,true,1,3,1,0,1,1,1,1,1,5.0,ATX,DDR5,1,1
94e771ba-72da-475b-9e28-50d6f816968a,8f54a3ae-8c4b-44d7-acce-9da874c14b98,HDD,4000.0,"3.5""",sata 6.0 gb/s,false,1,3,3,0,0,0,0,3,0,4.0,ATX,DDR5,0,0
dd15c3c6-e8f2-4084-8db8-d70a3817395c,de33624e-6b68-41d0-b1c6-e90f1273f3af,SSD,2000.0,"2.5""",sata 6.0 gb/s,false,1,4,2,0,0,2,0,4,0,4.0,ATX,DDR5,0,0
