opendb_id,name,manufacturer,chipset,chipset_manufacturer,memory_gb,memory_type,core_count,base_clock,boost_clock,tdp,length_mm,slot_width,expansion_slots_required,interface,power_12vhpwr,power_12v_2x6,power_6_pin,power_8_pin,radiator_size_mm,clock_gain,compute_score,performance_per_watt
51ed9122-30c4-44c7-94c5-7e412444f05c,MSI GeForce RTX 5070 Ti 16G FRIEREN EDITION OC,MSI,GeForce RTX 5070 Ti,NVIDIA,16.0,GDDR7,8960,2295.0,2572.0,300.0,338.0,2.5,2.0,PCIe 5.0 x16,0,1,0,0,,277.0,23045120.0,76817.0667
be5f1f51-b099-4ab5-97a2-226d6ebb8e05,MSI GeForce RTX 5070 12G World of Warcraft MIDNIGHT LIGHT EDITION OC GDDR7,MSI,GeForce RTX 5070,NVIDIA,12.0,GDDR7,6144,2325.0,2610.0,250.0,338.0,2.5,2.0,PCIe 5.0 x16,0,1,0,0,,285.0,16035840.0,64143.36
10a0a665-b862-4ea9-8719-0d20efd29288,MSI GeForce RTX 5070 12G World of Warcraft MIDNIGHT VOID EDITION OC GDDR7,MSI,GeForce RTX 5070,NVIDIA,12.0,GDDR7,6144,2325.0,2610.0,250.0,338.0,3.0,2.0,PCIe 5.0 x16,0,1,0,0,,285.0,16035840.0,64143.36
fc179732-178a-47fe-bf2f-f592b34af8aa,MSI GeForce RTX 5090 32G LIGHTNING Z,MSI,GeForce RTX 5090,NVIDIA,32.0,GDDR7,21760,2017.0,2775.0,1000.0,260.0,3.0,2.0,PCIe 5.0 x16,,2,,,360.0,758.0,60384000.0,60384.0
fa6c8561-77a8-4228-832f-612165c4e0f9,PNY GeForce RTX 5070 Ti Slim Dual Fan,PNY,GeForce RTX 5070 Ti,NVIDIA,16.0,GDDR7,8960,2295.0,2452.0,300.0,290.0,2.0,2.0,PCIe 5.0 x16,,1,,,,157.0,21969920.0,73233.0667
f404d840-6a12-4807-8d35-dfcf3112d48e,XFX Swift Radeon RX 9070 GRE White Triple Fan Gaming Edition 12GB GDDR6,XFX,Radeon RX 9070 GRE,AMD,12.0,GDDR6,3072,1420.0,2790.0,220.0,301.0,2.0,2.0,PCIe 5.0 x16,0,0,0,2,,1370.0,8570880.0,38958.5455
ec0c56c4-942b-4a43-bcd6-fc5df3508344,MSI GeForce RTX 5060 8G GAMING OC V1,MSI,GeForce RTX 5060,NVIDIA,8.0,GDDR7,3840,2280.0,2587.0,150.0,248.0,2.0,2.0,PCIe 5.0 x8,,,,1,,307.0,9934080.0,66227.2
d3fe632b-c51c-432b-923f-79a08296cb66,PowerColor Reaper Radeon RX 9070 GRE 12GB GDDR6,PowerColor,Radeon RX 9070 GRE,AMD,12.0,GDDR6,3072,1420.0,2790.0,220.0,289.0,2.0,2.0,PCIe 5.0 x16,0,0,0,2,,1370.0,8570880.0,38958.5455
cb3378c7-22dd-4e05-82f2-9ad16dba3aca,Sapphire PULSE Radeon RX 9070 GRE OC 12GB GDDR6,Sapphire,Radeon RX 9070 GRE,AMD,12.0,GDDR6,3072,1420.0,2920.0,240.0,280.0,2.5,2.0,PCIe 5.0 x16,0,0,0,2,,1500.0,8970240.0,37376.0
c54ff3fc-6ae0-460b-b733-298cef10a721,PNY GeForce RTX 5080 Dual-Fan Slim OC,PNY,GeForce RTX 5080,NVIDIA,16.0,GDDR7,10752,2295.0,2730.0,360.0,300.0,2.0,2.0,PCIe 5.0 x16,,1,,,,435.0,29352960.0,81536.0
c146b1ae-581a-4143-9fff-69bfa85d2afa,MSI GeForce RTX 5080 16G The Mandalorian and Grogu Edition OC,MSI,GeForce RTX 5080,NVIDIA,16.0,GDDR7,10752,2295.0,2700.0,360.0,304.0,2.5,2.0,PCIe 5.0 x16,,,,1,,405.0,29030400.0,80640.0
bc965032-5bc0-4c9b-93d9-78134375de51,PNY GeForce RTX 5070 Dual-Fan Slim Overclocked,PNY,GeForce RTX 5070,NVIDIA,12.0,GDDR7,6144,2325.0,2587.0,250.0,290.0,2.0,2.0,PCIe 5.0 x16,,1,,,,262.0,15894528.0,63578.112
930cc7fd-1afa-4fec-8046-e6b1e8558ff2,Gigabyte GAMING OC Radeon RX 9070 GRE 12GB GDDR6,Gigabyte,Radeon RX 9070 GRE,AMD,12.0,GDDR6,3072,1420.0,2920.0,220.0,288.0,2.5,2.0,PCIe 5.0 x16,,,,2,,1500.0,8970240.0,40773.8182
7bb541f8-cb24-48d1-a040-2f86ab67798f,ASUS PRIME GeForce RTX 5080 EVO 16GB GDDR7 OC Edition,ASUS,GeForce RTX 5080,NVIDIA,16.0,GDDR7,10752,2295.0,2685.0,360.0,304.0,2.0,2.0,PCIe 5.0 x16,,1,,,,390.0,28869120.0,80192.0
7799c1a8-edc9-4fe2-9a61-84dc58381819,PNY GeForce RTX 5080 Slim Dual Fan,PNY,GeForce RTX 5080,NVIDIA,16.0,GDDR7,10752,2295.0,2617.0,360.0,300.0,2.0,2.0,PCIe 5.0 x16,,1,,,,322.0,28137984.0,78161.0667
73859ad3-23bf-479b-b78b-8a993c7ca7ce,Intel Arc Pro B70 Single-Fan 32GB,Intel,Arc Pro B70,Intel,32.0,GDDR6,4096,2280.0,2800.0,230.0,266.7,2.0,2.0,PCIe 5.0 x16,,,,1,,520.0,11468800.0,49864.3478
68459274-3b94-4d14-8131-d6e71e2f73d1,ASRock Steel Legend Dark Radeon RX 9070 GRE 12GB GDDR6 OC,ASRock,Radeon RX 9070 GRE,AMD,12.0,GDDR6,3072,1420.0,2920.0,220.0,298.0,2.9,2.0,PCIe 5.0 x16,0,0,0,2,,1500.0,8970240.0,40773.8182
65c0e509-945e-4296-925b-ef9eff488ce8,MSI GeForce RTX 5060 8G GAMING V1,MSI,GeForce RTX 5060,NVIDIA,8.0,GDDR7,3840,2280.0,2497.0,150.0,248.0,2.0,2.0,PCIe 5.0 x8,,,,1,,217.0,9588480.0,63923.2
5f99572f-641c-4ac5-b7f9-5af18436740e,PowerColor Red Devil Radeon RX 9070 GRE 12GB GDDR6 OC,PowerColor,Radeon RX 9070 GRE,AMD,12.0,GDDR6,3072,1420.0,2920.0,220.0,340.0,3.0,2.0,PCIe 5.0 x16,0,0,0,2,,1500.0,8970240.0,40773.8182
34f237e4-a163-4be7-bfbc-fa464390f225,PNY GeForce RTX 5070 Ti Dual-Fan Slim Overclocked,PNY,GeForce RTX 5070 Ti,NVIDIA,16.0,GDDR7,8960,2295.0,2572.0,300.0,290.0,2.0,2.0,PCIe 5.0 x16,,1,,,,277.0,23045120.0,76817.0667
343ec5df-fb34-440a-a500-b207250e9672,PowerColor Hellhound Radeon RX 9070 GRE 12GB GDDR6 OC,PowerColor,Radeon RX 9070 GRE,AMD,12.0,GDDR6,3072,1420.0,2860.0,220.0,327.0,2.0,2.0,PCIe 5.0 x16,0,0,0,2,,1440.0,8785920.0,39936.0
2186d1b3-37e2-4ee1-8e7f-14afd72085be,PNY GeForce RTX 5070 Slim Dual Fan,PNY,GeForce RTX 5070,NVIDIA,12.0,GDDR7,6144,2325.0,2512.0,250.0,290.0,2.0,2.0,PCIe 5.0 x16,,1,,,,187.0,15433728.0,61734.912
20c1c636-5759-4c49-9d2a-f0d2add60e26,ASRock AMD Radeon RX 9070 XT Taichi White 16GB OC,ASRock,Radeon RX 9070 XT,AMD,16.0,GDDR6,4096,1660.0,3100.0,304.0,330.0,3.0,3.0,PCIe 5.0 x16,,1,,,,1440.0,12697600.0,41768.4211
0d1e0d7d-9aea-448d-8705-4f493a44192b,XFX Swift Radeon RX 9070 GRE Black Triple Fan Gaming Edition 12GB GDDR6,XFX,Radeon RX 9070 GRE,AMD,12.0,GDDR6,3072,1420.0,2790.0,220.0,301.0,2.0,2.0,PCIe 5.0 x16,0,0,0,2,,1370.0,8570880.0,38958.5455
00890b77-f531-4d1e-8f5e-0de1dfd7755e,Asus Prime Radeon RX 9070 GRE EVO OC Edition 12GB GDDR6,ASUS,Radeon RX 9070 GRE,AMD,12.0,GDDR6,3072,1420.0,2860.0,220.0,304.0,2.5,2.0,PCIe 5.0 x16,0,0,0,2,,1440.0,8785920.0,39936.0
d26db0cf-ec58-453a-ae6d-b997cfa8df5a,MSI INSPIRE 2X OC GeForce RTX 5060 Ti 16GB GDDR7,MSI,GeForce RTX 5060 Ti 16 GB,NVIDIA,16.0,GDDR7,4608,2407.0,2617.0,180.0,204.0,2.0,2.0,PCIe 5.0 x8,0,0,0,1,,210.0,12059136.0,66995.2
4a180a98-d9cb-41d7-b0e8-08bd18d1af05,Gigabyte GeForce RTX 5060 WINDFORCE MAX OC 8G,Gigabyte,GeForce RTX 5060,NVIDIA,8.0,GDDR7,3840,2280.0,2512.0,145.0,199.0,2.0,2.0,PCIe 5.0 x8,0,0,0,1,,232.0,9646080.0,66524.6897
d1c186da-3555-4510-b28f-d37bdd039831,Gigabyte GeForce RTX 5060 Ti WINDFORCE MAX 16G,Gigabyte,GeForce RTX 5060 Ti,NVIDIA,16.0,GDDR7,3840,2280.0,2572.0,180.0,208.0,2.0,2.0,PCIe 5.0 x8,,,,1,,292.0,9876480.0,54869.3333
ffad6066-c92e-4702-9e4c-9ea76a6e123b,GIGABYTE GeForce RTX 5060 Ti WINDFORCE MAX OC 8GB GDDR7,Gigabyte,GeForce RTX 5060 Ti,NVIDIA,8.0,GDDR7,4608,2407.0,2587.0,180.0,208.0,2.0,2.0,PCIe 5.0 x8,0,0,0,1,,180.0,11920896.0,66227.2
435657bc-e693-4ed6-a353-cad3a7487769,Gigabyte GeForce RTX 5060 Ti WINDFORCE MAX 8G,Gigabyte,GeForce RTX 5060 Ti,NVIDIA,8.0,GDDR7,4608,2280.0,2572.0,180.0,208.0,2.0,2.0,PCIe 5.0 x8,,,,1,,292.0,11851776.0,65843.2
7d80cd7e-4559-4c80-8526-145fde1194b9,GIGABYTE GeForce RTX 5060 Ti WINDFORCE 8G GDDR7,Gigabyte,GeForce RTX 5060 Ti,NVIDIA,8.0,GDDR7,4608,2407.0,2572.0,180.0,208.0,2.0,2.0,PCIe 5.0 x8,0,0,0,1,,165.0,11851776.0,65843.2
8dfe4c87-aed4-403e-8fb7-cb8bae9f5a67,GIGABYTE GeForce RTX 5060 Ti WINDFORCE OC 8G GDDR7,Gigabyte,GeForce RTX 5060 Ti,NVIDIA,8.0,GDDR7,4608,2407.0,2587.0,180.0,208.0,2.0,2.0,PCIe 5.0 x8,0,0,0,1,,180.0,11920896.0,66227.2
