opendb_id,name,manufacturer,form_factor,expansion_slots,internal_2_5_bays,internal_3_5_bays,gpu_clearance_mm,cooler_clearance_mm,psu_clearance_mm,volume_liters,supported_motherboards,supported_psu,transparent_side_panel
1bd48682-e6ca-41a0-b07d-4c785f380acb,Corsair FRAME 4000D Vault Series Modular Mid-Tower PC Case – Nova,Corsair,ATX Mid Tower,7,2,1,430.0,170.0,220.0,56.91,ATX | Mini-ITX | Micro ATX | EATX,ATX,true
e9d87f70-80d3-45d7-8253-351b6a240277,Corsair FRAME 4000D Vault Series Modular Mid-Tower PC Case – Galaxy,Corsair,ATX Mid Tower,7,2,1,430.0,170.0,220.0,56.91,ATX | Mini-ITX | Micro ATX | EATX,ATX,true
de186213-df2d-445e-a57a-26bdcde3e997,Corsair WARTHOG Black,Corsair,ATX Mid Tower,7,2,1,430.0,190.0,200.0,82.8,EATX | Mini-ITX | Micro ATX | ATX,ATX,true
b4c6cd1c-22f8-4268-b8fc-17e120fac5d9,Corsair WARTHOG RS OLIVE DRAB,Corsair,ATX Mid Tower,7,2,1,430.0,190.0,200.0,82.8,Mini-ITX | Micro ATX | EATX | ATX,ATX,true
49304391-cb2d-4357-8684-5a87f874b30b,Corsair WARTHOG OLIVE DRAB,Corsair,ATX Mid Tower,7,2,1,430.0,190.0,200.0,82.8,Micro ATX | EATX | Mini-ITX | ATX,ATX,true
2cdb73d3-dc39-4494-a96e-bf7e20cfbcf8,Corsair WARTHOG BLACK RS,Corsair,ATX Mid Tower,7,2,1,430.0,190.0,200.0,82.8,ATX | Mini-ITX | EATX | Micro ATX,ATX,true
9633a11e-b237-4a7b-b500-937b20008dbe,Corsair FRAME 4000D RS Modular Mid-Tower ATX PC Case - White,Corsair,ATX Mid Tower,7,4,2,430.0,170.0,220.0,56.68,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
18a08afb-dc9b-459a-8bf1-de148727e4d3,Corsair FRAME 4000D RS ARGB Modular Mid-Tower PC Case - White,Corsair,ATX Mid Tower,7,4,2,430.0,170.0,220.0,56.68,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
abd24b5b-e507-4dec-b472-369f9333a401,Corsair FRAME 4000D RS ARGB Modular Mid-Tower PC Case - Black,Corsair,ATX Mid Tower,7,4,2,430.0,170.0,220.0,57.0,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
3cf043a7-3fa1-41c9-a24c-0bbf3f4db1a7,Corsair FRAME 4000D ATX Modular Mid-Tower PC Case - Black,Corsair,ATX Mid Tower,7,4,2,430.0,170.0,220.0,56.68,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
e519477a-b9ff-42f0-833a-21db0890e33a,Corsair FRAME 4000D RS Modular ATX Mid-Tower PC Case - Black,Corsair,ATX Mid Tower,7,4,2,430.0,170.0,220.0,56.68,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
f2ab11ba-3c37-4c50-a028-7683e0ee258d,Corsair FRAME 4000D Modular Mid-Tower PC ATX Case - White,Corsair,ATX Mid Tower,7,4,2,430.0,170.0,220.0,56.68,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
