opendb_id,name,manufacturer,capacity_gb,storage_type,type,form_factor,interface,nvme
cc04d954-10b4-4d87-b151-63c161b33fbb,Kingston FURY Renegade G5 1.024 TB M.2-2280 SSD PCIe 5.0 x4 NVMe,Kingston,1000.0,SSD,,M.2-2280,M.2 PCIe 5.0 x4,true
984b3ae7-c973-4c4d-9922-f21b74dba0c3,Kingston FURY Renegade G5 2TB M.2-2280 SSD PCIe 5.0 x4 NVMe,Kingston,2000.0,SSD,,M.2-2280,M.2 PCIe 5.0 x4,true
3656fcb5-05ef-4167-8d7d-b348ea9e451a,Western Digital WD_BLACK SN7100 2TB SSD M.2-2280 PCIe 4.0 x4 NVMe,Western Digital,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 x4,true
ae9654a8-f598-4451-9687-340fc631265b,Kingston Fury Renegade 2TB SSD M.2 PCIe 4.0 NVMe,Kingston,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 x4,true
58e0955c-edca-41b6-8a26-60bd6033e465,Samsung 990 EVO Plus 4TB SSD M.2-2280 PCIe 5.0 X2 NVMe,Samsung,4000.0,SSD,,M.2-2280,M.2 PCIe 5.0 x2,true
5affddfa-ce8e-4221-a106-20fc98590a4d,Samsung 990 EVO Plus 2TB SSD M.2 PCIe 5.0 X2 NVMe,Samsung,2000.0,SSD,,M.2-2280,M.2 PCIe 5.0 x2,true
036ace82-80b8-4408-bde3-359bc999ee80,Kingston NV3 PCIe 4.0 NVMe SSD 2280 1TB,Kingston Technology,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 x4,true
6e49e674-efef-4a1a-97ed-1764e42e302d,Samsung 990 EVO Plus 1TB M.2-2280 SSD PCIe 5.0 X2 NVMe,Samsung,1000.0,SSD,,M.2-2280,M.2 PCIe 5.0 x2,true
62bcba05-ee9d-44ca-9fb8-dab8b00c4dac,Kingston NV3 4TB SSD M.2 NVMe PCIe 4.0,Kingston,4000.0,SSD,,M.2-2280,M.2 PCIe 4.0 x4,true
ef798e33-6994-45fc-b32a-73033ee5c414,SAMSUNG 980 PRO M.2 2280 500GB PCI-Express SSD,Samsung,500.0,SSD,SSD,M.2-2280,M.2 PCIe 4.0 x4,true
375806ca-1d9d-49d1-8254-536893c129ae,Seagate FireCuda 520 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,Seagate,2000.0,SSD,SSD,M.2-2280,M.2 PCIe 4.0 x4,true
1a4cb84d-40f4-41d7-9161-9d442d120ce4,Seagate IronWolf ST16000VN001 - hard drive - 16 TB - SATA 6Gb/s,Seagate Technology,16000.0,HDD,HDD,"3.5""",SATA 6.0 Gb/s,false
003af514-dcb8-4480-982f-32066af96ef6,Crucial T705 1TB PCIe Gen5 NVMe M.2 SSD with Heatsink,Crucial,1000.0,SSD,SSD,M.2-2280,M.2 PCIe 5.0 x4,true
525b1232-fdf9-4cb8-aed9-5dfe1321c20f,SABRENT 1TB Rocket NVMe 4.0 Gen4 PCIe M.2 Internal SSD Extreme Performance Solid State Drive (SB-ROCKET-NVMe4-1TB),Sabrent,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 x4,true
b17c4c87-b4da-4c55-9482-42e4891db05a,Rocket NVMe 4.0 SSD - 2TB M.2 2280 PCIe 4.0 NVMe TLC SSD + Heatsink,Sabrent,2000.0,SSD,SSD,M.2-2280,M.2 PCIe 4.0 x4,true
d99e2186-facb-4b00-9919-a2abbd8e256b,Samsung 990 Pro 4TB M.2 SSD PCIe 4.0 NVMe,Samsung,4000.0,SSD,,M.2-2280,M.2 PCIe 4.0 x4,true
18e3b4f5-7f63-4cf9-a266-141344d2cd82,Samsung 990 Pro 2TB SSD M.2-2280 PCIe 4.0 x4 NVMe,Samsung,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 x4,true
0bd31f89-46f3-487c-83d4-878518c4455a,Crucial P3 Plus 1TB SSD M.2-2280 PCIe 4.0 x4 NVMe,Crucial,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 x4,true
f9425a41-efc9-4751-9d04-180f22d2482d,Crucial P3 Plus 2TB M.2-2280 SSD PCIe 4.0 NVMe,Crucial,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 x4,true
96a56703-3f5b-4115-b3f9-b72525fb9c9a,Samsung 990 Pro 1TB SSD M.2 PCIe 4.0 NVMe,Samsung,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 x4,true
060a50e7-3cfd-4582-9b81-ead8ed1c1dee,Samsung 990 Pro w/Heatsink 2TB SSD M.2-2280 PCIe 4.0 NVMe,Samsung,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 x4,true
4b745082-6444-4db6-90ca-5552841ef191,Sabrent Rocket 4 Plus G 4TB M.2 SSD PCIe 4.0 NVMe,Sabrent,4000.0,SSD,,M.2-2280,M.2 PCIe 4.0 x4,true
ee69b71e-bfbf-4492-a11e-945388b8f2e9,Seagate IronWolf NAS 4TB Internal Hard Drive,Seagate,4000.0,HDD,HDD,"3.5""",SATA 6.0 Gb/s,false
de8ea285-2789-4780-a807-5e5c659ca7fa,WD_BLACK 3.5-Inch Gaming Hard Drive - 2TB,Western Digital,2000.0,HDD,HDD,"3.5""",SATA 6.0 Gb/s,false
cffce1e1-be8d-4855-a001-7d50702ab76a,"WD Red Plus Internal NAS HDD 3.5"" - 8TB",Western Digital,8000.0,HDD,HDD,"3.5""",SATA 6.0 Gb/s,false
c12f540e-1490-4c27-8744-28f274139d88,Force Series Gen.4 PCIe MP600 2TB NVMe M.2 SSD,Corsair,2000.0,SSD,SSD,M.2-2280,M.2 PCIe 4.0 x4,true
ae5a3d21-ec52-433b-85da-d67ecb82faac,Silicon Power 1TB NVMe PCIe Gen3 x4 M.2 2280 SSD (SU001TBP34A60M28SN),Silicon Power,1024.0,SSD,SSD,M.2-2280,M.2 PCIe 3.0 x4,true
9bb9291d-b934-49cf-bac2-440f3d281370,WD_BLACK Gaming Internal Hard Drive,WD_BLACK,500.0,HDD,HDD,"3.5""",SATA 6.0 Gb/s,false
929eb228-1477-4c79-a722-ea571e60fd52,Corsair 2TB Force Series MP600 M.2 PCIe NVMe SSD,Corsair,2000.0,SSD,SSD,M.2-2280,M.2 PCIe 4.0 x4,true
6ed5c750-4244-4052-80ad-603496b68811,Rocket Q NVMe SSD,Sabrent,8000.0,SSD,SSD,M.2-2280,M.2 PCIe 3.0 x4,true
f6b87ebd-e504-46d8-bf0c-87d8fefeedbe,"Seagate IronWolf Pro, 20TB NAS Internal HDD –CMR 3.5 Inch SATA 6 Gb/s, 7,200 RPM, 256MB Cache for RAID Network Attached Storage, Rescue Services (ST20000NEZ00/000)",Seagate,20000.0,HDD,HDD,"3.5""",SATA 6.0 Gb/s,false
ae24a291-80af-44cf-917c-ca9daf329dca,Rocket Q NVMe SSD,Sabrent,4000.0,SSD,SSD,M.2-2280,M.2 PCIe 3.0 x4,true
9e1e6d00-d8ba-4349-b36b-5d1fa4a92b2e,970 PRO NVMe® M.2 SSD 1TB,Samsung,1024.0,SSD,SSD,M.2-2280,M.2 PCIe 3.0 x4,true
9df5420e-019b-455b-b617-906e4ff93417,"SAMSUNG 980 M.2 2280 1TB PCI-Express 3.0 x4, NVMe 1.4 V-NAND MLC Internal Solid State Drive (SSD) MZ-V8V1T0B/AM",Samsung,1000.0,SSD,SSD,M.2-2280,M.2 PCIe 3.0 x4,true
9a0ce7b6-93e8-4ed1-9408-8f49f5535568,Samsung 980 SSD 500GB M.2 NVMe Interface PCIe 3.0 x4 Internal Solid State Drive with V-NAND 3 bit MLC Technology,Samsung,500.0,SSD,SSD,M.2-2280,M.2 PCIe 3.0 x4,true
2f8f77ca-e196-48cd-8557-caf21e3adcd8,"SanDisk SSD PLUS 2.5"" 120GB SATA III 3D NAND Internal Solid State Drive (SSD)",SanDisk,120.0,SSD,SSD,"2.5""",SATA 6.0 Gb/s,false
22d5f0ba-c364-4184-9182-5f941b2d5489,Rocket Q NVMe SSD,Sabrent,500.0,SSD,SSD,M.2-2280,M.2 PCIe 3.0 x4,true
0d04ee84-2baf-4b4d-b88e-43e11d701d90,Rocket Q NVMe SSD,Sabrent,1024.0,SSD,SSD,M.2-2280,M.2 PCIe 3.0 x4,true
ac833c6b-12c6-4932-9637-6960d424bb9b,TEAMGROUP MP33 1TB M.2-2280 SSD PCIe 3.0 x4 NVMe,TEAMGROUP,1000.0,SSD,,M.2-2280,M.2 PCIe 3.0 x4,true
fe639d75-5feb-4d4f-a98b-2f424d1fa47a,980 PRO 250GB Internal Gaming SSD PCIe Gen 4 x4 NVMe,Samsung,250.0,SSD,SSD,M.2-2280,M.2 PCIe 3.0 x4,true
f42d9d10-786b-4a0f-964c-4e5a3b14bef4,Kingston A400 480GB Internal SSD M.2 2280 SA400M8/480G - Increase Performance,Kingston,480.0,SSD,SSD,M.2-2280,SATA 6.0 Gb/s,false
a9322526-57b6-4dfc-b370-88baf55111d9,"Seagate IronWolf NAS 10 TB 3.5"" 7200 RPM Internal Hard Drive",Seagate,10.0,HDD,HDD,"3.5""",SATA 6.0 Gb/s,false
a5f70655-dce2-4883-a9f5-b76ce6618328,Seagate IronWolf 8TB NAS Internal Hard Drive HDD – 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache for RAID Network Attached Storage,Seagate,8000.0,HDD,HDD,"3.5""",SATA 6.0 Gb/s,false
a1066cce-358c-4567-b290-179a432d35d6,Samsung 980 PRO PCIe 4.0 NVMe SSD 1TB,Samsung,1000.0,SSD,SSD,M.2-2280,M.2 PCIe 4.0 x4,true
85f1e60b-534d-4ea3-ba67-843cd0e75ed2,Crucial P5 500GB NVMe M.2 SSD,Crucial,500.0,SSD,SSD,M.2-2280,M.2 PCIe 3.0 x4,true
7dbbdb87-d747-4e8e-9725-a360586b495f,Crucial P5 2TB 3D NAND NVMe Internal SSD,Crucial,2000.0,SSD,SSD,M.2-2280,M.2 PCIe 3.0 x4,true
48379abb-df4a-40d3-9f0d-50b172e5989b,Ultrastar DC HC330 - 10TB,Western Digital,10000.0,HDD,HDD,"3.5""",SATA 6.0 Gb/s,false
3660fbd1-4808-46a6-a18b-2c0a69d02132,Seagate IronWolf 12TB NAS Internal Hard Drive HDD – CMR 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache for RAID Network Attached Storage,Seagate,12000.0,HDD,HDD,"3.5""",SATA 6.0 Gb/s,false
2eb17d1d-b609-4ba6-b76a-132df5b29bc4,MP400 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,Corsair,1000.0,SSD,SSD,M.2-2280,M.2 PCIe 3.0 x4,true
2122966e-f77e-4455-8077-e132307831bd,Crucial MX500 500GB 3D NAND SATA 2.5-inch Internal SSD,Crucial,500.0,SSD,SSD,"2.5""",SATA 6.0 Gb/s,false
