opendb_id,metadata_name,metadata_manufacturer,metadata_series,metadata_variant,metadata_releaseYear,socket,_source_file,audio_channels,audio_chipset,back_connect_connectors,back_panel_ports,bios_features_clear_cmos,bios_features_flashback,chipset,color,ecc_support,fan_headers_case_fan,fan_headers_cpu_fan,fan_headers_cpu_opt,fan_headers_pump,form_factor,front_panel_headers_hdd_led,front_panel_headers_power_button,front_panel_headers_power_led,front_panel_headers_reset_button,general_product_information_amazon_sku,general_product_information_bestbuy_sku,general_product_information_ibuypower_sku,general_product_information_manufacturer_url,general_product_information_newegg_sku,general_product_information_walmart_sku,lighting,m2_slots,memory_max,memory_ram_type,memory_slots,metadata_last_manually_spec_verified_at,metadata_manufacturer_color,metadata_part_numbers,onboard_ethernet,other_headers_com_port,other_headers_temperature_sensor,other_headers_thunderbolt,pcie_slots,power_connectors_cpu_power,power_connectors_main_power,raid_support,rgb_headers_argb_5v,rgb_headers_rgb_12v,storage_devices_sata_3_gb_s,storage_devices_sata_6_gb_s,storage_devices_u2,usb_headers_usb_2_0,usb_headers_usb_3_2_gen_1,usb_headers_usb_3_2_gen_2,usb_headers_usb_3_2_gen_2x2,usb_headers_usb_4,usb_headers_usb_4_80g,wireless_networking
000deb7d-a2c6-4134-9d33-ffc0508cb277,ASUS B760M-AYW WIFI D4,ASUS,AYW,B760M-AYW WIFI D4,2025,LGA 1700,000deb7d-a2c6-4134-9d33-ffc0508cb277.json,7.1,Realtek,False,4 x USB 3.2 Gen 1 ports (4 x Type-A) | 2 x USB 2.0 ports (2 x Type-A) | 1 x HDMI port | 1 x Wi-Fi Module | 1 x Realtek 2.5Gb Ethernet port | 3 x Audio jacks | 1 x PS/2 Keyboard/Mouse combo port,False,True,Intel B760,GREY | BLACK,False,1,1,,,Micro ATX,True,True,True,True,B0BNQGQF43,,,https://www.asus.com/in/motherboards-components/motherboards/others/b760m-ayw-wifi-d4/techspec/,,,,"[{""size"": ""2242/2260/2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4""}, {""size"": ""2242/2260/2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4""}]",64,DDR4,2,,Black,B760M-AYW WIFI D4 | 90MB1CX0-M1EAY0,"[{""speed"": ""2.5 Gb/s"", ""controller"": ""Realtek""}]",1,,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1}]",8-pin,24-pin,True,2,,0,4,0,1,1,0,0,0,,Wifi 6 Bluetooth 5.2
0013d0d2-024d-4153-92a7-9beec572b52b,Gigabyte GA-G41MT-S2PT Micro ATX LGA775,Gigabyte,GA-G41MT-S2PT,,,LGA 775,0013d0d2-024d-4153-92a7-9beec572b52b.json,7.1,Realtek,False,1 x 1 Gb/s,False,False,Intel G41,,False,,,,,Micro ATX,,,,,,,,,,,,,8,DDR3,2,,,GA-G41MT-S2PT,"[{""speed"": ""1 Gb/s"", ""controller"": ""Unknown"", ""_id"": ""69b3ab51fe073ff824ef495a""}]",,,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab51fe073ff824ef4958""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab51fe073ff824ef4959""}]",,,False,,,4,0,0,2,0,0,0,0,,
00242b55-08dd-451a-98ec-07c5a5f7054e,MSI B850 PRO B850M-VC WIFI6E AM5 DDR5 Micro ATX,MSI,PRO,B850M VC WIFI6E,2024,AM5,00242b55-08dd-451a-98ec-07c5a5f7054e.json,7.1,Realtek ALC897,False,1x Clear CMOS button | 1x Flash BIOS button | 1x HDMI port | 1x USB 10Gbps Type-A port | 4x USB 2.0 ports | 1x 5Gbps LAN (RJ45) jack | 1x USB 5Gbps Type-A port | 2x USB 10Gbps Type-C ports | 2x Wi-Fi Antenna connectors | 2x audio jacks | 1x Optical S/PDIF Out connector,True,True,AMD B850,BLACK,False,3,1,,1,Micro ATX,True,True,True,True,,,,https://www.msi.com/Motherboard/PRO-B850M-VC-WIFI6E,,,None,"[{""size"": ""2260/2280"", ""key"": ""M"", ""interface"": ""PCIe 5.0 x4""}, {""size"": ""2280/22110"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4""}, {""size"": ""2260/2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x2""}]",256,DDR5,4,,Black,PRO B850M-VC WIFI6E,"[{""speed"": ""5 Gb/s"", ""controller"": ""Realtek 8126VB""}]",,,,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 2, ""lanes"": 1}]",8-pin,24-pin,True,3,1,0,4,0,2,2,1,0,0,,Wifi 6E Bluetooth 5.3
00617df5-4a12-49ec-82f2-0caa9e347539,Asus H81 H81M-C/CSM DDR3 Micro ATX,ASUS,H81,,,LGA 1150,00617df5-4a12-49ec-82f2-0caa9e347539.json,7.1,Realtek,False,1 x 1 Gb/s,False,False,Intel H81,BLACK | GOLD,False,,,,,Micro ATX,,,,,,,,,,,,,16,DDR3,2,,,H81M-C | CSM,"[{""speed"": ""1 Gb/s"", ""controller"": ""Unknown"", ""_id"": ""69b3ab52fe073ff824ef4986""}]",,,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab52fe073ff824ef4984""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ab52fe073ff824ef4985""}]",,,False,,,2,2,0,2,0,0,0,0,,
006707a8-49f6-4151-925f-921053961944,Gigabyte Z68 GA-Z68MA-D2H-B3 DDR3 Micro ATX,Gigabyte,Z68,,,LGA 1155,006707a8-49f6-4151-925f-921053961944.json,7.1,Realtek,False,1 x 1 Gb/s,False,False,Intel Z68,BLUE | WHITE,False,,,,,Micro ATX,,,,,,,,,,,,,32,DDR3,4,,,GA-Z68MA-D2H-B3,"[{""speed"": ""1 Gb/s"", ""controller"": ""Unknown"", ""_id"": ""69b3ab52fe073ff824ef4995""}]",,,,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ab52fe073ff824ef4993""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab52fe073ff824ef4994""}]",,,True,,,4,2,0,4,0,0,0,0,,
007d8659-ef1f-4309-89d0-71d3e642532e,Asus P55 P7P55D-E LX LGA1156 DDR3 ATX,ASUS,P55,,,LGA 1156,007d8659-ef1f-4309-89d0-71d3e642532e.json,7.1,Realtek,False,1 x 1 Gb/s,False,False,Intel P55,BLUE | WHITE,False,,,,,ATX,,,,,,,,,,,,,16,DDR3,4,,,P7P55D-E LX,"[{""speed"": ""1 Gb/s"", ""controller"": ""Unknown"", ""_id"": ""69b3ab523722c3e205bce4a2""}]",,,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab523722c3e205bce4a0""}, {""gen"": ""4.0"", ""quantity"": 4, ""lanes"": 1, ""_id"": ""69b3ab523722c3e205bce4a1""}]",,,True,,,6,2,0,3,0,0,0,0,,
007f47a7-f6d7-4be4-897b-a5c59055c20b,Gigabyte B860M AORUS ELITE WIFI6E DDR5 Micro ATX,Gigabyte,B860M,,,LGA 1851,007f47a7-f6d7-4be4-897b-a5c59055c20b.json,7.1,Realtek,False,1 x 2.5 Gb/s Ports (Realtek),False,False,Intel B860,BLACK,False,,,,,Micro ATX,,,,,B0DQLGCVN3,,,,N82E16813145558,15093957980,,"[{""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab52ce32fbd08882ef6c""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab52ce32fbd08882ef6d""}, {""size"": ""2580-25110"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab52ce32fbd08882ef6e""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab52ce32fbd08882ef6f""}]",256,DDR5,4,,,B860M AORUS ELITE WIFI6E | B860M A ELITE WIFI6E,"[{""speed"": ""2.5 Gb/s"", ""controller"": ""Realtek"", ""_id"": ""69b3ab52ce32fbd08882ef70""}]",,,,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab52ce32fbd08882ef6b""}]",,,True,,,0,0,0,2,1,1,0,0,,
00a76de3-ab0b-4444-b418-c7201b8fd560,ASROCK X870 Challenger WIFI,ASRock,Challenger,X870 WIFI,2026,AM5,00a76de3-ab0b-4444-b418-c7201b8fd560.json,7.1,Realtek ALC897,False,2 x Antenna Ports | 1 x HDMI Port | 2 x USB4 Type-C Ports | 2 x USB 3.2 Gen2 Type-A Ports | 1 x USB 3.2 Gen1 Type-A Port | 4 x USB 2.0 Ports | 1 x RJ-45 LAN Port | 1 x BIOS Flashback Button | HD Audio Jacks: Line in / Front Speaker / Microphone,False,True,AMD X870,BLACK,False,3,2,,1,ATX,True,True,True,True,B0GWMBRZDM,,,https://www.asrock.com/MB/AMD/X870%20Challenger%20WiFi/index.asp#Specification,N82E16813162251,20064559118,None,"[{""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 5.0x4""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0x4""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0x4""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0x4""}]",256,DDR5,4,,Black,90-MXBUK0-A0UAYAZ | X870 Challenger WiFi,"[{""speed"": ""2.5 Gb/s"", ""controller"": ""Dragon RTL8125BG""}]",,,,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 16}]",8-pin | 8-pin,24-pin,True,3,1,,2,,2,2,,,,,Wi-Fi 7 Bluetooth 5.4
00b88b4c-907a-4b42-bf8d-465e0f58e634,Biostar B560 M-SILVER LGA1200 DDR4 Micro ATX,Biostar,B560,,,LGA 1200,00b88b4c-907a-4b42-bf8d-465e0f58e634.json,7.1,Realtek,False,1 x 2.5 Gb/s (Realtek RTL8125B),False,False,Intel B560,GREY | BLACK,False,,,,,Micro ATX,,,,,,,,,,,,"[{""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab53843b62bf624ca8d6""}, {""size"": ""2242-2260"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab53843b62bf624ca8d7""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab53843b62bf624ca8d8""}, {""size"": ""2280"", ""key"": ""E"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab53843b62bf624ca8d9""}]",128,DDR4,4,,,B560M-SILVER,"[{""speed"": ""2.5 Gb/s"", ""controller"": ""Realtek RTL8125B"", ""_id"": ""69b3ab53843b62bf624ca8da""}]",,,,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab53843b62bf624ca8d4""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab53843b62bf624ca8d5""}]",,,False,,,0,6,0,2,1,0,0,0,,
00bdcf8a-bb2e-417c-8cbd-5945512b0a5f,ASRock H410 M/ac DDR4 Micro ATX,ASRock,H410,,,LGA 1200,00bdcf8a-bb2e-417c-8cbd-5945512b0a5f.json,7.1,Realtek,False,1 x 1 Gb/s (Intel I219-V),False,False,Intel H410,BLACK,False,,,,,Micro ATX,,,,,,,,,,,,"[{""size"": ""2260-2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab53cf841c9bc5aa062a""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab53cf841c9bc5aa062b""}]",64,DDR4,2,,,H410M | ac | 90-MXBDT0-A0UAYZ,"[{""speed"": ""1 Gb/s"", ""controller"": ""Intel I219-V"", ""_id"": ""69b3ab53cf841c9bc5aa062c""}]",,,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab53cf841c9bc5aa0628""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab53cf841c9bc5aa0629""}]",,,False,,,0,4,0,2,1,0,0,0,,
