opendb_id,metadata_name,metadata_manufacturer,metadata_series,metadata_variant,metadata_releaseYear,_source_file,capacity,cas_latency,color,ecc,form_factor,general_product_information_amazon_sku,general_product_information_bestbuy_sku,general_product_information_ibuypower_sku,general_product_information_manufacturer_url,general_product_information_newegg_sku,general_product_information_walmart_sku,heat_spreader,height,lighting,metadata_last_manually_spec_verified_at,metadata_manufacturer_color,metadata_part_numbers,modules_capacity_gb,modules_quantity,profile_support,ram_type,registered,rgb,speed,timings,voltage
000c0c27-8b0a-4760-92ec-89ef39e630d8,TEAMGROUP T-Create Expert Black / Gold DDR5-6400 CL32 48GB (2x24GB),TEAMGROUP,T-Create,6400 CL32,,000c0c27-8b0a-4760-92ec-89ef39e630d8.json,48,32,BLACK | GOLD,Non-ECC,288-pin DIMM,B0CQP3ZGNM,,,,N82E16820985239,12691520773,True,,,,,CTCED548G6400HC32ADC01,24,2,,DDR5,Unbuffered,False,6400,,
0018ccdf-8281-41f6-844f-e9193b01111d,KLEVV CRAS V RGB DDR5-7600 48GB (2x24GB) CL36 Obsidian Black,Klevv,CRAS V RGB DDR5,,,0018ccdf-8281-41f6-844f-e9193b01111d.json,48,36,,Non-ECC,288-pin DIMM,,,,,,,,,,,Obsidian Black,KD5KGUD80-76B360G,24,2,XMP | EXPO,DDR5,Unbuffered,,7600,36-46-46-86,1.4
001a1e21-a4f0-4c44-aadd-8e7af7203a2e,TEAMGROUP T-Force Xtreem 48GB (2x24GB) DDR5-6800 CL34 Pink,TEAMGROUP,T-Force,6800 CL34,2024,001a1e21-a4f0-4c44-aadd-8e7af7203a2e.json,48,34,PINK,Non-ECC,288-pin DIMM,,,,https://www.teamgroupinc.com/en/product-detail/memory/T-FORCE/xtreem-ddr5-pink/xtreem-ddr5-pink-FFPD548G6800HC34ADC01/,,,True,48.8,None,,Pink,FFPD548G6800HC34ADC01,24,2,XMP | EXPO,DDR5,Unbuffered,False,6800,34-42-42-84,1.4
001b8acb-1e90-4025-bc27-4d99540aee45,Crucial CP2K64G56C46U5 128GB (2x64GB) DDR5-5600 CL46 Black,Crucial,CP2K64G56C46U5,5600 CL46,2025,001b8acb-1e90-4025-bc27-4d99540aee45.json,128,46,BLACK,Non-ECC,288-pin DIMM,B0DSR5P84D,6637048,,https://www.crucial.com/memory/ddr5/cp2k48g56c46u5?srsltid=AfmBOorC6MGs_FX8PjL3w1KpvX8FhlZocKFjxiHr0U6mWo08W3wg7_cb,N82E16820156418,15296167535,True,31.25,None,,Black,CP2K64G56C46U5,64,2,XMP | EXPO,DDR5,Unbuffered,False,5600,46-45-45,
00224914-6d49-493d-8fda-5d0bfd2b087a,TEAMGROUP T-Force Delta RGB DDR4 16GB (1x16GB) 2666MHz CL16 WHITE,TEAMGROUP,T-Force,Delta RGB White DDR4,,00224914-6d49-493d-8fda-5d0bfd2b087a.json,16,16,WHITE,Non-ECC,288-pin DIMM,,,,https://www.teamgroupinc.com/en/product-category/memory/desktop/?filter=ZmlsdGVyLTIyMT0yNTE4,,,True,,,2025-09-22T21:37:40.929Z,,TF4D416G2666HC16C01,16,1,,DDR4,Unbuffered,True,2666,16-18-18-38,1.2
0032510b-286b-400e-8782-9f18cbd5ef1d,Silicon Power XPOWER Storm RGB Black DDR5-7600 CL36 32GB (1x32GB),Silicon Power,XPOWER,7600 CL36,,0032510b-286b-400e-8782-9f18cbd5ef1d.json,32,36,BLACK,Non-ECC,288-pin DIMM,,,,,,,True,,,,,SP032GXLWU760FSK,32,1,,DDR5,Unbuffered,True,7600,36-46-46-121,
00385f07-4afd-4adf-a183-a3d860e6a2f8,Lexar Hades OC Gray / Black DDR4-3200 CL18 16GB (1x16GB),Lexar,Hades,3200 CL18,,00385f07-4afd-4adf-a183-a3d860e6a2f8.json,16,18,GREY | BLACK,Non-ECC,288-pin DIMM,,,,,,,True,,,,,LD4BU016G-R3200GS0H,16,1,,DDR4,Unbuffered,False,3200,18-22-22-42,
0057d8fd-0bfd-4b75-b87a-0c44b7b1c147,ADATA XPG LANCER RGB ROG CERTIFIED Black DDR5-7200 CL34 48GB (2x24GB),ADATA,XPG,7200 CL34,,0057d8fd-0bfd-4b75-b87a-0c44b7b1c147.json,48,34,BLACK,Non-ECC,288-pin DIMM,,,,,,,True,,,,,AX5U7200C3424G-DCLARROG,24,2,,DDR5,Unbuffered,True,7200,,
0058e77c-1417-4afd-b864-54fd0f90cdab,TEAMGROUP T-Force Delta RGB Black DDR4-3200 CL16 32GB (2x16GB),TEAMGROUP,T-Force,3200 CL16,,0058e77c-1417-4afd-b864-54fd0f90cdab.json,32,16,BLACK,Non-ECC,288-pin DIMM,B08PV1QQJX,,,https://www.teamgroupinc.com/en/product-category/memory/desktop/?filter=ZmlsdGVyLTIyMT0yNTE4,N82E16820331634,872981692,True,,,2025-09-21T12:14:55.166Z,,TF3D432G3200HC16FDC01 | TF3D432G3200HC16FD | TF3D432G3200HC16FDC0,16,2,,DDR4,Unbuffered,True,3200,16-20-20-40,1.35
007f6ea0-d1db-4c2d-824f-a44c766f8bfe,TEAMGROUP T-Create Expert Gray DDR4-3200 CL16 16GB (2x8GB),TEAMGROUP,T-Create,3200 CL16,,007f6ea0-d1db-4c2d-824f-a44c766f8bfe.json,16,16,GREY,Non-ECC,288-pin DIMM,B09GXHMVTR,,,,,,True,,,,,TTCED416G3200HC16FDC01 | TEAMGROUP,8,2,,DDR4,Unbuffered,False,3200,16-20-20-40,
00882fc3-05bc-4a87-8f39-6759d883e994,Crucial Ballistix Sport Gray / Silver DDR4-2400 CL16 8GB (1x8GB),Crucial,Ballistix,2400 CL16,,00882fc3-05bc-4a87-8f39-6759d883e994.json,8,16,GREY | WHITE,Non-ECC,288-pin DIMM,,,,,,,True,,,,,BLS8G4D240FSA,8,1,,DDR4,Unbuffered,False,2400,,
00a55598-4e9c-4255-bcda-1e97600884d6,ADATA XPG LANCER RGB Black 32GB (2x16GB) DDR5 5200 CL38,ADATA,XPG Lancer,5200 CL38,,00a55598-4e9c-4255-bcda-1e97600884d6.json,32,38,BLACK,Non-ECC,288-pin DIMM,B09JQGH9WL,,,,,,True,,,,,AX5U5200C3816G-DCLARBK,16,2,,DDR5,Unbuffered,True,5200,,1.25
00bafd16-7075-4205-a069-18a679ae809d,G.Skill Ripjaws S5 Black DDR5-6000 CL40 48GB (2x24GB),G.SKILL,Ripjaws,6000 CL40,,00bafd16-7075-4205-a069-18a679ae809d.json,48,40,BLACK,Non-ECC,288-pin DIMM,,,,,,,True,,,,,F5-6000J4048F24GX2-RS5K,24,2,,DDR5,Unbuffered,False,6000,40-48-48-96,
0118d8a1-e37c-486e-bd48-30aae342e8f8,TEAMGROUP T-Create Expert 32GB (2x16GB) DDR5-7200 CL34 Black/Gold,TEAMGROUP,T-Create,7200 CL34,2023,0118d8a1-e37c-486e-bd48-30aae342e8f8.json,32,34,BLACK,Non-ECC,288-pin DIMM,B0C4NM2LYK,,,https://www.teamgroupinc.com/en/product-detail/memory/T-CREATE/expert-u-dimm-ddr5-black/expert-u-dimm-ddr5-black-CTCED532G7200HC34ADC01/,N82E16820985073,3259947637,True,32,None,,Black/Gold,CTCED532G7200HC34ADC01,16,2,XMP | EXPO,DDR5,Unbuffered,False,7200,34-42-42-84,1.4
012111af-404e-42d6-aace-f3931da2eae1,G.Skill Trident Z5 Metallic Silver DDR5-5600 CL30 64GB (2x32GB),G.SKILL,Trident Z5,,2021,012111af-404e-42d6-aace-f3931da2eae1.json,64,30,BLACK | GREY,Non-ECC,288-pin DIMM,,,,https://www.gskill.com/product/165/371/1640229016/F5-5600J3636C16GX2-TZ5S-F5-5600J3636C16GA2-TZ5S,,,True,44,None,,Metallic Silver,F5-5600J3036D32GA2-TZ5S,32,2,XMP,DDR5,Unbuffered,False,5600,30-36-36-89,1.2
01392bfb-931b-4145-9826-77540d9f7cea,G.Skill Trident Z5 RGB Matte Black DDR5-6000 CL36 32GB (2x16GB),G.SKILL,Trident Z5 RGB,,2021,01392bfb-931b-4145-9826-77540d9f7cea.json,32,36,BLACK,Non-ECC,288-pin DIMM,B09PTGZM6Y,,,https://www.gskill.com/product/165/374/1636005597/F5-6000U3636E16GX2-TZ5RK-EOL-F5-6000U3636E16GA2-TZ5RK-EOL,N82E16820374351,897193084,True,44,ARGB,,Matte Black,F5-6000U3636E16GX2-TZ5RK | F5-6000J3636F16GX2-TZ5RK,16,2,XMP,DDR5,Unbuffered,True,6000,36-36-36-76,1.3
0143a037-fd9f-41d2-a389-bd01040ba34d,TEAMGROUP T-FORCE DELTA RGB DDR5-6400 96GB (2x48GB) CL30 Black,TEAMGROUP,T-FORCE DELTA RGB DDR5,,,0143a037-fd9f-41d2-a389-bd01040ba34d.json,96,30,BLACK,Non-ECC,288-pin DIMM,,,,,,,,,,,,FF3D596G6400HC30EDC01,48,2,XMP | EXPO,DDR5,Unbuffered,,6400,30-39-39-84,1.4
