opendb_id,metadata_name,metadata_manufacturer,metadata_series,metadata_variant,metadata_releaseYear,_source_file,cache,capacity,form_factor,general_product_information_amazon_sku,general_product_information_bestbuy_sku,general_product_information_ibuypower_sku,general_product_information_manufacturer_url,general_product_information_newegg_sku,general_product_information_walmart_sku,interface,lighting,metadata_last_manually_spec_verified_at,metadata_part_numbers,nvme,storage_type,type
0003d658-2e15-416c-b260-d2882258b170,"Inland Premium 512GB SSD M.2 2280 PCIe NVMe 3.0 x4 3D NAND Internal Solid State Drive, High-Speed Read/Write Speed up to 3100 MBps and 1900 MBps, NVMe 1.3 & PCIe 3.1 Compatible",Inland,Inland Premium,512GB,2019,0003d658-2e15-416c-b260-d2882258b170.json,,512,M.2-2280,B07PB5C36M,,,,9SIBJ3BJJ89561,,M.2 PCIe 3.0 x4,,,a29f5e64-99bb-4031-a318-b119dd446ca4 | 512GB NVME PREM,True,SSD,SSD
000e2e21-7ddc-48cd-9a02-7d8b3947263f,MSI SPATIUM M480 HS 1TB SSD M.2-2280 PCIe 4.0 X4 NVMe,MSI,SPATIUM,1000GB,,000e2e21-7ddc-48cd-9a02-7d8b3947263f.json,,1000,M.2-2280,B098TGZ6RM,,,,N82E16820140020,275513194,M.2 PCIe 4.0 x4,,,S78-440L430-P83 | SPATIUM M480 1TB,True,SSD,SSD
00238939-8d02-4070-8025-8c959c5e7b5f,OWC Aura Ultra IV 8TB SSD M.2-2280 PCIe 4.0 x4 NVMe,OWC,Aura,8000GB,,00238939-8d02-4070-8025-8c959c5e7b5f.json,,8000,M.2-2280,,,,,,,M.2 PCIe 4.0 x4,,,P4U8T1PT08,True,SSD,SSD
00274e77-58c3-4fec-a978-180eaa79bee8,"Seagate Barracuda Compute 2TB 3.5"" HDD 5400RPM SATA 6.0 Gb/s",Seagate,Barracuda,2000GB,,00274e77-58c3-4fec-a978-180eaa79bee8.json,,2000,"3.5""",B07FD98N7N,,,,,,SATA 6.0 Gb/s,,,ST2000DM005,False,HDD,HDD
00390459-a2a2-4b30-955a-8912dc35076c,Western Digital Blue 250GB SSD M.2-2280 SATA,Western Digital,Blue,250GB,,00390459-a2a2-4b30-955a-8912dc35076c.json,,250,M.2-2280,,,,,,,M.2 SATA,,,WDS250G1B0B,False,SSD,SSD
003af514-dcb8-4480-982f-32066af96ef6,Crucial T705 1TB PCIe Gen5 NVMe M.2 SSD with Heatsink,Crucial,T705,w/ Heatsink,2024,003af514-dcb8-4480-982f-32066af96ef6.json,,1000,M.2-2280,B0CTRV9CVP,,,,N82E16820156397,5461509022,M.2 PCIe 5.0 x4,,,CT1000T705SSD3,True,SSD,SSD
00472748-f37c-4f2a-91e0-9ad23f6c0423,FFF Smart Life Connected G-Storategy NV470 w/Heatsink 2TB SSD M.2-2280 PCIe 4.0 X4 NVMe,FFF Smart Life Connected,G-Storategy,2000GB,,00472748-f37c-4f2a-91e0-9ad23f6c0423.json,,2000,M.2-2280,,,,,,,M.2 PCIe 4.0 x4,,,NV47002TBY3G1,True,SSD,SSD
006a3315-d7ff-4a83-9409-fc74d0fbc040,"Seagate IronWolf Pro 8TB HDD 7200RPM 3.5"" SATA Internal",Seagate,IronWolf,8000GB,,006a3315-d7ff-4a83-9409-fc74d0fbc040.json,,8000,"3.5""",B07SRVXPQ2,,,,,903261458,SATA 6.0 Gb/s,,,ST8000NE001,False,HDD,HDD
008efe68-90d2-42d6-bc23-f29390cb5dfc,"Western Digital Purple Pro 12TB HDD 3.5"" SATA",Western Digital,Purple,12000GB,,008efe68-90d2-42d6-bc23-f29390cb5dfc.json,,12000,"3.5""",B0966V6YJB,6488587,,,N82E16822234481,560686882,SATA 6.0 Gb/s,,,WD121PURP | WD121PURP-SPB5SY0,False,HDD,HDD
00ada96b-bca9-401d-8594-3f259b20deeb,PNY CS2140 2TB SSD M.2-2280 PCIe 4.0 x4 NVMe,PNY,CS2140,2000GB,,00ada96b-bca9-401d-8594-3f259b20deeb.json,,2000,M.2-2280,B09RPL3RL1,6500248,,,N82E16820177143,237249993,M.2 PCIe 4.0 x4,,,M280CS2140-2TB-RB,True,SSD,SSD
